Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(850)
Melhor resultado nxn: Apoptosis_network, 383,  5, 10,   84, 1, 2, 383475, 22668.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 383,  5, 10,   84, 1, 2, 383475, 22668.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 513,  5, 10,   84, 1, 2, 384188, 22668.48, 175, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 975,  9,  5,   84, 1, 2, 353040, 22668.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 115,  6,  7,   84, 1, 2, 330624, 22668.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 364,  7,  6,   84, 1, 2, 330624, 22668.48, 32, 0.00, 1: 62; 2: 11; 
Apoptosis_network,  93,  6,  8,   85, 1, 2, 372233, 22668.48, 85, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 509,  5,  9,   85, 1, 2, 352967, 22668.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 632,  9,  5,   85, 1, 2, 353212, 22668.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 646,  6,  8,   85, 1, 2, 371338, 22668.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 174,  9,  5,   85, 1, 2, 353271, 22668.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 332,  5, 10,   85, 1, 2, 383883, 22668.48, 217, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 131,  5, 10,   85, 1, 2, 383960, 22668.48, 20, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 345,  5,  9,   85, 1, 2, 353014, 22668.48, 183, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 449,  7,  6,   85, 1, 2, 330624, 22668.48, 174, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 772,  5, 10,   85, 1, 2, 384011, 22668.48, 217, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  62,  6,  8,   85, 1, 2, 372010, 22668.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  59,  5, 10,   85, 1, 2, 384131, 22668.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 744,  6,  8,   85, 1, 2, 372168, 22668.48, 32, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 851,  6,  8,   85, 1, 2, 371939, 22668.48, 21, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 566,  9,  5,   85, 1, 2, 353235, 22668.48, 255, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 524,  7,  6,   85, 1, 2, 330624, 22668.48, 217, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 594,  6,  8,   85, 1, 2, 371864, 22668.48, 85, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 293,  6,  8,   85, 1, 2, 371414, 22668.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 550,  6,  7,   85, 1, 2, 330624, 22668.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 288,  5,  9,   85, 1, 2, 353081, 22668.48, 5, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 562,  5,  9,   86, 1, 2, 353289, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  73,  5,  9,   86, 1, 2, 353352, 22668.48, 29, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 697,  5,  9,   86, 1, 2, 352760, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 436,  5, 10,   86, 1, 2, 384147, 22668.48, 17, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 433,  5, 10,   86, 1, 2, 383982, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 139,  6,  8,   86, 1, 2, 371284, 22668.48, 20, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 730,  4, 11,   86, 1, 2, 346089, 22668.48, 85, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  79,  5, 10,   86, 1, 2, 384016, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 579,  6,  8,   86, 1, 2, 372122, 22668.48, 21, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 418,  5,  9,   86, 1, 2, 353427, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 268,  6,  8,   86, 1, 2, 371928, 22668.48, 217, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 745,  5,  9,   86, 1, 2, 353245, 22668.48, 67, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 991,  5,  9,   86, 1, 2, 352951, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 689,  5,  9,   86, 1, 2, 353218, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 687,  5, 10,   86, 1, 2, 384192, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 107,  4, 11,   86, 1, 2, 346035, 22668.48, 84, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 453,  6,  8,   86, 1, 2, 371801, 22668.48, 85, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 188,  6,  7,   86, 1, 2, 330624, 22668.48, 217, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 680,  5, 10,   86, 1, 2, 383759, 22668.48, 32, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 932,  7,  6,   86, 1, 2, 330624, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 674,  5,  9,   86, 1, 2, 353379, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 899,  4, 11,   86, 1, 2, 346044, 22668.48, 21, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 664,  5,  9,   86, 1, 2, 353230, 22668.48, 40, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 976,  5, 10,   86, 1, 2, 383639, 22668.48, 176, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 645,  4, 11,   86, 1, 2, 346015, 22668.48, 85, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 505,  6,  8,   86, 1, 2, 371895, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 109,  6,  8,   86, 1, 2, 371730, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 376,  5,  9,   86, 1, 2, 353276, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 832,  7,  6,   86, 1, 2, 330624, 22668.48, 32, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 305,  5,  9,   86, 1, 2, 353325, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 363,  5, 10,   86, 1, 2, 383973, 22668.48, 68, 0.00, 1: 60; 2: 13; 
