Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(698)
Melhor resultado nxn: Apoptosis_network, 649,  5, 10,   88, 1, 2, 384274, 23464.91, 26, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 649,  5, 10,   88, 1, 2, 384274, 23464.91, 26, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 689,  5,  9,   89, 1, 2, 353153, 23464.91, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network,  70,  6,  8,   90, 1, 2, 372125, 23464.91, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 672,  5, 10,   90, 1, 2, 383861, 23464.91, 6, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 924,  7,  6,   90, 1, 2, 330624, 23464.91, 111, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 456,  9,  5,   90, 1, 2, 353263, 23464.91, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 452,  5, 10,   90, 1, 2, 384147, 23464.91, 111, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 947,  5,  9,   90, 1, 2, 353205, 23464.91, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 296,  5, 10,   90, 1, 2, 383891, 23464.91, 32, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 295,  6,  8,   90, 1, 2, 372114, 23464.91, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network,  36,  9,  5,   91, 1, 2, 353587, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 676,  5, 10,   91, 1, 2, 383903, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network,  37,  6,  8,   91, 1, 2, 371304, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 231,  5, 10,   91, 1, 2, 382789, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 515,  4, 12,   91, 1, 2, 371739, 23464.91, 212, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 746,  5, 10,   91, 1, 2, 384335, 23464.91, 97, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 217,  5,  9,   91, 1, 2, 353271, 23464.91, 39, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 591,  5, 10,   91, 1, 2, 383971, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 425,  5, 10,   91, 1, 2, 384035, 23464.91, 66, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 578,  5, 10,   91, 1, 2, 384545, 23464.91, 36, 0.00, 1: 55; 2: 18; 
Apoptosis_network,  46,  5, 10,   91, 1, 2, 383819, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 448,  9,  5,   91, 1, 2, 353461, 23464.91, 240, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 699,  6,  8,   91, 1, 2, 372026, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 966,  5, 10,   91, 1, 2, 383696, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 110,  6,  8,   91, 1, 2, 372035, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network,  79,  5, 10,   91, 1, 2, 384238, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 330,  9,  5,   91, 1, 2, 353458, 23464.91, 36, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 635,  5, 10,   91, 1, 2, 383625, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 273,  6,  8,   91, 1, 2, 371886, 23464.91, 81, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 378,  6,  8,   91, 1, 2, 372146, 23464.91, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 965,  5,  9,   92, 1, 2, 353341, 23464.91, 85, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 160,  5, 10,   92, 1, 2, 384254, 23464.91, 5, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 304,  7,  6,   92, 1, 2, 330624, 23464.91, 8, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 620,  5, 10,   92, 1, 2, 383827, 23464.91, 51, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 869,  5, 10,   92, 1, 2, 383952, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 922,  6,  7,   92, 1, 2, 330624, 23464.91, 140, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 339,  6,  8,   92, 1, 2, 371787, 23464.91, 212, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 837,  7,  6,   92, 1, 2, 330624, 23464.91, 85, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 627,  5, 10,   92, 1, 2, 384011, 23464.91, 32, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 466,  6,  7,   92, 1, 2, 330624, 23464.91, 36, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 120,  9,  5,   92, 1, 2, 352996, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 772,  5, 10,   92, 1, 2, 383717, 23464.91, 111, 0.00, 1: 54; 2: 19; 
