Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
3(614)
Melhor resultado nxn: Apoptosis_network, 822,  6,  8,  110, 1, 3, 371983, 23851.12, 0, 0.00, 1: 42; 2: 25; 3: 6; 
Apoptosis_network, 822,  6,  8,  110, 1, 3, 371983, 23851.12, 0, 0.00, 1: 42; 2: 25; 3: 6; 
Apoptosis_network, 164,  6,  8,  111, 1, 3, 371937, 23851.12, 0, 0.00, 1: 42; 2: 24; 3: 7; 
Apoptosis_network, 913,  6,  7,  111, 1, 3, 330624, 23851.12, 98, 0.00, 1: 40; 2: 28; 3: 5; 
Apoptosis_network, 820,  6,  7,  112, 1, 3, 330624, 23851.12, 8, 0.00, 1: 40; 2: 27; 3: 6; 
Apoptosis_network, 326,  6,  8,  112, 1, 3, 372071, 23851.12, 0, 0.00, 1: 43; 2: 21; 3: 9; 
Apoptosis_network, 305,  5,  9,  112, 1, 3, 353241, 23851.12, 0, 0.00, 1: 40; 2: 27; 3: 6; 
Apoptosis_network, 250,  6,  8,  112, 1, 3, 371978, 23851.12, 0, 0.00, 1: 38; 2: 31; 3: 4; 
Apoptosis_network,  11,  5, 10,  112, 1, 3, 383912, 23851.12, 75, 0.00, 1: 41; 2: 25; 3: 7; 
Apoptosis_network,   0,  6,  8,  113, 1, 3, 371924, 23851.12, 0, 0.00, 1: 41; 2: 24; 3: 8; 
Apoptosis_network, 782,  6,  8,  113, 1, 3, 371960, 23851.12, 0, 0.00, 1: 40; 2: 26; 3: 7; 
Apoptosis_network, 848,  7,  6,  113, 1, 3, 330624, 23851.12, 48, 0.00, 1: 38; 2: 30; 3: 5; 
Apoptosis_network, 293,  6,  8,  113, 1, 3, 371898, 23851.12, 0, 0.00, 1: 38; 2: 30; 3: 5; 
Apoptosis_network, 285,  5, 10,  113, 1, 3, 383889, 23851.12, 85, 0.00, 1: 42; 2: 22; 3: 9; 
Apoptosis_network, 261,  9,  5,  113, 1, 3, 353272, 23851.12, 85, 0.00, 1: 42; 2: 22; 3: 9; 
Apoptosis_network, 439,  9,  5,  113, 1, 3, 353242, 23851.12, 0, 0.00, 1: 40; 2: 26; 3: 7; 
