Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
4(832)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 610,  9,  8,  232, 0, 4, 570326, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 56; 3: 19; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 610,  9,  8,  232, 0, 4, 570326, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 56; 3: 19; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 594,  9,  8,  233, 0, 4, 570291, 42936.14, 0, 0.00, 0: 1; 1: 57; 2: 44; 3: 24; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 951, 10,  7,  235, 0, 4, 557143, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 48; 3: 23; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 795,  9,  8,  235, 0, 4, 570256, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 47; 3: 25; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 957,  8,  9,  235, 0, 4, 570251, 42936.14, 0, 0.00, 0: 1; 1: 55; 2: 44; 3: 28; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 345,  7, 11,  235, 0, 4, 605004, 42936.14, 0, 0.00, 0: 1; 1: 52; 2: 53; 3: 19; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 312,  9,  8,  236, 0, 4, 570252, 42936.14, 20, 0.00, 0: 1; 1: 49; 2: 59; 3: 15; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 982,  8,  9,  236, 0, 4, 570333, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 55; 3: 20; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 288,  8,  9,  236, 0, 4, 570244, 42936.14, 17, 0.00, 0: 1; 1: 53; 2: 50; 3: 21; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 529,  9,  8,  236, 0, 4, 570345, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 46; 3: 26; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 153,  9,  8,  237, 0, 4, 570321, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 43; 3: 31; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 492,  7, 11,  237, 0, 4, 605104, 42936.14, 22, 0.00, 0: 1; 1: 50; 2: 55; 3: 19; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 677,  7, 11,  237, 0, 4, 605066, 42936.14, 0, 0.00, 0: 1; 1: 56; 2: 43; 3: 25; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 582,  7, 11,  238, 0, 4, 604826, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 49; 3: 27; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 882,  7, 11,  238, 0, 4, 604946, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 46; 3: 24; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  52,  7, 11,  238, 0, 4, 605118, 42936.14, 33, 0.00, 0: 1; 1: 53; 2: 48; 3: 23; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 807,  8,  9,  238, 0, 4, 570341, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 51; 3: 26; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  23,  8,  9,  238, 0, 4, 570283, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 45; 3: 26; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 382,  7, 10,  238, 0, 4, 557143, 42936.14, 0, 0.00, 0: 1; 1: 55; 2: 45; 3: 23; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 805,  8,  9,  238, 0, 4, 570292, 42936.14, 0, 0.00, 0: 1; 1: 56; 2: 42; 3: 26; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 466, 10,  7,  238, 0, 4, 557182, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 49; 3: 21; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  89,  8,  9,  238, 0, 4, 570340, 42936.14, 0, 0.00, 0: 1; 1: 49; 2: 55; 3: 21; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 562,  8,  9,  238, 0, 4, 570356, 42936.14, 0, 0.00, 0: 1; 1: 53; 2: 48; 3: 23; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 359,  7, 11,  238, 0, 4, 604992, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 44; 3: 28; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  91, 10,  7,  239, 0, 4, 557201, 42936.14, 0, 0.00, 0: 1; 1: 50; 2: 52; 3: 23; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 945,  7, 10,  239, 0, 4, 557170, 42936.14, 0, 0.00, 0: 1; 1: 48; 2: 55; 3: 23; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 623,  9,  8,  239, 0, 4, 570261, 42936.14, 0, 0.00, 0: 1; 1: 52; 2: 47; 3: 27; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 227, 10,  7,  239, 0, 4, 557184, 42936.14, 0, 0.00, 0: 1; 1: 51; 2: 49; 3: 26; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 421,  8,  9,  239, 0, 4, 570163, 42936.14, 0, 0.00, 0: 1; 1: 54; 2: 45; 3: 25; 4: 5; 
