Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
53(788)
Melhor resultado nxn: CD4_T_cell_signaling,  81, 14, 14,  496, 1, 3, 1583841, 110173.38, 0, 0.00, 1: 205; 2: 132; 3: 9; 
CD4_T_cell_signaling, 928, 12, 17,  492, 1, 3, 1625894, 110173.38, 70, 0.00, 1: 214; 2: 118; 3: 14; 
CD4_T_cell_signaling, 237, 12, 17,  492, 1, 3, 1626395, 110173.38, 0, 0.00, 1: 209; 2: 128; 3: 9; 
CD4_T_cell_signaling, 437, 10, 20,  493, 1, 3, 1606609, 110173.38, 0, 0.00, 1: 215; 2: 115; 3: 16; 
CD4_T_cell_signaling, 356, 11, 18,  494, 1, 3, 1595535, 110173.38, 136, 0.00, 1: 213; 2: 118; 3: 15; 
CD4_T_cell_signaling, 620,  9, 22,  494, 1, 3, 1595581, 110173.38, 151, 0.00, 1: 215; 2: 114; 3: 17; 
CD4_T_cell_signaling,  81, 14, 14,  496, 1, 3, 1583841, 110173.38, 0, 0.00, 1: 205; 2: 132; 3: 9; 
CD4_T_cell_signaling, 982, 10, 19,  496, 1, 3, 1526111, 110173.38, 0, 0.00, 1: 213; 2: 116; 3: 17; 
CD4_T_cell_signaling, 218, 12, 17,  496, 1, 3, 1626377, 110173.38, 0, 0.00, 1: 206; 2: 130; 3: 10; 
CD4_T_cell_signaling,   8,  9, 22,  497, 1, 3, 1595237, 110173.38, 128, 0.00, 1: 210; 2: 121; 3: 15; 
CD4_T_cell_signaling, 527, 11, 18,  497, 1, 3, 1595675, 110173.38, 0, 0.00, 1: 206; 2: 129; 3: 11; 
CD4_T_cell_signaling, 423,  9, 22,  497, 1, 3, 1595621, 110173.38, 0, 0.00, 1: 209; 2: 123; 3: 14; 
CD4_T_cell_signaling, 156, 15, 13,  497, 1, 3, 1567997, 110173.38, 13, 0.00, 1: 211; 2: 119; 3: 16; 
CD4_T_cell_signaling, 426, 11, 18,  497, 1, 3, 1595570, 110173.38, 0, 0.00, 1: 208; 2: 125; 3: 13; 
CD4_T_cell_signaling, 513,  9, 23,  498, 1, 3, 1649615, 110173.38, 0, 0.00, 1: 212; 2: 116; 3: 18; 
CD4_T_cell_signaling, 708, 10, 19,  498, 1, 3, 1526106, 110173.38, 155, 0.00, 1: 207; 2: 126; 3: 13; 
CD4_T_cell_signaling, 150, 16, 12,  499, 1, 3, 1539635, 110173.38, 0, 0.00, 1: 205; 2: 129; 3: 12; 
CD4_T_cell_signaling,  43, 12, 17,  499, 1, 3, 1626396, 110173.38, 0, 0.00, 1: 203; 2: 133; 3: 10; 
CD4_T_cell_signaling, 906, 14, 14,  499, 1, 3, 1583944, 110173.38, 0, 0.00, 1: 210; 2: 119; 3: 17; 
CD4_T_cell_signaling, 709, 11, 18,  499, 1, 3, 1595505, 110173.38, 0, 0.00, 1: 206; 2: 127; 3: 13; 
CD4_T_cell_signaling, 472, 12, 16,  499, 1, 3, 1539777, 110173.38, 32, 0.00, 1: 208; 2: 123; 3: 15; 
CD4_T_cell_signaling, 931,  9, 23,  499, 1, 3, 1649434, 110173.38, 0, 0.00, 1: 205; 2: 129; 3: 12; 
CD4_T_cell_signaling, 252, 10, 20,  499, 1, 3, 1606502, 110173.38, 38, 0.00, 1: 212; 2: 115; 3: 19; 
CD4_T_cell_signaling, 799, 16, 12,  500, 1, 3, 1539726, 110173.38, 0, 0.00, 1: 206; 2: 126; 3: 14; 
CD4_T_cell_signaling, 438, 10, 20,  500, 1, 3, 1606572, 110173.38, 0, 0.00, 1: 206; 2: 126; 3: 14; 
CD4_T_cell_signaling, 395, 12, 16,  501, 1, 3, 1539712, 110173.38, 0, 0.00, 1: 206; 2: 125; 3: 15; 
CD4_T_cell_signaling, 843, 10, 20,  501, 1, 3, 1606406, 110173.38, 0, 0.00, 1: 208; 2: 121; 3: 17; 
CD4_T_cell_signaling, 508, 12, 17,  501, 1, 3, 1626325, 110173.38, 78, 0.00, 1: 204; 2: 129; 3: 13; 
CD4_T_cell_signaling, 776, 11, 18,  501, 1, 3, 1595576, 110173.38, 54, 0.00, 1: 204; 2: 129; 3: 13; 
CD4_T_cell_signaling, 625, 12, 17,  501, 1, 3, 1626255, 110173.38, 0, 0.00, 1: 205; 2: 127; 3: 14; 
CD4_T_cell_signaling, 879,  9, 23,  501, 1, 3, 1649437, 110173.38, 0, 0.00, 1: 208; 2: 121; 3: 17; 
CD4_T_cell_signaling, 298, 11, 18,  501, 1, 3, 1595496, 110173.38, 0, 0.00, 1: 203; 2: 131; 3: 12; 
CD4_T_cell_signaling, 264, 11, 18,  501, 1, 3, 1595561, 110173.38, 17, 0.00, 1: 204; 2: 129; 3: 13; 
CD4_T_cell_signaling, 215,  9, 23,  501, 1, 3, 1649593, 110173.38, 0, 0.00, 1: 208; 2: 121; 3: 17; 
CD4_T_cell_signaling, 157,  9, 22,  501, 1, 3, 1595611, 110173.38, 0, 0.00, 1: 205; 2: 127; 3: 14; 
CD4_T_cell_signaling, 233, 15, 13,  501, 1, 3, 1568237, 110173.38, 0, 0.00, 1: 203; 2: 131; 3: 12; 
CD4_T_cell_signaling, 674, 12, 17,  502, 1, 3, 1625973, 110173.38, 0, 0.00, 1: 204; 2: 128; 3: 14; 
CD4_T_cell_signaling, 465, 12, 17,  502, 1, 3, 1626165, 110173.38, 0, 0.00, 1: 203; 2: 130; 3: 13; 
CD4_T_cell_signaling, 770, 12, 17,  502, 1, 3, 1626469, 110173.38, 0, 0.00, 1: 206; 2: 124; 3: 16; 
CD4_T_cell_signaling, 746, 16, 12,  502, 1, 3, 1539690, 110173.38, 0, 0.00, 1: 208; 2: 120; 3: 18; 
CD4_T_cell_signaling, 520,  9, 23,  502, 1, 3, 1649737, 110173.38, 33, 0.00, 1: 207; 2: 122; 3: 17; 
CD4_T_cell_signaling, 550, 11, 18,  502, 1, 3, 1595679, 110173.38, 0, 0.00, 1: 207; 2: 122; 3: 17; 
CD4_T_cell_signaling, 613, 10, 19,  502, 1, 3, 1526085, 110173.38, 0, 0.00, 1: 203; 2: 130; 3: 13; 
CD4_T_cell_signaling, 999,  9, 22,  502, 1, 3, 1595629, 110173.38, 0, 0.00, 1: 209; 2: 118; 3: 19; 
CD4_T_cell_signaling, 225, 10, 20,  502, 1, 3, 1606463, 110173.38, 0, 0.00, 1: 203; 2: 130; 3: 13; 
CD4_T_cell_signaling, 895,  9, 23,  502, 1, 3, 1649675, 110173.38, 0, 0.00, 1: 202; 2: 132; 3: 12; 
