Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
193(640)
Melhor resultado nxn: CD4_T_cell_signaling, 990, 14, 14,  530, 1, 3, 1583733, 112548.32, 0, 0.00, 1: 183; 2: 142; 3: 21; 
CD4_T_cell_signaling, 331, 11, 18,  522, 1, 3, 1595613, 112548.32, 0, 0.00, 1: 184; 2: 148; 3: 14; 
CD4_T_cell_signaling, 541, 11, 18,  524, 1, 3, 1595376, 112548.32, 0, 0.00, 1: 182; 2: 150; 3: 14; 
CD4_T_cell_signaling, 922,  9, 21,  525, 1, 3, 1527876, 112548.32, 0, 0.00, 1: 189; 2: 135; 3: 22; 
CD4_T_cell_signaling, 543,  9, 23,  525, 1, 3, 1649543, 112548.32, 0, 0.00, 1: 189; 2: 135; 3: 22; 
CD4_T_cell_signaling, 949, 15, 13,  526, 1, 3, 1568066, 112548.32, 0, 0.00, 1: 179; 2: 154; 3: 13; 
CD4_T_cell_signaling, 170, 10, 20,  526, 1, 3, 1606617, 112548.32, 0, 0.00, 1: 188; 2: 136; 3: 22; 
CD4_T_cell_signaling, 169, 12, 17,  526, 1, 3, 1626109, 112548.32, 0, 0.00, 1: 184; 2: 144; 3: 18; 
CD4_T_cell_signaling, 770, 12, 17,  527, 1, 3, 1626332, 112548.32, 0, 0.00, 1: 182; 2: 147; 3: 17; 
CD4_T_cell_signaling, 842, 12, 17,  527, 1, 3, 1626138, 112548.32, 0, 0.00, 1: 185; 2: 141; 3: 20; 
CD4_T_cell_signaling, 245, 12, 17,  527, 1, 3, 1626381, 112548.32, 0, 0.00, 1: 183; 2: 145; 3: 18; 
CD4_T_cell_signaling, 225, 10, 20,  527, 1, 3, 1606610, 112548.32, 0, 0.00, 1: 186; 2: 139; 3: 21; 
CD4_T_cell_signaling, 468, 12, 17,  527, 1, 3, 1626257, 112548.32, 21, 0.00, 1: 182; 2: 147; 3: 17; 
CD4_T_cell_signaling, 864, 12, 17,  528, 1, 3, 1626444, 112548.32, 65, 0.00, 1: 182; 2: 146; 3: 18; 
CD4_T_cell_signaling, 721, 12, 17,  529, 1, 3, 1626142, 112548.32, 0, 0.00, 1: 190; 2: 129; 3: 27; 
CD4_T_cell_signaling, 430, 13, 15,  529, 1, 3, 1568084, 112548.32, 0, 0.00, 1: 178; 2: 153; 3: 15; 
CD4_T_cell_signaling, 974, 13, 15,  530, 1, 3, 1568262, 112548.32, 0, 0.00, 1: 184; 2: 140; 3: 22; 
CD4_T_cell_signaling,  58,  9, 23,  530, 1, 3, 1649634, 112548.32, 0, 0.00, 1: 183; 2: 142; 3: 21; 
CD4_T_cell_signaling, 761, 11, 18,  530, 1, 3, 1595447, 112548.32, 0, 0.00, 1: 183; 2: 142; 3: 21; 
CD4_T_cell_signaling, 422, 16, 12,  530, 1, 3, 1539748, 112548.32, 0, 0.00, 1: 178; 2: 152; 3: 16; 
CD4_T_cell_signaling, 990, 14, 14,  530, 1, 3, 1583733, 112548.32, 0, 0.00, 1: 183; 2: 142; 3: 21; 
CD4_T_cell_signaling, 309, 12, 16,  530, 1, 3, 1539748, 112548.32, 0, 0.00, 1: 186; 2: 136; 3: 24; 
CD4_T_cell_signaling, 587, 14, 14,  530, 1, 3, 1583710, 112548.32, 0, 0.00, 1: 183; 2: 142; 3: 21; 
CD4_T_cell_signaling, 694, 12, 17,  530, 1, 3, 1626351, 112548.32, 0, 0.00, 1: 181; 2: 146; 3: 19; 
CD4_T_cell_signaling, 489, 10, 20,  531, 1, 3, 1606510, 112548.32, 0, 0.00, 1: 182; 2: 143; 3: 21; 
CD4_T_cell_signaling, 238, 11, 18,  532, 1, 3, 1595375, 112548.32, 0, 0.00, 1: 178; 2: 150; 3: 18; 
CD4_T_cell_signaling, 979, 12, 17,  532, 1, 3, 1626149, 112548.32, 0, 0.00, 1: 186; 2: 134; 3: 26; 
CD4_T_cell_signaling, 206, 10, 20,  532, 1, 3, 1606501, 112548.32, 0, 0.00, 1: 174; 2: 158; 3: 14; 
CD4_T_cell_signaling, 775, 16, 12,  532, 1, 3, 1539728, 112548.32, 0, 0.00, 1: 178; 2: 150; 3: 18; 
