Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
2(776)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 793,  7,  8,  110, 1, 2, 439419, 28650.14, 72, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 793,  7,  8,  110, 1, 2, 439419, 28650.14, 72, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 234,  7,  8,  110, 1, 2, 439166, 28650.14, 111, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 900,  7,  8,  111, 1, 2, 439432, 28650.14, 62, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 753,  8,  7,  111, 1, 2, 439035, 28650.14, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 352,  7,  8,  111, 1, 2, 438963, 28650.14, 7, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 504,  7,  8,  111, 1, 2, 439165, 28650.14, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 267,  8,  7,  111, 1, 2, 439169, 28650.14, 13, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 140,  8,  7,  111, 1, 2, 439275, 28650.14, 62, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 346,  7,  8,  111, 1, 2, 438998, 28650.14, 171, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 164,  6,  9,  111, 1, 2, 425881, 28650.14, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 146,  8,  7,  111, 1, 2, 439583, 28650.14, 228, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 823,  7,  8,  111, 1, 2, 439200, 28650.14, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 787,  7,  8,  111, 1, 2, 439057, 28650.14, 14, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 909,  7,  8,  111, 1, 2, 439394, 28650.14, 86, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 324,  8,  7,  111, 1, 2, 439144, 28650.14, 62, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes,  62,  8,  7,  111, 1, 2, 439144, 28650.14, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 235,  7,  8,  111, 1, 2, 439441, 28650.14, 109, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 620,  8,  7,  111, 1, 2, 439282, 28650.14, 103, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes,  55,  8,  7,  112, 1, 2, 439063, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 473,  7,  8,  112, 1, 2, 439246, 28650.14, 70, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 894,  7,  8,  112, 1, 2, 439321, 28650.14, 255, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 922,  5, 12,  112, 1, 2, 463803, 28650.14, 171, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 153,  8,  7,  112, 1, 2, 439269, 28650.14, 69, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 139,  7,  8,  112, 1, 2, 439150, 28650.14, 13, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 150,  6,  9,  112, 1, 2, 426055, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 479,  6,  9,  112, 1, 2, 426005, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 569,  7,  8,  112, 1, 2, 439048, 28650.14, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 585,  7,  8,  112, 1, 2, 439419, 28650.14, 63, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 426,  6,  9,  112, 1, 2, 426148, 28650.14, 122, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 751,  8,  7,  112, 1, 2, 439226, 28650.14, 0, 0.00, 1: 82; 2: 15; 
