Seed 1656949570
ARCH 2|F_ID 3|LIMIT 3
before: 
2(587)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 813,  7,  8,  118, 1, 2, 439483, 29608.35, 82, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 813,  7,  8,  118, 1, 2, 439483, 29608.35, 82, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 500,  8,  7,  118, 1, 2, 438773, 29608.35, 36, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 663,  7,  8,  118, 1, 2, 439473, 29608.35, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 121,  7,  8,  118, 1, 2, 438719, 29608.35, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 369,  7,  8,  118, 1, 2, 439188, 29608.35, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 504,  7,  8,  118, 1, 2, 439280, 29608.35, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 551,  7,  8,  118, 1, 2, 439282, 29608.35, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 563,  7,  8,  119, 1, 2, 438942, 29608.35, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 819,  9,  6,  119, 1, 2, 426148, 29608.35, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 866,  8,  7,  119, 1, 2, 439231, 29608.35, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 195,  7,  8,  119, 1, 2, 439266, 29608.35, 13, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes,  54,  6,  9,  119, 1, 2, 426268, 29608.35, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 981,  7,  8,  119, 1, 2, 439257, 29608.35, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 376,  8,  7,  119, 1, 2, 439125, 29608.35, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 710,  8,  7,  119, 1, 2, 439405, 29608.35, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 243,  7,  8,  119, 1, 2, 439295, 29608.35, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 859,  8,  7,  120, 1, 2, 438968, 29608.35, 13, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 824,  7,  8,  120, 1, 2, 439135, 29608.35, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 184,  6,  9,  120, 1, 2, 425919, 29608.35, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 239,  6,  9,  120, 1, 2, 426031, 29608.35, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 598,  7,  8,  120, 1, 2, 439247, 29608.35, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 884,  8,  7,  120, 1, 2, 439418, 29608.35, 35, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 597,  8,  7,  120, 1, 2, 439130, 29608.35, 86, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 894,  7,  8,  120, 1, 2, 439191, 29608.35, 255, 0.00, 1: 74; 2: 23; 
