Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
3(591)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 549,  7,  8,  130, 0, 3, 439086, 30005.01, 0, 0.00, 0: 8; 1: 52; 2: 33; 3: 4; 
Differentiation_of_T_lymphocytes, 549,  7,  8,  130, 0, 3, 439086, 30005.01, 0, 0.00, 0: 8; 1: 52; 2: 33; 3: 4; 
Differentiation_of_T_lymphocytes, 524,  7,  8,  130, 0, 3, 439226, 30005.01, 221, 0.00, 0: 8; 1: 52; 2: 33; 3: 4; 
Differentiation_of_T_lymphocytes, 177,  7,  8,  130, 0, 3, 439321, 30005.01, 0, 0.00, 0: 8; 1: 52; 2: 33; 3: 4; 
Differentiation_of_T_lymphocytes, 714,  7,  8,  131, 0, 3, 439165, 30005.01, 2, 0.00, 0: 8; 1: 50; 2: 36; 3: 3; 
Differentiation_of_T_lymphocytes,  76,  7,  8,  131, 0, 3, 438988, 30005.01, 221, 0.00, 0: 8; 1: 50; 2: 36; 3: 3; 
Differentiation_of_T_lymphocytes, 969,  7,  8,  131, 0, 3, 439171, 30005.01, 0, 0.00, 0: 8; 1: 52; 2: 32; 3: 5; 
Differentiation_of_T_lymphocytes, 984,  8,  7,  131, 0, 3, 439235, 30005.01, 216, 0.00, 0: 8; 1: 50; 2: 36; 3: 3; 
Differentiation_of_T_lymphocytes, 866,  8,  7,  132, 0, 3, 439198, 30005.01, 0, 0.00, 0: 8; 1: 56; 2: 23; 3: 10; 
Differentiation_of_T_lymphocytes, 353,  9,  6,  132, 0, 3, 426086, 30005.01, 0, 0.00, 0: 8; 1: 52; 2: 31; 3: 6; 
Differentiation_of_T_lymphocytes, 219,  7,  8,  132, 0, 3, 439152, 30005.01, 60, 0.00, 0: 8; 1: 50; 2: 35; 3: 4; 
Differentiation_of_T_lymphocytes, 507,  8,  7,  132, 0, 3, 439191, 30005.01, 0, 0.00, 0: 8; 1: 52; 2: 31; 3: 6; 
Differentiation_of_T_lymphocytes, 909,  7,  8,  132, 0, 3, 439246, 30005.01, 85, 0.00, 0: 8; 1: 50; 2: 35; 3: 4; 
Differentiation_of_T_lymphocytes, 906,  7,  8,  132, 0, 3, 439051, 30005.01, 2, 0.00, 0: 8; 1: 51; 2: 33; 3: 5; 
Differentiation_of_T_lymphocytes, 977,  8,  7,  133, 0, 3, 439166, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 38; 3: 3; 
Differentiation_of_T_lymphocytes, 214,  7,  8,  133, 0, 3, 439212, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 36; 3: 4; 
Differentiation_of_T_lymphocytes, 679,  7,  8,  133, 0, 3, 439189, 30005.01, 0, 0.00, 0: 8; 1: 51; 2: 32; 3: 6; 
Differentiation_of_T_lymphocytes,  36,  7,  8,  133, 0, 3, 439167, 30005.01, 0, 0.00, 0: 8; 1: 50; 2: 34; 3: 5; 
Differentiation_of_T_lymphocytes, 556,  7,  8,  133, 0, 3, 439240, 30005.01, 66, 0.00, 0: 8; 1: 52; 2: 30; 3: 7; 
Differentiation_of_T_lymphocytes, 730,  7,  8,  133, 0, 3, 439205, 30005.01, 2, 0.00, 0: 8; 1: 50; 2: 34; 3: 5; 
Differentiation_of_T_lymphocytes,  50,  8,  7,  133, 0, 3, 439106, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 36; 3: 4; 
Differentiation_of_T_lymphocytes, 450,  7,  8,  133, 0, 3, 439217, 30005.01, 2, 0.00, 0: 8; 1: 50; 2: 34; 3: 5; 
Differentiation_of_T_lymphocytes, 201,  8,  7,  133, 0, 3, 439271, 30005.01, 29, 0.00, 0: 8; 1: 52; 2: 30; 3: 7; 
Differentiation_of_T_lymphocytes,  52,  8,  7,  134, 0, 3, 439197, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 37; 3: 4; 
Differentiation_of_T_lymphocytes, 338,  7,  8,  134, 0, 3, 439109, 30005.01, 2, 0.00, 0: 8; 1: 49; 2: 35; 3: 5; 
Differentiation_of_T_lymphocytes, 206,  7,  8,  134, 0, 3, 439194, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 39; 3: 3; 
Differentiation_of_T_lymphocytes, 704,  9,  6,  134, 0, 3, 426064, 30005.01, 176, 0.00, 0: 8; 1: 50; 2: 33; 3: 6; 
Differentiation_of_T_lymphocytes, 642,  8,  7,  134, 0, 3, 439176, 30005.01, 2, 0.00, 0: 8; 1: 50; 2: 33; 3: 6; 
Differentiation_of_T_lymphocytes, 821,  8,  7,  135, 0, 3, 439019, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 526,  8,  7,  135, 0, 3, 439232, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 36; 3: 5; 
Differentiation_of_T_lymphocytes, 634,  7,  8,  135, 0, 3, 439126, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 38; 3: 4; 
Differentiation_of_T_lymphocytes, 208,  7,  8,  135, 0, 3, 439225, 30005.01, 128, 0.00, 0: 8; 1: 47; 2: 38; 3: 4; 
Differentiation_of_T_lymphocytes, 632,  7,  8,  135, 0, 3, 439140, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 36; 3: 5; 
Differentiation_of_T_lymphocytes, 415,  8,  7,  135, 0, 3, 439254, 30005.01, 0, 0.00, 0: 8; 1: 47; 2: 38; 3: 4; 
Differentiation_of_T_lymphocytes, 918,  6,  9,  135, 0, 3, 426012, 30005.01, 0, 0.00, 0: 8; 1: 46; 2: 40; 3: 3; 
Differentiation_of_T_lymphocytes, 624,  9,  6,  135, 0, 3, 425956, 30005.01, 1, 0.00, 0: 8; 1: 47; 2: 38; 3: 4; 
Differentiation_of_T_lymphocytes, 116,  7,  8,  135, 0, 3, 439282, 30005.01, 29, 0.00, 0: 8; 1: 48; 2: 36; 3: 5; 
Differentiation_of_T_lymphocytes, 174,  8,  7,  135, 0, 3, 439153, 30005.01, 0, 0.00, 0: 8; 1: 51; 2: 30; 3: 8; 
Differentiation_of_T_lymphocytes,  90,  8,  7,  135, 0, 3, 439300, 30005.01, 2, 0.00, 0: 8; 1: 48; 2: 36; 3: 5; 
Differentiation_of_T_lymphocytes,  94,  8,  7,  135, 0, 3, 439101, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 36; 3: 5; 
Differentiation_of_T_lymphocytes,  99,  8,  7,  135, 0, 3, 439162, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 575,  8,  7,  135, 0, 3, 439205, 30005.01, 0, 0.00, 0: 8; 1: 48; 2: 36; 3: 5; 
Differentiation_of_T_lymphocytes, 884,  8,  7,  135, 0, 3, 439142, 30005.01, 35, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 857,  8,  7,  135, 0, 3, 439292, 30005.01, 120, 0.00, 0: 8; 1: 47; 2: 38; 3: 4; 
Differentiation_of_T_lymphocytes, 108,  9,  6,  135, 0, 3, 426090, 30005.01, 32, 0.00, 0: 8; 1: 51; 2: 30; 3: 8; 
Differentiation_of_T_lymphocytes, 262,  9,  6,  135, 0, 3, 425984, 30005.01, 0, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 521,  8,  7,  135, 0, 3, 439256, 30005.01, 111, 0.00, 0: 8; 1: 44; 2: 44; 3: 1; 
