Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
3(992)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 682,  9, 12,  339, 1, 3, 865815, 74000.52, 0, 0.00, 1: 123; 2: 96; 3: 8; 
EGFR_&_ErbB_Signaling, 682,  9, 12,  339, 1, 3, 865815, 74000.52, 0, 0.00, 1: 123; 2: 96; 3: 8; 
EGFR_&_ErbB_Signaling,  38,  8, 14,  339, 1, 3, 891155, 74000.52, 0, 0.00, 1: 124; 2: 94; 3: 9; 
EGFR_&_ErbB_Signaling, 994,  8, 14,  339, 1, 3, 891084, 74000.52, 0, 0.00, 1: 124; 2: 94; 3: 9; 
EGFR_&_ErbB_Signaling, 167,  7, 17,  339, 1, 3, 940292, 74000.52, 0, 0.00, 1: 127; 2: 88; 3: 12; 
EGFR_&_ErbB_Signaling, 883,  7, 16,  340, 1, 3, 891191, 74000.52, 0, 0.00, 1: 121; 2: 99; 3: 7; 
EGFR_&_ErbB_Signaling, 475, 11, 10,  340, 1, 3, 879009, 74000.52, 0, 0.00, 1: 124; 2: 93; 3: 10; 
EGFR_&_ErbB_Signaling, 864, 10, 11,  340, 1, 3, 879079, 74000.52, 40, 0.00, 1: 121; 2: 99; 3: 7; 
EGFR_&_ErbB_Signaling, 988,  8, 14,  340, 1, 3, 891130, 74000.52, 40, 0.00, 1: 124; 2: 93; 3: 10; 
EGFR_&_ErbB_Signaling, 305, 12,  9,  340, 1, 3, 865838, 74000.52, 0, 0.00, 1: 124; 2: 93; 3: 10; 
EGFR_&_ErbB_Signaling, 237,  8, 14,  340, 1, 3, 891047, 74000.52, 0, 0.00, 1: 122; 2: 97; 3: 8; 
EGFR_&_ErbB_Signaling, 315,  7, 17,  341, 1, 3, 940556, 74000.52, 0, 0.00, 1: 126; 2: 88; 3: 13; 
EGFR_&_ErbB_Signaling, 512,  7, 17,  341, 1, 3, 940696, 74000.52, 24, 0.00, 1: 123; 2: 94; 3: 10; 
EGFR_&_ErbB_Signaling, 983,  8, 14,  341, 1, 3, 890990, 74000.52, 0, 0.00, 1: 122; 2: 96; 3: 9; 
