Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
3(951)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 367,  7, 16,  349, 1, 3, 891193, 75721.94, 0, 0.00, 1: 112; 2: 108; 3: 7; 
EGFR_&_ErbB_Signaling, 367,  7, 16,  349, 1, 3, 891193, 75721.94, 0, 0.00, 1: 112; 2: 108; 3: 7; 
EGFR_&_ErbB_Signaling, 819, 12,  9,  351, 1, 3, 865755, 75721.94, 0, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling, 813, 10, 11,  351, 1, 3, 879071, 75721.94, 0, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 285, 11, 10,  352, 1, 3, 879135, 75721.94, 0, 0.00, 1: 112; 2: 105; 3: 10; 
EGFR_&_ErbB_Signaling, 760,  8, 14,  353, 1, 3, 890922, 75721.94, 33, 0.00, 1: 114; 2: 100; 3: 13; 
EGFR_&_ErbB_Signaling, 455,  8, 14,  353, 1, 3, 891295, 75721.94, 0, 0.00, 1: 114; 2: 100; 3: 13; 
EGFR_&_ErbB_Signaling, 414,  7, 17,  354, 1, 3, 940243, 75721.94, 0, 0.00, 1: 110; 2: 107; 3: 10; 
EGFR_&_ErbB_Signaling, 797,  7, 16,  354, 1, 3, 891093, 75721.94, 0, 0.00, 1: 109; 2: 109; 3: 9; 
EGFR_&_ErbB_Signaling, 395,  7, 16,  354, 1, 3, 890933, 75721.94, 0, 0.00, 1: 112; 2: 103; 3: 12; 
EGFR_&_ErbB_Signaling, 941,  7, 16,  354, 1, 3, 891056, 75721.94, 0, 0.00, 1: 112; 2: 103; 3: 12; 
EGFR_&_ErbB_Signaling, 793,  8, 14,  354, 1, 3, 890969, 75721.94, 0, 0.00, 1: 111; 2: 105; 3: 11; 
EGFR_&_ErbB_Signaling, 134,  7, 17,  355, 1, 3, 940288, 75721.94, 0, 0.00, 1: 111; 2: 104; 3: 12; 
EGFR_&_ErbB_Signaling, 319,  7, 17,  355, 1, 3, 940529, 75721.94, 0, 0.00, 1: 112; 2: 102; 3: 13; 
EGFR_&_ErbB_Signaling, 720,  8, 14,  355, 1, 3, 891075, 75721.94, 32, 0.00, 1: 107; 2: 112; 3: 8; 
EGFR_&_ErbB_Signaling, 875,  6, 20,  355, 1, 3, 947550, 75721.94, 0, 0.00, 1: 116; 2: 94; 3: 17; 
EGFR_&_ErbB_Signaling, 281,  9, 12,  355, 1, 3, 865837, 75721.94, 0, 0.00, 1: 113; 2: 100; 3: 14; 
EGFR_&_ErbB_Signaling, 588,  9, 12,  355, 1, 3, 865923, 75721.94, 35, 0.00, 1: 113; 2: 100; 3: 14; 
EGFR_&_ErbB_Signaling, 649,  8, 14,  355, 1, 3, 891019, 75721.94, 0, 0.00, 1: 112; 2: 102; 3: 13; 
EGFR_&_ErbB_Signaling,  13,  8, 14,  356, 1, 3, 891113, 75721.94, 127, 0.00, 1: 111; 2: 103; 3: 13; 
EGFR_&_ErbB_Signaling, 581,  7, 16,  356, 1, 3, 891107, 75721.94, 0, 0.00, 1: 110; 2: 105; 3: 12; 
EGFR_&_ErbB_Signaling, 583,  7, 17,  356, 1, 3, 940858, 75721.94, 0, 0.00, 1: 111; 2: 103; 3: 13; 
EGFR_&_ErbB_Signaling, 484,  9, 12,  356, 1, 3, 865906, 75721.94, 89, 0.00, 1: 109; 2: 107; 3: 11; 
EGFR_&_ErbB_Signaling, 826,  7, 15,  357, 1, 3, 840840, 75721.94, 0, 0.00, 1: 113; 2: 98; 3: 16; 
EGFR_&_ErbB_Signaling, 700, 10, 11,  357, 1, 3, 878986, 75721.94, 55, 0.00, 1: 109; 2: 106; 3: 12; 
EGFR_&_ErbB_Signaling, 846, 10, 11,  357, 1, 3, 879068, 75721.94, 0, 0.00, 1: 110; 2: 104; 3: 13; 
EGFR_&_ErbB_Signaling, 701,  9, 12,  357, 1, 3, 865691, 75721.94, 0, 0.00, 1: 111; 2: 102; 3: 14; 
EGFR_&_ErbB_Signaling, 466, 10, 11,  357, 1, 3, 879164, 75721.94, 0, 0.00, 1: 109; 2: 106; 3: 12; 
EGFR_&_ErbB_Signaling, 407, 12,  9,  357, 1, 3, 865868, 75721.94, 0, 0.00, 1: 106; 2: 112; 3: 9; 
EGFR_&_ErbB_Signaling, 326,  9, 12,  357, 1, 3, 865846, 75721.94, 0, 0.00, 1: 108; 2: 108; 3: 11; 
EGFR_&_ErbB_Signaling,  22, 10, 11,  357, 1, 3, 879016, 75721.94, 0, 0.00, 1: 113; 2: 98; 3: 16; 
EGFR_&_ErbB_Signaling, 165,  8, 13,  357, 1, 3, 830180, 75721.94, 0, 0.00, 1: 110; 2: 104; 3: 13; 
EGFR_&_ErbB_Signaling, 655,  7, 17,  357, 1, 3, 940375, 75721.94, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling, 766,  7, 15,  357, 1, 3, 840840, 75721.94, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling, 193, 12,  9,  357, 1, 3, 865760, 75721.94, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling,  14, 10, 11,  357, 1, 3, 879010, 75721.94, 0, 0.00, 1: 108; 2: 108; 3: 11; 
EGFR_&_ErbB_Signaling, 542,  7, 15,  357, 1, 3, 840840, 75721.94, 0, 0.00, 1: 113; 2: 98; 3: 16; 
EGFR_&_ErbB_Signaling, 533,  7, 16,  357, 1, 3, 891163, 75721.94, 0, 0.00, 1: 109; 2: 106; 3: 12; 
EGFR_&_ErbB_Signaling,  63,  7, 17,  358, 1, 3, 940354, 75721.94, 0, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 906,  7, 17,  358, 1, 3, 940267, 75721.94, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 939,  8, 14,  358, 1, 3, 891063, 75721.94, 0, 0.00, 1: 108; 2: 107; 3: 12; 
EGFR_&_ErbB_Signaling, 639,  7, 15,  358, 1, 3, 840840, 75721.94, 0, 0.00, 1: 107; 2: 109; 3: 11; 
EGFR_&_ErbB_Signaling, 561, 12,  9,  358, 1, 3, 865804, 75721.94, 0, 0.00, 1: 113; 2: 97; 3: 17; 
EGFR_&_ErbB_Signaling, 985,  7, 16,  358, 1, 3, 891058, 75721.94, 0, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 628, 11, 10,  358, 1, 3, 878979, 75721.94, 23, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 233,  8, 13,  358, 1, 3, 830180, 75721.94, 0, 0.00, 1: 108; 2: 107; 3: 12; 
EGFR_&_ErbB_Signaling, 677,  7, 17,  358, 1, 3, 940427, 75721.94, 0, 0.00, 1: 108; 2: 107; 3: 12; 
EGFR_&_ErbB_Signaling, 524,  8, 14,  358, 1, 3, 891124, 75721.94, 29, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 227, 10, 11,  358, 1, 3, 879167, 75721.94, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 225, 10, 11,  358, 1, 3, 879154, 75721.94, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 607,  9, 12,  358, 1, 3, 865898, 75721.94, 0, 0.00, 1: 106; 2: 111; 3: 10; 
EGFR_&_ErbB_Signaling, 814,  7, 16,  358, 1, 3, 891306, 75721.94, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 266,  7, 17,  358, 1, 3, 940799, 75721.94, 0, 0.00, 1: 111; 2: 101; 3: 15; 
EGFR_&_ErbB_Signaling, 874,  7, 17,  358, 1, 3, 940285, 75721.94, 0, 0.00, 1: 113; 2: 97; 3: 17; 
EGFR_&_ErbB_Signaling, 623,  8, 14,  358, 1, 3, 890986, 75721.94, 0, 0.00, 1: 108; 2: 107; 3: 12; 
EGFR_&_ErbB_Signaling, 121,  7, 17,  358, 1, 3, 940140, 75721.94, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 618,  7, 15,  358, 1, 3, 840840, 75721.94, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling,  33, 11, 10,  358, 1, 3, 879077, 75721.94, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 440,  9, 12,  358, 1, 3, 865722, 75721.94, 21, 0.00, 1: 108; 2: 107; 3: 12; 
EGFR_&_ErbB_Signaling, 712,  7, 15,  358, 1, 3, 840840, 75721.94, 31, 0.00, 1: 111; 2: 101; 3: 15; 
EGFR_&_ErbB_Signaling, 900,  7, 17,  358, 1, 3, 940504, 75721.94, 32, 0.00, 1: 105; 2: 113; 3: 9; 
EGFR_&_ErbB_Signaling, 360, 12,  9,  358, 1, 3, 865723, 75721.94, 21, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 705,  7, 16,  358, 1, 3, 891103, 75721.94, 0, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 936,  9, 12,  359, 1, 3, 865800, 75721.94, 45, 0.00, 1: 111; 2: 100; 3: 16; 
EGFR_&_ErbB_Signaling, 923,  7, 16,  359, 1, 3, 891148, 75721.94, 0, 0.00, 1: 107; 2: 108; 3: 12; 
EGFR_&_ErbB_Signaling, 742, 11, 10,  359, 1, 3, 879017, 75721.94, 0, 0.00, 1: 106; 2: 110; 3: 11; 
EGFR_&_ErbB_Signaling, 648,  7, 17,  359, 1, 3, 940842, 75721.94, 29, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 545,  7, 15,  359, 1, 3, 840840, 75721.94, 0, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 940,  7, 17,  359, 1, 3, 940571, 75721.94, 13, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 861,  9, 12,  359, 1, 3, 865766, 75721.94, 0, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 372, 11, 10,  359, 1, 3, 879050, 75721.94, 98, 0.00, 1: 107; 2: 108; 3: 12; 
EGFR_&_ErbB_Signaling,  10,  7, 17,  359, 1, 3, 940431, 75721.94, 161, 0.00, 1: 107; 2: 108; 3: 12; 
EGFR_&_ErbB_Signaling, 362,  7, 16,  359, 1, 3, 891075, 75721.94, 0, 0.00, 1: 111; 2: 100; 3: 16; 
EGFR_&_ErbB_Signaling, 803,  9, 12,  359, 1, 3, 865886, 75721.94, 0, 0.00, 1: 105; 2: 112; 3: 10; 
EGFR_&_ErbB_Signaling, 578, 11, 10,  359, 1, 3, 879045, 75721.94, 0, 0.00, 1: 112; 2: 98; 3: 17; 
EGFR_&_ErbB_Signaling, 798, 10, 11,  359, 1, 3, 879119, 75721.94, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 750, 12,  9,  359, 1, 3, 865808, 75721.94, 0, 0.00, 1: 106; 2: 110; 3: 11; 
EGFR_&_ErbB_Signaling, 869, 11, 10,  359, 1, 3, 879049, 75721.94, 0, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 596, 11, 10,  359, 1, 3, 879118, 75721.94, 89, 0.00, 1: 107; 2: 108; 3: 12; 
EGFR_&_ErbB_Signaling, 774,  7, 16,  359, 1, 3, 891120, 75721.94, 0, 0.00, 1: 105; 2: 112; 3: 10; 
EGFR_&_ErbB_Signaling, 359,  7, 15,  359, 1, 3, 840840, 75721.94, 0, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 658, 11, 10,  359, 1, 3, 879121, 75721.94, 0, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 777,  8, 14,  359, 1, 3, 891002, 75721.94, 0, 0.00, 1: 112; 2: 98; 3: 17; 
EGFR_&_ErbB_Signaling, 868,  8, 14,  359, 1, 3, 891164, 75721.94, 64, 0.00, 1: 111; 2: 100; 3: 16; 
EGFR_&_ErbB_Signaling, 757,  7, 16,  359, 1, 3, 891203, 75721.94, 0, 0.00, 1: 108; 2: 106; 3: 13; 
EGFR_&_ErbB_Signaling, 256,  7, 16,  359, 1, 3, 891061, 75721.94, 16, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling,  48,  8, 14,  359, 1, 3, 890823, 75721.94, 4, 0.00, 1: 112; 2: 98; 3: 17; 
EGFR_&_ErbB_Signaling, 115, 10, 11,  359, 1, 3, 879053, 75721.94, 0, 0.00, 1: 110; 2: 102; 3: 15; 
EGFR_&_ErbB_Signaling, 463, 10, 11,  359, 1, 3, 878983, 75721.94, 0, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 988,  8, 14,  359, 1, 3, 891014, 75721.94, 40, 0.00, 1: 109; 2: 104; 3: 14; 
EGFR_&_ErbB_Signaling, 287,  7, 17,  359, 1, 3, 940745, 75721.94, 0, 0.00, 1: 106; 2: 110; 3: 11; 
EGFR_&_ErbB_Signaling, 641,  7, 16,  359, 1, 3, 890856, 75721.94, 0, 0.00, 1: 109; 2: 104; 3: 14; 
