Seed 1656949570
ARCH 1|F_ID 3|LIMIT 7
before: 
35(674)
Melhor resultado nxn: Erb-reception, 713, 16, 16, 2332, 1, 5, 2053935, 380261.00, 0, 0.00, 1: 314; 2: 408; 3: 284; 4: 80; 5: 6; 
Erb-reception,  74, 15, 17, 2326, 1, 5, 2070831, 380261.00, 0, 0.00, 1: 321; 2: 401; 3: 283; 4: 81; 5: 6; 
Erb-reception, 205, 17, 15, 2330, 1, 5, 2070816, 380261.00, 0, 0.00, 1: 314; 2: 411; 3: 278; 4: 85; 5: 4; 
Erb-reception, 690, 14, 18, 2331, 1, 5, 2023435, 380261.00, 0, 0.00, 1: 325; 2: 392; 3: 281; 4: 91; 5: 3; 
Erb-reception, 713, 16, 16, 2332, 1, 5, 2053935, 380261.00, 0, 0.00, 1: 314; 2: 408; 3: 284; 4: 80; 5: 6; 
Erb-reception, 974, 17, 15, 2334, 1, 5, 2070784, 380261.00, 0, 0.00, 1: 314; 2: 405; 3: 287; 4: 81; 5: 5; 
Erb-reception, 675, 17, 15, 2335, 1, 5, 2070757, 380261.00, 0, 0.00, 1: 310; 2: 421; 3: 268; 4: 86; 5: 7; 
Erb-reception, 607, 16, 16, 2335, 1, 5, 2053979, 380261.00, 0, 0.00, 1: 311; 2: 410; 3: 284; 4: 83; 5: 4; 
Erb-reception, 800, 16, 16, 2340, 1, 5, 2054020, 380261.00, 200, 0.00, 1: 309; 2: 420; 3: 273; 4: 78; 5: 12; 
Erb-reception, 228, 15, 17, 2341, 1, 5, 2070800, 380261.00, 57, 0.00, 1: 313; 2: 398; 3: 296; 4: 81; 5: 4; 
Erb-reception, 696, 17, 15, 2344, 1, 5, 2070790, 380261.00, 174, 0.00, 1: 317; 2: 397; 3: 288; 4: 81; 5: 9; 
Erb-reception, 326, 17, 15, 2347, 1, 5, 2070887, 380261.00, 0, 0.00, 1: 312; 2: 409; 3: 274; 4: 90; 5: 7; 
Erb-reception, 268, 15, 17, 2347, 1, 5, 2070734, 380261.00, 67, 0.00, 1: 329; 2: 378; 3: 284; 4: 95; 5: 6; 
Erb-reception, 451, 14, 18, 2347, 1, 5, 2023420, 380261.00, 0, 0.00, 1: 305; 2: 411; 3: 290; 4: 80; 5: 6; 
Erb-reception, 960, 15, 17, 2349, 1, 5, 2070903, 380261.00, 240, 0.00, 1: 313; 2: 401; 3: 288; 4: 80; 5: 10; 
Erb-reception,  27, 18, 14, 2349, 1, 5, 2023326, 380261.00, 0, 0.00, 1: 301; 2: 414; 3: 295; 4: 75; 5: 7; 
Erb-reception, 889, 14, 18, 2349, 1, 5, 2023410, 380261.00, 0, 0.00, 1: 315; 2: 402; 3: 277; 4: 91; 5: 7; 
Erb-reception, 517, 14, 18, 2349, 1, 5, 2023461, 380261.00, 0, 0.00, 1: 322; 2: 387; 3: 290; 4: 82; 5: 11; 
Erb-reception, 275, 16, 16, 2350, 1, 5, 2053954, 380261.00, 0, 0.00, 1: 308; 2: 407; 3: 289; 4: 79; 5: 9; 
Erb-reception, 538, 15, 17, 2350, 1, 5, 2070929, 380261.00, 0, 0.00, 1: 305; 2: 409; 3: 292; 4: 79; 5: 7; 
Erb-reception, 286, 18, 14, 2351, 1, 5, 2023407, 380261.00, 0, 0.00, 1: 302; 2: 414; 3: 286; 4: 87; 5: 3; 
Erb-reception, 932, 17, 15, 2351, 1, 5, 2070796, 380261.00, 233, 0.00, 1: 310; 2: 409; 3: 277; 4: 88; 5: 8; 
Erb-reception, 245, 15, 17, 2351, 1, 5, 2070889, 380261.00, 0, 0.00, 1: 303; 2: 415; 3: 282; 4: 88; 5: 4; 
Erb-reception,  28, 13, 20, 2351, 1, 5, 2082843, 380261.00, 7, 0.00, 1: 304; 2: 415; 3: 281; 4: 86; 5: 6; 
Erb-reception, 584, 15, 17, 2353, 1, 5, 2070813, 380261.00, 146, 0.00, 1: 301; 2: 409; 3: 298; 4: 80; 5: 4; 
Erb-reception,  62, 15, 17, 2353, 1, 5, 2070718, 380261.00, 0, 0.00, 1: 311; 2: 409; 3: 271; 4: 94; 5: 7; 
Erb-reception, 968, 14, 18, 2353, 1, 5, 2023441, 380261.00, 242, 0.00, 1: 322; 2: 378; 3: 298; 4: 89; 5: 5; 
Erb-reception, 908, 15, 17, 2354, 1, 5, 2070822, 380261.00, 227, 0.00, 1: 305; 2: 409; 3: 289; 4: 81; 5: 8; 
Erb-reception, 433, 14, 18, 2354, 1, 5, 2023367, 380261.00, 0, 0.00, 1: 300; 2: 422; 3: 275; 4: 90; 5: 5; 
Erb-reception, 522, 14, 18, 2354, 1, 5, 2023456, 380261.00, 0, 0.00, 1: 305; 2: 415; 3: 274; 4: 93; 5: 5; 
Erb-reception, 885, 15, 17, 2354, 1, 5, 2070804, 380261.00, 0, 0.00, 1: 297; 2: 416; 3: 294; 4: 82; 5: 3; 
Erb-reception, 338, 13, 20, 2354, 1, 5, 2082615, 380261.00, 0, 0.00, 1: 309; 2: 399; 3: 294; 4: 85; 5: 5; 
Erb-reception, 791, 17, 15, 2355, 1, 5, 2070793, 380261.00, 0, 0.00, 1: 305; 2: 411; 3: 283; 4: 86; 5: 7; 
Erb-reception, 721, 17, 15, 2355, 1, 5, 2070775, 380261.00, 0, 0.00, 1: 300; 2: 413; 3: 293; 4: 80; 5: 6; 
Erb-reception, 108, 16, 16, 2355, 1, 5, 2053936, 380261.00, 27, 0.00, 1: 302; 2: 414; 3: 282; 4: 91; 5: 3; 
Erb-reception,  82, 18, 14, 2356, 1, 5, 2023362, 380261.00, 0, 0.00, 1: 300; 2: 417; 3: 284; 4: 85; 5: 6; 
Erb-reception,  81, 17, 15, 2356, 1, 5, 2070822, 380261.00, 0, 0.00, 1: 309; 2: 395; 3: 299; 4: 85; 5: 4; 
Erb-reception, 218, 17, 15, 2357, 1, 5, 2070834, 380261.00, 0, 0.00, 1: 309; 2: 399; 3: 293; 4: 84; 5: 7; 
Erb-reception, 781, 13, 20, 2357, 1, 5, 2082678, 380261.00, 0, 0.00, 1: 307; 2: 408; 3: 280; 4: 91; 5: 6; 
Erb-reception, 883, 18, 14, 2357, 1, 5, 2023455, 380261.00, 0, 0.00, 1: 305; 2: 411; 3: 279; 4: 92; 5: 5; 
Erb-reception, 118, 17, 15, 2357, 1, 5, 2070748, 380261.00, 0, 0.00, 1: 296; 2: 420; 3: 286; 4: 87; 5: 3; 
Erb-reception,  63, 16, 16, 2358, 1, 5, 2054098, 380261.00, 0, 0.00, 1: 303; 2: 407; 3: 289; 4: 91; 5: 2; 
Erb-reception, 708, 12, 22, 2358, 1, 5, 2143707, 380261.00, 177, 0.00, 1: 307; 2: 411; 3: 276; 4: 89; 5: 9; 
Erb-reception, 950, 15, 17, 2358, 1, 5, 2070825, 380261.00, 0, 0.00, 1: 312; 2: 398; 3: 287; 4: 86; 5: 9; 
Erb-reception, 554, 17, 15, 2358, 1, 5, 2070722, 380261.00, 0, 0.00, 1: 295; 2: 421; 3: 285; 4: 89; 5: 2; 
Erb-reception, 378, 17, 15, 2359, 1, 5, 2070749, 380261.00, 0, 0.00, 1: 304; 2: 407; 3: 288; 4: 88; 5: 5; 
Erb-reception, 854, 17, 15, 2359, 1, 5, 2070832, 380261.00, 0, 0.00, 1: 296; 2: 428; 3: 274; 4: 85; 5: 9; 
Erb-reception, 567, 14, 18, 2359, 1, 5, 2023383, 380261.00, 0, 0.00, 1: 305; 2: 408; 3: 288; 4: 81; 5: 10; 
Erb-reception, 535, 14, 18, 2360, 1, 5, 2023346, 380261.00, 0, 0.00, 1: 289; 2: 428; 3: 288; 4: 84; 5: 3; 
Erb-reception, 546, 18, 14, 2360, 1, 5, 2023392, 380261.00, 0, 0.00, 1: 293; 2: 418; 3: 297; 4: 80; 5: 4; 
Erb-reception, 487, 17, 15, 2360, 1, 5, 2070701, 380261.00, 0, 0.00, 1: 301; 2: 423; 3: 268; 4: 91; 5: 9; 
Erb-reception, 325, 16, 16, 2360, 1, 5, 2053989, 380261.00, 0, 0.00, 1: 303; 2: 401; 3: 300; 4: 85; 5: 3; 
Erb-reception, 843, 16, 16, 2360, 1, 5, 2054002, 380261.00, 0, 0.00, 1: 312; 2: 396; 3: 286; 4: 92; 5: 6; 
Erb-reception, 478, 14, 18, 2360, 1, 5, 2023430, 380261.00, 0, 0.00, 1: 313; 2: 386; 3: 301; 4: 88; 5: 4; 
Erb-reception, 827, 13, 20, 2361, 1, 5, 2082672, 380261.00, 0, 0.00, 1: 310; 2: 391; 3: 302; 4: 82; 5: 7; 
Erb-reception, 161, 16, 16, 2361, 1, 5, 2053879, 380261.00, 0, 0.00, 1: 302; 2: 414; 3: 280; 4: 89; 5: 7; 
Erb-reception,  23, 15, 17, 2361, 1, 5, 2070778, 380261.00, 0, 0.00, 1: 293; 2: 423; 3: 289; 4: 80; 5: 7; 
Erb-reception, 924, 14, 18, 2361, 1, 5, 2023430, 380261.00, 231, 0.00, 1: 311; 2: 392; 3: 297; 4: 85; 5: 7; 
Erb-reception, 921, 17, 15, 2361, 1, 5, 2070880, 380261.00, 0, 0.00, 1: 295; 2: 416; 3: 294; 4: 83; 5: 4; 
Erb-reception, 501, 16, 16, 2361, 1, 5, 2053931, 380261.00, 0, 0.00, 1: 312; 2: 388; 3: 297; 4: 93; 5: 2; 
Erb-reception, 786, 17, 15, 2362, 1, 5, 2070758, 380261.00, 0, 0.00, 1: 311; 2: 394; 3: 290; 4: 92; 5: 5; 
Erb-reception, 317, 14, 18, 2363, 1, 5, 2023448, 380261.00, 0, 0.00, 1: 299; 2: 418; 3: 279; 4: 89; 5: 7; 
Erb-reception, 751, 13, 19, 2363, 1, 5, 2005146, 380261.00, 0, 0.00, 1: 305; 2: 401; 3: 294; 4: 86; 5: 6; 
Erb-reception,  26, 15, 17, 2363, 1, 5, 2070819, 380261.00, 0, 0.00, 1: 305; 2: 387; 3: 320; 4: 76; 5: 4; 
Erb-reception, 918, 18, 14, 2363, 1, 5, 2023425, 380261.00, 0, 0.00, 1: 309; 2: 398; 3: 289; 4: 89; 5: 7; 
Erb-reception, 857, 16, 16, 2363, 1, 5, 2053984, 380261.00, 0, 0.00, 1: 300; 2: 417; 3: 281; 4: 84; 5: 10; 
Erb-reception, 557, 18, 14, 2363, 1, 5, 2023345, 380261.00, 0, 0.00, 1: 302; 2: 413; 3: 280; 4: 90; 5: 7; 
Erb-reception, 322, 16, 16, 2364, 1, 5, 2053974, 380261.00, 0, 0.00, 1: 291; 2: 421; 3: 295; 4: 79; 5: 6; 
Erb-reception, 132, 18, 14, 2364, 1, 5, 2023412, 380261.00, 33, 0.00, 1: 307; 2: 406; 3: 279; 4: 92; 5: 8; 
Erb-reception, 299, 16, 16, 2364, 1, 5, 2053934, 380261.00, 0, 0.00, 1: 306; 2: 403; 3: 287; 4: 89; 5: 7; 
Erb-reception, 375, 18, 14, 2364, 1, 5, 2023420, 380261.00, 0, 0.00, 1: 300; 2: 415; 3: 280; 4: 91; 5: 6; 
Erb-reception, 766, 13, 20, 2364, 1, 5, 2082567, 380261.00, 0, 0.00, 1: 292; 2: 428; 3: 277; 4: 90; 5: 5; 
Erb-reception, 255, 16, 16, 2365, 1, 5, 2054046, 380261.00, 0, 0.00, 1: 298; 2: 406; 3: 302; 4: 81; 5: 5; 
Erb-reception, 402, 17, 15, 2365, 1, 5, 2070941, 380261.00, 0, 0.00, 1: 302; 2: 409; 3: 285; 4: 90; 5: 6; 
Erb-reception,  36, 17, 15, 2365, 1, 5, 2070787, 380261.00, 9, 0.00, 1: 294; 2: 422; 3: 284; 4: 85; 5: 7; 
Erb-reception,  12, 18, 14, 2365, 1, 5, 2023419, 380261.00, 0, 0.00, 1: 308; 2: 404; 3: 277; 4: 97; 5: 6; 
Erb-reception, 977, 13, 19, 2365, 1, 5, 2005146, 380261.00, 0, 0.00, 1: 314; 2: 391; 3: 288; 4: 90; 5: 9; 
Erb-reception, 354, 17, 15, 2365, 1, 5, 2070669, 380261.00, 0, 0.00, 1: 293; 2: 420; 3: 290; 4: 83; 5: 6; 
Erb-reception, 671, 13, 20, 2366, 1, 5, 2082594, 380261.00, 0, 0.00, 1: 294; 2: 422; 3: 285; 4: 82; 5: 9; 
Erb-reception, 553, 15, 17, 2366, 1, 5, 2070753, 380261.00, 0, 0.00, 1: 313; 2: 390; 3: 288; 4: 96; 5: 5; 
Erb-reception, 239, 13, 19, 2366, 1, 5, 2005146, 380261.00, 0, 0.00, 1: 298; 2: 414; 3: 292; 4: 76; 5: 12; 
Erb-reception, 340, 18, 14, 2367, 1, 5, 2023425, 380261.00, 85, 0.00, 1: 293; 2: 412; 3: 302; 4: 81; 5: 4; 
Erb-reception, 599, 16, 16, 2367, 1, 5, 2054042, 380261.00, 0, 0.00, 1: 299; 2: 402; 3: 305; 4: 81; 5: 5; 
Erb-reception, 903, 15, 17, 2367, 1, 5, 2070717, 380261.00, 0, 0.00, 1: 305; 2: 399; 3: 290; 4: 96; 5: 2; 
Erb-reception, 641, 12, 22, 2367, 1, 5, 2143827, 380261.00, 0, 0.00, 1: 304; 2: 405; 3: 292; 4: 78; 5: 13; 
Erb-reception, 685, 17, 15, 2367, 1, 5, 2070669, 380261.00, 0, 0.00, 1: 306; 2: 400; 3: 290; 4: 89; 5: 7; 
Erb-reception, 665, 14, 18, 2368, 1, 5, 2023420, 380261.00, 0, 0.00, 1: 305; 2: 401; 3: 287; 4: 95; 5: 4; 
Erb-reception, 819, 17, 15, 2368, 1, 5, 2070828, 380261.00, 0, 0.00, 1: 288; 2: 435; 3: 272; 4: 91; 5: 6; 
Erb-reception,  87, 15, 17, 2368, 1, 5, 2070783, 380261.00, 0, 0.00, 1: 292; 2: 412; 3: 304; 4: 80; 5: 4; 
Erb-reception, 127, 14, 18, 2369, 1, 5, 2023420, 380261.00, 0, 0.00, 1: 296; 2: 423; 3: 273; 4: 92; 5: 8; 
Erb-reception, 632, 13, 20, 2369, 1, 5, 2082689, 380261.00, 158, 0.00, 1: 311; 2: 403; 3: 269; 4: 100; 5: 9; 
