Seed 1656949570
ARCH 2|F_ID 3|LIMIT 7
before: 
55(589)
Melhor resultado nxn: Erb-reception, 891, 16, 16, 2432, 1, 5, 2054003, 380497.31, 0, 0.00, 1: 267; 2: 414; 3: 312; 4: 94; 5: 5; 
Erb-reception, 862, 17, 15, 2423, 1, 5, 2070698, 380497.31, 0, 0.00, 1: 284; 2: 400; 3: 307; 4: 87; 5: 14; 
Erb-reception, 320, 15, 17, 2427, 1, 5, 2070790, 380497.31, 80, 0.00, 1: 292; 2: 394; 3: 288; 4: 107; 5: 11; 
Erb-reception, 700, 18, 14, 2430, 1, 5, 2023408, 380497.31, 175, 0.00, 1: 281; 2: 403; 3: 300; 4: 97; 5: 11; 
Erb-reception, 880, 18, 14, 2431, 1, 5, 2023452, 380497.31, 220, 0.00, 1: 280; 2: 404; 3: 298; 4: 101; 5: 9; 
Erb-reception, 547, 14, 18, 2432, 1, 5, 2023421, 380497.31, 0, 0.00, 1: 272; 2: 414; 3: 304; 4: 90; 5: 12; 
Erb-reception, 891, 16, 16, 2432, 1, 5, 2054003, 380497.31, 0, 0.00, 1: 267; 2: 414; 3: 312; 4: 94; 5: 5; 
Erb-reception, 949, 14, 18, 2434, 1, 5, 2023406, 380497.31, 0, 0.00, 1: 276; 2: 406; 3: 299; 4: 106; 5: 5; 
Erb-reception,  54, 17, 15, 2434, 1, 5, 2070760, 380497.31, 0, 0.00, 1: 284; 2: 391; 3: 312; 4: 93; 5: 12; 
Erb-reception, 118, 17, 15, 2435, 1, 5, 2070530, 380497.31, 0, 0.00, 1: 290; 2: 379; 3: 312; 4: 104; 5: 7; 
Erb-reception, 839, 13, 20, 2436, 1, 5, 2082575, 380497.31, 0, 0.00, 1: 273; 2: 401; 3: 318; 4: 93; 5: 7; 
Erb-reception, 988, 15, 17, 2436, 1, 5, 2070765, 380497.31, 0, 0.00, 1: 281; 2: 391; 3: 318; 4: 91; 5: 11; 
Erb-reception, 255, 16, 16, 2437, 1, 5, 2053992, 380497.31, 0, 0.00, 1: 272; 2: 410; 3: 299; 4: 107; 5: 4; 
Erb-reception, 165, 16, 16, 2437, 1, 5, 2053984, 380497.31, 0, 0.00, 1: 272; 2: 415; 3: 291; 4: 108; 5: 6; 
Erb-reception, 203, 13, 20, 2437, 1, 5, 2082626, 380497.31, 0, 0.00, 1: 271; 2: 414; 3: 301; 4: 95; 5: 11; 
Erb-reception, 863, 16, 16, 2437, 1, 5, 2054033, 380497.31, 0, 0.00, 1: 272; 2: 414; 3: 296; 4: 101; 5: 9; 
Erb-reception, 218, 17, 15, 2438, 1, 5, 2070811, 380497.31, 0, 0.00, 1: 283; 2: 397; 3: 300; 4: 99; 5: 13; 
Erb-reception,   8, 17, 15, 2439, 1, 5, 2070762, 380497.31, 0, 0.00, 1: 267; 2: 421; 3: 293; 4: 104; 5: 7; 
Erb-reception, 568, 17, 15, 2440, 1, 5, 2070733, 380497.31, 142, 0.00, 1: 272; 2: 422; 3: 277; 4: 112; 5: 9; 
Erb-reception, 801, 17, 15, 2440, 1, 5, 2070839, 380497.31, 0, 0.00, 1: 272; 2: 411; 3: 301; 4: 97; 5: 11; 
Erb-reception, 932, 17, 15, 2440, 1, 5, 2070801, 380497.31, 233, 0.00, 1: 275; 2: 409; 3: 292; 4: 109; 5: 7; 
Erb-reception, 843, 16, 16, 2440, 1, 5, 2054087, 380497.31, 0, 0.00, 1: 272; 2: 412; 3: 296; 4: 104; 5: 8; 
Erb-reception, 444, 18, 14, 2441, 1, 5, 2023278, 380497.31, 111, 0.00, 1: 271; 2: 413; 3: 301; 4: 94; 5: 13; 
Erb-reception,  19, 18, 14, 2442, 1, 5, 2023409, 380497.31, 0, 0.00, 1: 269; 2: 419; 3: 286; 4: 113; 5: 5; 
Erb-reception, 196, 18, 14, 2442, 1, 5, 2023440, 380497.31, 49, 0.00, 1: 270; 2: 422; 3: 282; 4: 108; 5: 10; 
Erb-reception,  63, 16, 16, 2443, 1, 5, 2054035, 380497.31, 0, 0.00, 1: 268; 2: 407; 3: 311; 4: 102; 5: 4; 
Erb-reception, 224, 14, 18, 2443, 1, 5, 2023460, 380497.31, 56, 0.00, 1: 271; 2: 422; 3: 279; 4: 109; 5: 11; 
Erb-reception, 190, 13, 19, 2444, 1, 5, 2005146, 380497.31, 0, 0.00, 1: 275; 2: 409; 3: 297; 4: 95; 5: 16; 
Erb-reception, 365, 16, 16, 2444, 1, 5, 2053905, 380497.31, 0, 0.00, 1: 286; 2: 386; 3: 303; 4: 108; 5: 9; 
Erb-reception, 508, 17, 15, 2444, 1, 5, 2070803, 380497.31, 127, 0.00, 1: 280; 2: 407; 3: 281; 4: 113; 5: 11; 
Erb-reception, 917, 15, 17, 2444, 1, 5, 2070806, 380497.31, 0, 0.00, 1: 270; 2: 404; 3: 313; 4: 98; 5: 7; 
Erb-reception, 676, 15, 17, 2444, 1, 5, 2070645, 380497.31, 169, 0.00, 1: 287; 2: 378; 3: 316; 4: 102; 5: 9; 
Erb-reception, 575, 14, 18, 2445, 1, 5, 2023392, 380497.31, 0, 0.00, 1: 267; 2: 417; 3: 296; 4: 104; 5: 8; 
Erb-reception, 466, 14, 18, 2445, 1, 5, 2023398, 380497.31, 0, 0.00, 1: 272; 2: 412; 3: 298; 4: 95; 5: 15; 
