Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
02(686)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 805,  9,  9,  127, 1, 2, 639015, 43827.16, 0, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 805,  9,  9,  127, 1, 2, 639015, 43827.16, 0, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009,  86, 10,  8,  127, 1, 2, 634171, 43827.16, 0, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 592,  7, 12,  128, 1, 2, 658742, 43827.16, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 151,  9,  9,  128, 1, 2, 639185, 43827.16, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 218, 11,  7,  128, 1, 2, 613243, 43827.16, 26, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 171,  7, 11,  128, 1, 2, 613273, 43827.16, 84, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 976,  8, 10,  128, 1, 2, 634287, 43827.16, 176, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 719, 11,  7,  128, 1, 2, 613279, 43827.16, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 522,  6, 14,  128, 1, 2, 658824, 43827.16, 25, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 217,  7, 11,  129, 1, 2, 613212, 43827.16, 104, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 201, 10,  8,  129, 1, 2, 633947, 43827.16, 115, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 621,  8, 10,  129, 1, 2, 634169, 43827.16, 32, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 470,  8, 10,  129, 1, 2, 634156, 43827.16, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 578, 10,  8,  129, 1, 2, 633998, 43827.16, 25, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009,  87,  7, 11,  129, 1, 2, 613260, 43827.16, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 896, 10,  8,  129, 1, 2, 633743, 43827.16, 96, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 588, 10,  8,  129, 1, 2, 634061, 43827.16, 187, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009,  99,  7, 11,  129, 1, 2, 613251, 43827.16, 0, 0.00, 1: 83; 2: 23; 
