Seed 1656949570
ARCH 2|F_ID 3|LIMIT 3
before: 
82(513)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 545,  9,  9,  134, 1, 2, 639361, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 344, 10,  8,  131, 1, 2, 634078, 43280.14, 72, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 215, 10,  8,  132, 1, 2, 634090, 43280.14, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 297,  8, 10,  132, 1, 2, 634414, 43280.14, 70, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 772, 10,  8,  133, 1, 2, 634279, 43280.14, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 890, 10,  8,  133, 1, 2, 634039, 43280.14, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 191,  7, 12,  133, 1, 2, 658915, 43280.14, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 384,  7, 12,  133, 1, 2, 658772, 43280.14, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 944, 10,  8,  134, 1, 2, 634159, 43280.14, 40, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 545,  9,  9,  134, 1, 2, 639361, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 484,  8, 10,  134, 1, 2, 633883, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 239, 10,  8,  134, 1, 2, 634368, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 486, 10,  8,  134, 1, 2, 634269, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 558, 10,  8,  134, 1, 2, 634035, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 566,  7, 11,  134, 1, 2, 613217, 43280.14, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 580,  7, 11,  134, 1, 2, 613074, 43280.14, 250, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 174,  9,  9,  134, 1, 2, 639337, 43280.14, 0, 0.00, 1: 78; 2: 28; 
