Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
33(415)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 805,  9,  9,  169, 1, 3, 639193, 45171.35, 0, 0.00, 1: 52; 2: 45; 3: 9; 
Glucose_Repression_Signaling_2009, 295,  8, 10,  167, 1, 3, 634122, 45171.35, 0, 0.00, 1: 56; 2: 39; 3: 11; 
Glucose_Repression_Signaling_2009, 842, 11,  7,  168, 1, 3, 613355, 45171.35, 150, 0.00, 1: 56; 2: 38; 3: 12; 
Glucose_Repression_Signaling_2009, 394, 10,  8,  169, 1, 3, 634018, 45171.35, 0, 0.00, 1: 57; 2: 35; 3: 14; 
Glucose_Repression_Signaling_2009, 805,  9,  9,  169, 1, 3, 639193, 45171.35, 0, 0.00, 1: 52; 2: 45; 3: 9; 
Glucose_Repression_Signaling_2009, 423, 11,  7,  170, 1, 3, 613203, 45171.35, 0, 0.00, 1: 53; 2: 42; 3: 11; 
Glucose_Repression_Signaling_2009, 831,  9,  9,  170, 1, 3, 639109, 45171.35, 255, 0.00, 1: 54; 2: 40; 3: 12; 
Glucose_Repression_Signaling_2009, 638,  9,  9,  170, 1, 3, 639142, 45171.35, 0, 0.00, 1: 52; 2: 44; 3: 10; 
Glucose_Repression_Signaling_2009, 562,  9,  9,  170, 1, 3, 639259, 45171.35, 0, 0.00, 1: 52; 2: 44; 3: 10; 
Glucose_Repression_Signaling_2009, 391,  8, 10,  170, 1, 3, 634115, 45171.35, 0, 0.00, 1: 51; 2: 46; 3: 9; 
Glucose_Repression_Signaling_2009, 725, 10,  8,  170, 1, 3, 634001, 45171.35, 0, 0.00, 1: 53; 2: 42; 3: 11; 
Glucose_Repression_Signaling_2009, 702, 10,  8,  171, 1, 3, 634068, 45171.35, 0, 0.00, 1: 53; 2: 41; 3: 12; 
Glucose_Repression_Signaling_2009, 297,  8, 10,  171, 1, 3, 634200, 45171.35, 70, 0.00, 1: 54; 2: 39; 3: 13; 
Glucose_Repression_Signaling_2009, 514, 10,  8,  171, 1, 3, 634000, 45171.35, 149, 0.00, 1: 55; 2: 37; 3: 14; 
Glucose_Repression_Signaling_2009, 517,  9,  9,  171, 1, 3, 639331, 45171.35, 85, 0.00, 1: 54; 2: 39; 3: 13; 
Glucose_Repression_Signaling_2009, 543, 10,  8,  171, 1, 3, 633917, 45171.35, 0, 0.00, 1: 53; 2: 41; 3: 12; 
Glucose_Repression_Signaling_2009, 586,  9,  9,  171, 1, 3, 639012, 45171.35, 149, 0.00, 1: 51; 2: 45; 3: 10; 
Glucose_Repression_Signaling_2009, 777,  8, 10,  171, 1, 3, 634011, 45171.35, 0, 0.00, 1: 50; 2: 47; 3: 9; 
Glucose_Repression_Signaling_2009, 705, 10,  8,  172, 1, 3, 634087, 45171.35, 0, 0.00, 1: 50; 2: 46; 3: 10; 
Glucose_Repression_Signaling_2009, 714,  8, 10,  172, 1, 3, 634121, 45171.35, 0, 0.00, 1: 54; 2: 38; 3: 14; 
Glucose_Repression_Signaling_2009, 506,  8, 10,  172, 1, 3, 633821, 45171.35, 0, 0.00, 1: 53; 2: 40; 3: 13; 
Glucose_Repression_Signaling_2009, 695,  8, 10,  172, 1, 3, 634101, 45171.35, 0, 0.00, 1: 54; 2: 38; 3: 14; 
Glucose_Repression_Signaling_2009, 331, 10,  8,  172, 1, 3, 634107, 45171.35, 53, 0.00, 1: 51; 2: 44; 3: 11; 
Glucose_Repression_Signaling_2009, 181, 10,  8,  172, 1, 3, 634025, 45171.35, 0, 0.00, 1: 48; 2: 50; 3: 8; 
Glucose_Repression_Signaling_2009,  51,  8, 10,  172, 1, 3, 634091, 45171.35, 54, 0.00, 1: 52; 2: 42; 3: 12; 
Glucose_Repression_Signaling_2009, 589,  8, 10,  172, 1, 3, 634120, 45171.35, 85, 0.00, 1: 53; 2: 40; 3: 13; 
Glucose_Repression_Signaling_2009, 908,  9,  9,  172, 1, 3, 639211, 45171.35, 169, 0.00, 1: 51; 2: 44; 3: 11; 
Glucose_Repression_Signaling_2009, 820,  7, 11,  172, 1, 3, 613169, 45171.35, 6, 0.00, 1: 51; 2: 44; 3: 11; 
