Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
02(715)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 958,  7,  7,   91, 1, 2, 383712, 29591.63, 0, 0.00, 1: 65; 2: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 958,  7,  7,   91, 1, 2, 383712, 29591.63, 0, 0.00, 1: 65; 2: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 886,  7,  7,   92, 1, 2, 383747, 29591.63, 0, 0.00, 1: 64; 2: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 243,  7,  7,   93, 1, 2, 383670, 29591.63, 0, 0.00, 1: 63; 2: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 516,  7,  7,   93, 1, 2, 383616, 29591.63, 154, 0.00, 1: 63; 2: 15; 
Guard_Cell_Abscisic_Acid_Signaling,  53,  7,  7,   94, 1, 2, 383529, 29591.63, 85, 0.00, 1: 62; 2: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 332,  5, 10,   94, 1, 2, 390704, 29591.63, 154, 0.00, 1: 62; 2: 16; 
Guard_Cell_Abscisic_Acid_Signaling,  40,  6,  8,   94, 1, 2, 376998, 29591.63, 32, 0.00, 1: 62; 2: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 113,  5, 10,   94, 1, 2, 391176, 29591.63, 0, 0.00, 1: 62; 2: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 308,  8,  6,   94, 1, 2, 376890, 29591.63, 16, 0.00, 1: 62; 2: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 680,  5, 10,   94, 1, 2, 390600, 29591.63, 32, 0.00, 1: 62; 2: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 799,  8,  6,   94, 1, 2, 377155, 29591.63, 0, 0.00, 1: 62; 2: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 449,  8,  6,   95, 1, 2, 376992, 29591.63, 56, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 494,  5, 10,   95, 1, 2, 390472, 29591.63, 104, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 347,  8,  6,   95, 1, 2, 377054, 29591.63, 189, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 795,  6,  8,   95, 1, 2, 377149, 29591.63, 189, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 992,  5, 10,   95, 1, 2, 390247, 29591.63, 4, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 403,  8,  6,   95, 1, 2, 376705, 29591.63, 189, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 847,  6,  8,   95, 1, 2, 377055, 29591.63, 0, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 452,  5, 10,   95, 1, 2, 390990, 29591.63, 154, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 834,  8,  6,   95, 1, 2, 377018, 29591.63, 197, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 359,  7,  7,   95, 1, 2, 383374, 29591.63, 0, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 718,  8,  6,   95, 1, 2, 377027, 29591.63, 0, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling,  98,  6,  8,   95, 1, 2, 377186, 29591.63, 0, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 342,  8,  6,   95, 1, 2, 376898, 29591.63, 0, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 152,  7,  7,   95, 1, 2, 383231, 29591.63, 88, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 188,  7,  7,   95, 1, 2, 383780, 29591.63, 154, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 208,  8,  6,   95, 1, 2, 376695, 29591.63, 48, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling,  61,  8,  6,   95, 1, 2, 376886, 29591.63, 85, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 240,  8,  6,   95, 1, 2, 377009, 29591.63, 0, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 564,  6,  8,   95, 1, 2, 376973, 29591.63, 255, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 586,  7,  7,   95, 1, 2, 383565, 29591.63, 197, 0.00, 1: 61; 2: 17; 
Guard_Cell_Abscisic_Acid_Signaling, 186,  7,  7,   96, 1, 2, 383851, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling,  70,  6,  8,   96, 1, 2, 376925, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 739,  5,  9,   96, 1, 2, 355410, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 979,  5,  9,   96, 1, 2, 355410, 29591.63, 189, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 924,  8,  6,   96, 1, 2, 376896, 29591.63, 154, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 480,  5,  9,   96, 1, 2, 355410, 29591.63, 8, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 455,  5, 10,   96, 1, 2, 390969, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 989,  6,  8,   96, 1, 2, 377024, 29591.63, 85, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 614,  9,  5,   96, 1, 2, 355410, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 615,  6,  8,   96, 1, 2, 377279, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 623,  8,  6,   96, 1, 2, 376750, 29591.63, 80, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 573,  5, 10,   96, 1, 2, 390723, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 553,  8,  6,   96, 1, 2, 377089, 29591.63, 67, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 139,  6,  8,   96, 1, 2, 377077, 29591.63, 189, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 537,  6,  8,   96, 1, 2, 376848, 29591.63, 64, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 949,  7,  7,   96, 1, 2, 383616, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 721,  7,  7,   96, 1, 2, 383588, 29591.63, 58, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 492,  7,  7,   96, 1, 2, 383244, 29591.63, 98, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 491,  6,  8,   96, 1, 2, 377103, 29591.63, 114, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 685,  8,  6,   96, 1, 2, 376898, 29591.63, 99, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 612,  7,  7,   96, 1, 2, 383724, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 690,  8,  6,   96, 1, 2, 377134, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 695,  6,  8,   96, 1, 2, 377052, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 475,  5, 10,   96, 1, 2, 390815, 29591.63, 189, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 463,  7,  7,   96, 1, 2, 383745, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 820,  7,  7,   96, 1, 2, 383446, 29591.63, 42, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 343,  7,  7,   96, 1, 2, 383726, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 345,  5,  9,   96, 1, 2, 355410, 29591.63, 64, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 863,  8,  6,   96, 1, 2, 376895, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 349,  7,  7,   96, 1, 2, 383563, 29591.63, 85, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 914,  6,  8,   96, 1, 2, 377002, 29591.63, 35, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling,  15,  9,  5,   96, 1, 2, 355410, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 399,  8,  6,   96, 1, 2, 376974, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 848,  8,  6,   96, 1, 2, 376918, 29591.63, 208, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 840,  6,  8,   96, 1, 2, 377088, 29591.63, 192, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 839,  8,  6,   96, 1, 2, 376914, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 824,  5, 10,   96, 1, 2, 391012, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 918,  6,  8,   96, 1, 2, 377066, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 801,  5, 10,   96, 1, 2, 390723, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 299,  8,  6,   96, 1, 2, 376993, 29591.63, 66, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 250,  6,  8,   96, 1, 2, 377050, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 912,  8,  6,   96, 1, 2, 376948, 29591.63, 112, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 212,  8,  6,   96, 1, 2, 376916, 29591.63, 154, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 763,  7,  7,   96, 1, 2, 383460, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 765,  5, 10,   96, 1, 2, 390998, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 286,  7,  7,   96, 1, 2, 383887, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 787,  5, 10,   96, 1, 2, 390804, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 391,  6,  8,   96, 1, 2, 377031, 29591.63, 0, 0.00, 1: 60; 2: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 376,  5,  9,   96, 1, 2, 355410, 29591.63, 0, 0.00, 1: 60; 2: 18; 
