Seed 1656949570
ARCH 2|F_ID 3|LIMIT 3
before: 
02(547)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 927,  7,  7,   98, 1, 2, 383630, 32131.54, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 927,  7,  7,   98, 1, 2, 383630, 32131.54, 0, 0.00, 1: 58; 2: 20; 
Guard_Cell_Abscisic_Acid_Signaling,  68,  5, 10,   99, 1, 2, 390870, 32131.54, 37, 0.00, 1: 57; 2: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 574,  7,  7,   99, 1, 2, 383735, 32131.54, 0, 0.00, 1: 57; 2: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 240,  8,  6,   99, 1, 2, 376827, 32131.54, 0, 0.00, 1: 57; 2: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 589,  6,  8,  100, 1, 2, 377252, 32131.54, 86, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 880,  8,  6,  100, 1, 2, 376796, 32131.54, 32, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  37,  6,  8,  100, 1, 2, 376912, 32131.54, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 801,  5, 10,  100, 1, 2, 390838, 32131.54, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 883,  6,  8,  100, 1, 2, 376994, 32131.54, 255, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 820,  7,  7,  100, 1, 2, 383318, 32131.54, 42, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 110,  6,  8,  100, 1, 2, 376992, 32131.54, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 721,  7,  7,  100, 1, 2, 383417, 32131.54, 218, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 535,  7,  7,  100, 1, 2, 383772, 32131.54, 0, 0.00, 1: 56; 2: 22; 
