Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
93(377)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 473,  7,  7,  126, 1, 3, 383595, 32649.12, 64, 0.00, 1: 38; 2: 32; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 342,  8,  6,  124, 1, 3, 377047, 32649.12, 0, 0.00, 1: 46; 2: 18; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 751,  6,  8,  125, 1, 3, 376945, 32649.12, 0, 0.00, 1: 41; 2: 27; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 839,  8,  6,  126, 1, 3, 376953, 32649.12, 0, 0.00, 1: 40; 2: 28; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 907,  8,  6,  126, 1, 3, 377055, 32649.12, 126, 0.00, 1: 41; 2: 26; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 297,  6,  8,  126, 1, 3, 376955, 32649.12, 65, 0.00, 1: 39; 2: 30; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 289,  8,  6,  126, 1, 3, 376947, 32649.12, 0, 0.00, 1: 39; 2: 30; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling,  37,  6,  8,  126, 1, 3, 377030, 32649.12, 0, 0.00, 1: 39; 2: 30; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 179,  6,  8,  126, 1, 3, 376875, 32649.12, 0, 0.00, 1: 40; 2: 28; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 695,  6,  8,  126, 1, 3, 377046, 32649.12, 0, 0.00, 1: 41; 2: 26; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 473,  7,  7,  126, 1, 3, 383595, 32649.12, 64, 0.00, 1: 38; 2: 32; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 355,  6,  8,  127, 1, 3, 376979, 32649.12, 0, 0.00, 1: 42; 2: 23; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 188,  7,  7,  127, 1, 3, 383591, 32649.12, 143, 0.00, 1: 37; 2: 33; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 460,  7,  7,  127, 1, 3, 383547, 32649.12, 143, 0.00, 1: 41; 2: 25; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 780,  6,  8,  127, 1, 3, 376975, 32649.12, 0, 0.00, 1: 41; 2: 25; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 214,  7,  7,  127, 1, 3, 383701, 32649.12, 0, 0.00, 1: 42; 2: 23; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 958,  7,  7,  127, 1, 3, 383650, 32649.12, 0, 0.00, 1: 40; 2: 27; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 651,  5, 10,  127, 1, 3, 390871, 32649.12, 127, 0.00, 1: 40; 2: 27; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 221,  8,  6,  128, 1, 3, 376958, 32649.12, 85, 0.00, 1: 35; 2: 36; 3: 7; 
Guard_Cell_Abscisic_Acid_Signaling, 108,  7,  7,  128, 1, 3, 383548, 32649.12, 49, 0.00, 1: 38; 2: 30; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling, 786,  7,  7,  128, 1, 3, 383667, 32649.12, 0, 0.00, 1: 36; 2: 34; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 903,  8,  6,  128, 1, 3, 376952, 32649.12, 0, 0.00, 1: 36; 2: 34; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 967,  8,  6,  128, 1, 3, 376979, 32649.12, 0, 0.00, 1: 37; 2: 32; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 213,  7,  7,  128, 1, 3, 383627, 32649.12, 85, 0.00, 1: 36; 2: 34; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 197,  8,  6,  128, 1, 3, 377065, 32649.12, 85, 0.00, 1: 37; 2: 32; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling,  85,  7,  7,  128, 1, 3, 383565, 32649.12, 85, 0.00, 1: 36; 2: 34; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 685,  8,  6,  128, 1, 3, 376959, 32649.12, 99, 0.00, 1: 36; 2: 34; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 744,  6,  8,  128, 1, 3, 377008, 32649.12, 32, 0.00, 1: 41; 2: 24; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 161,  6,  8,  128, 1, 3, 377011, 32649.12, 0, 0.00, 1: 38; 2: 30; 3: 10; 
