Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(499)
Melhor resultado nxn: HGF_Signaling_in_Keratinocytes, 745,  7, 11,  127, 1, 2, 607250, 42480.03, 67, 0.00, 1: 79; 2: 24; 
HGF_Signaling_in_Keratinocytes, 745,  7, 11,  127, 1, 2, 607250, 42480.03, 67, 0.00, 1: 79; 2: 24; 
HGF_Signaling_in_Keratinocytes, 867,  7, 11,  127, 1, 2, 606628, 42480.03, 0, 0.00, 1: 79; 2: 24; 
HGF_Signaling_in_Keratinocytes, 366,  7, 11,  128, 1, 2, 607094, 42480.03, 32, 0.00, 1: 78; 2: 25; 
HGF_Signaling_in_Keratinocytes, 799,  6, 12,  128, 1, 2, 571289, 42480.03, 0, 0.00, 1: 78; 2: 25; 
HGF_Signaling_in_Keratinocytes, 217,  7, 11,  128, 1, 2, 606908, 42480.03, 196, 0.00, 1: 78; 2: 25; 
HGF_Signaling_in_Keratinocytes, 616,  6, 12,  129, 1, 2, 571225, 42480.03, 32, 0.00, 1: 77; 2: 26; 
HGF_Signaling_in_Keratinocytes,  99,  7, 11,  129, 1, 2, 606748, 42480.03, 0, 0.00, 1: 77; 2: 26; 
HGF_Signaling_in_Keratinocytes, 652,  6, 13,  129, 1, 2, 612266, 42480.03, 252, 0.00, 1: 77; 2: 26; 
HGF_Signaling_in_Keratinocytes, 959,  7, 11,  130, 1, 2, 607023, 42480.03, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 692,  6, 12,  130, 1, 2, 571258, 42480.03, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 677,  7, 11,  130, 1, 2, 607269, 42480.03, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 860,  6, 13,  130, 1, 2, 612059, 42480.03, 252, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 552,  8,  9,  130, 1, 2, 571085, 42480.03, 32, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes,  53,  7, 11,  130, 1, 2, 607211, 42480.03, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 922,  7, 11,  130, 1, 2, 607042, 42480.03, 91, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 137,  7, 11,  130, 1, 2, 607005, 42480.03, 176, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 129,  7, 10,  130, 1, 2, 557624, 42480.03, 176, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 956,  5, 16,  130, 1, 2, 624934, 42480.03, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 871,  6, 13,  131, 1, 2, 612550, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes,  59,  9,  8,  131, 1, 2, 571346, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 858,  7, 11,  131, 1, 2, 606994, 42480.03, 91, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 310,  9,  8,  131, 1, 2, 571298, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 311,  8,  9,  131, 1, 2, 571264, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 950,  7, 11,  131, 1, 2, 607256, 42480.03, 32, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 786,  7, 11,  131, 1, 2, 607044, 42480.03, 91, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 342,  7, 10,  131, 1, 2, 557624, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 345,  7, 11,  131, 1, 2, 606998, 42480.03, 197, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes,  30,  7, 11,  131, 1, 2, 606798, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 612,  6, 13,  131, 1, 2, 612391, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes,  10,  8,  9,  131, 1, 2, 571243, 42480.03, 182, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 642,  7, 11,  131, 1, 2, 607133, 42480.03, 134, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 649,  7, 10,  131, 1, 2, 557649, 42480.03, 73, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 492,  7, 11,  131, 1, 2, 607047, 42480.03, 78, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 719, 10,  7,  131, 1, 2, 557676, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 575,  7, 11,  131, 1, 2, 607161, 42480.03, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 424,  7, 11,  131, 1, 2, 606907, 42480.03, 32, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 943,  9,  8,  132, 1, 2, 571231, 42480.03, 103, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 626,  7, 11,  132, 1, 2, 606595, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 628,  7, 10,  132, 1, 2, 557656, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 629,  5, 16,  132, 1, 2, 625042, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 100,  7, 11,  132, 1, 2, 606845, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 625,  6, 12,  132, 1, 2, 571097, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 589,  7, 10,  132, 1, 2, 557667, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 168,  7, 11,  132, 1, 2, 607070, 42480.03, 32, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 175,  7, 10,  132, 1, 2, 557593, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 183,  7, 10,  132, 1, 2, 557623, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 618, 10,  7,  132, 1, 2, 557648, 42480.03, 82, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes,  87,  7, 11,  132, 1, 2, 606489, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 893,  8,  9,  132, 1, 2, 571252, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 890,  9,  8,  132, 1, 2, 571036, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 566,  7, 11,  132, 1, 2, 607026, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 885,  6, 13,  132, 1, 2, 612404, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 332,  5, 16,  132, 1, 2, 625201, 42480.03, 252, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 374,  7, 11,  132, 1, 2, 607026, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 401,  7, 11,  132, 1, 2, 606936, 42480.03, 44, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 373,  7, 11,  132, 1, 2, 607007, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 410,  6, 12,  132, 1, 2, 571087, 42480.03, 91, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 777,  7, 10,  132, 1, 2, 557638, 42480.03, 172, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 353,  7, 11,  132, 1, 2, 607326, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 305,  6, 13,  132, 1, 2, 612389, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 434,  9,  8,  132, 1, 2, 571308, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 216,  6, 13,  132, 1, 2, 612654, 42480.03, 184, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 439,  6, 13,  132, 1, 2, 612260, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 315,  8,  9,  132, 1, 2, 570987, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 289,  6, 12,  132, 1, 2, 571256, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 272,  6, 12,  132, 1, 2, 571243, 42480.03, 176, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 856,  6, 13,  132, 1, 2, 612734, 42480.03, 56, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 563,  7, 11,  132, 1, 2, 606753, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 400,  6, 13,  132, 1, 2, 612280, 42480.03, 160, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 569,  6, 13,  132, 1, 2, 612305, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes,  16, 10,  7,  132, 1, 2, 557609, 42480.03, 192, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes,  28,  6, 12,  132, 1, 2, 570839, 42480.03, 252, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes,  39, 10,  7,  132, 1, 2, 557660, 42480.03, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes,  66,  8,  9,  132, 1, 2, 571176, 42480.03, 134, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 746,  6, 12,  133, 1, 2, 571334, 42480.03, 84, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 674, 10,  7,  133, 1, 2, 557618, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 123,  7, 10,  133, 1, 2, 557667, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 664,  6, 13,  133, 1, 2, 612445, 42480.03, 120, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 907,  5, 16,  133, 1, 2, 625030, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 275, 10,  7,  133, 1, 2, 557660, 42480.03, 102, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 743,  5, 14,  133, 1, 2, 557582, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 164,  6, 12,  133, 1, 2, 571097, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 932,  9,  8,  133, 1, 2, 571321, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 405,  6, 13,  133, 1, 2, 612318, 42480.03, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 825,  6, 12,  133, 1, 2, 571284, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 517,  8,  9,  133, 1, 2, 571193, 42480.03, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 754,  5, 15,  133, 1, 2, 592105, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 261,  7, 11,  133, 1, 2, 606789, 42480.03, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 172,  7, 11,  133, 1, 2, 606741, 42480.03, 50, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 701,  5, 16,  133, 1, 2, 625165, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 812,  6, 12,  133, 1, 2, 571092, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 913,  6, 13,  133, 1, 2, 612367, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 874,  7, 11,  133, 1, 2, 606803, 42480.03, 100, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes,  43,  6, 12,  133, 1, 2, 571203, 42480.03, 65, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 447,  7, 10,  133, 1, 2, 557676, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 141,  9,  8,  133, 1, 2, 571317, 42480.03, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 140, 10,  7,  133, 1, 2, 557676, 42480.03, 252, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 152,  6, 13,  133, 1, 2, 612228, 42480.03, 120, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 171,  7, 11,  133, 1, 2, 606851, 42480.03, 70, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 723,  6, 13,  133, 1, 2, 612339, 42480.03, 103, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 472,  7, 11,  133, 1, 2, 607155, 42480.03, 184, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 473,  6, 13,  133, 1, 2, 612206, 42480.03, 197, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 873,  6, 13,  133, 1, 2, 612279, 42480.03, 67, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 131,  7, 10,  133, 1, 2, 557631, 42480.03, 102, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 157, 10,  7,  133, 1, 2, 557643, 42480.03, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 431,  7, 11,  133, 1, 2, 606690, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 728,  7, 11,  133, 1, 2, 606957, 42480.03, 184, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 762,  6, 13,  133, 1, 2, 612050, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes,  52,  7, 11,  133, 1, 2, 606874, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 979, 10,  7,  133, 1, 2, 557648, 42480.03, 102, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 578,  9,  8,  133, 1, 2, 571232, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 324,  5, 15,  133, 1, 2, 592278, 42480.03, 252, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 766,  7, 11,  133, 1, 2, 606690, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 880,  6, 12,  133, 1, 2, 571009, 42480.03, 97, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 334,  6, 13,  133, 1, 2, 612648, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 333,  5, 15,  133, 1, 2, 592153, 42480.03, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 600,  8,  9,  133, 1, 2, 571201, 42480.03, 56, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 564,  6, 12,  133, 1, 2, 571252, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 896,  9,  8,  133, 1, 2, 571149, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 254,  7, 11,  133, 1, 2, 606993, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 608,  6, 12,  133, 1, 2, 571156, 42480.03, 6, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 384,  6, 12,  133, 1, 2, 571170, 42480.03, 144, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 314, 10,  7,  133, 1, 2, 557676, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 605,  7, 11,  133, 1, 2, 606865, 42480.03, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 255,  5, 14,  133, 1, 2, 557617, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 614,  6, 13,  133, 1, 2, 612440, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 900,  7, 11,  133, 1, 2, 606747, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 761,  6, 13,  133, 1, 2, 612603, 42480.03, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 949,  6, 13,  133, 1, 2, 612298, 42480.03, 110, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 553,  6, 12,  133, 1, 2, 571245, 42480.03, 67, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 448,  5, 15,  134, 1, 2, 592370, 42480.03, 176, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 195,  8,  9,  134, 1, 2, 571158, 42480.03, 102, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 789,  8,  9,  134, 1, 2, 571105, 42480.03, 85, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 185,  5, 15,  134, 1, 2, 591974, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 301, 10,  7,  134, 1, 2, 557571, 42480.03, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 976,  7, 10,  134, 1, 2, 557550, 42480.03, 224, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 787,  5, 16,  134, 1, 2, 625131, 42480.03, 103, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 156,  9,  8,  134, 1, 2, 571347, 42480.03, 252, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 775, 10,  7,  134, 1, 2, 557666, 42480.03, 0, 0.00, 1: 72; 2: 31; 
