Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
04(519)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 974, 10, 10,  236, 0, 4, 795976, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 48; 3: 24; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 974, 10, 10,  236, 0, 4, 795976, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 48; 3: 24; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  72, 10, 10,  237, 0, 4, 795988, 55407.78, 12, 0.00, 0: 25; 1: 51; 2: 41; 3: 28; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 365,  9, 11,  239, 0, 4, 786183, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 55; 3: 19; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 803,  9, 11,  240, 0, 4, 786089, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 51; 3: 26; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 463,  9, 11,  240, 0, 4, 786153, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 49; 3: 27; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 132,  9, 11,  240, 0, 4, 786179, 55407.78, 21, 0.00, 0: 25; 1: 47; 2: 46; 3: 27; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 213, 10, 10,  240, 0, 4, 795972, 55407.78, 0, 0.00, 0: 25; 1: 46; 2: 50; 3: 22; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 806, 10, 10,  240, 0, 4, 796061, 55407.78, 0, 0.00, 0: 25; 1: 52; 2: 42; 3: 20; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 530, 10, 10,  240, 0, 4, 796053, 55407.78, 0, 0.00, 0: 25; 1: 51; 2: 41; 3: 25; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 324, 10, 10,  240, 0, 4, 796040, 55407.78, 66, 0.00, 0: 25; 1: 45; 2: 52; 3: 21; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 583, 10, 10,  240, 0, 4, 795967, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 43; 3: 30; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 412, 11,  9,  240, 0, 4, 786071, 55407.78, 77, 0.00, 0: 25; 1: 48; 2: 43; 3: 30; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 721,  9, 11,  240, 0, 4, 786189, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 49; 3: 27; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 367,  9, 11,  241, 0, 4, 786200, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 52; 3: 20; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 152, 11,  9,  241, 0, 4, 786100, 55407.78, 22, 0.00, 0: 25; 1: 47; 2: 44; 3: 30; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 172, 10, 10,  241, 0, 4, 795960, 55407.78, 23, 0.00, 0: 25; 1: 45; 2: 48; 3: 28; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 958,  9, 11,  241, 0, 4, 786192, 55407.78, 0, 0.00, 0: 25; 1: 50; 2: 41; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   9, 10, 10,  241, 0, 4, 795894, 55407.78, 128, 0.00, 0: 25; 1: 46; 2: 48; 3: 25; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 226, 11,  9,  241, 0, 4, 786084, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 45; 3: 28; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 218, 11,  9,  241, 0, 4, 786145, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 47; 3: 24; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 599, 10, 10,  242, 0, 4, 796230, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 44; 3: 26; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 299, 10, 10,  242, 0, 4, 795950, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 48; 3: 30; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 634,  8, 12,  242, 0, 4, 764355, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 51; 3: 21; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 836,  9, 11,  242, 0, 4, 786003, 55407.78, 5, 0.00, 0: 25; 1: 48; 2: 43; 3: 28; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 494,  9, 11,  242, 0, 4, 786213, 55407.78, 0, 0.00, 0: 25; 1: 46; 2: 45; 3: 30; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 538, 11,  9,  242, 0, 4, 785938, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 49; 3: 28; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  29, 10, 10,  242, 0, 4, 795966, 55407.78, 85, 0.00, 0: 25; 1: 45; 2: 47; 3: 29; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 632, 10, 10,  242, 0, 4, 796002, 55407.78, 50, 0.00, 0: 25; 1: 49; 2: 42; 3: 27; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 480, 10, 10,  242, 0, 4, 795773, 55407.78, 45, 0.00, 0: 25; 1: 45; 2: 46; 3: 31; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 200, 10, 10,  242, 0, 4, 796092, 55407.78, 25, 0.00, 0: 25; 1: 45; 2: 46; 3: 31; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 334, 11,  9,  242, 0, 4, 786105, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 53; 3: 26; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 587, 10, 10,  242, 0, 4, 796086, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 53; 3: 26; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 666, 12,  8,  243, 0, 4, 764305, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 50; 3: 25; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 549, 10, 10,  243, 0, 4, 796091, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 48; 3: 20; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 633,  9, 11,  243, 0, 4, 785976, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 48; 3: 26; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 148,  9, 11,  243, 0, 4, 785999, 55407.78, 63, 0.00, 0: 25; 1: 41; 2: 56; 3: 22; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 399, 12,  8,  243, 0, 4, 764355, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 47; 3: 28; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 117, 12,  8,  243, 0, 4, 764408, 55407.78, 0, 0.00, 0: 25; 1: 47; 2: 47; 3: 22; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 710,  8, 12,  243, 0, 4, 764406, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 54; 3: 26; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 747, 11,  9,  243, 0, 4, 786212, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 45; 3: 32; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  24, 11,  9,  243, 0, 4, 785974, 55407.78, 224, 0.00, 0: 25; 1: 45; 2: 46; 3: 30; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 366,  9, 11,  243, 0, 4, 786137, 55407.78, 0, 0.00, 0: 25; 1: 44; 2: 49; 3: 27; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 722, 10, 10,  244, 0, 4, 795906, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 47; 3: 27; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 555,  9, 11,  244, 0, 4, 786098, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 53; 3: 27; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 203, 10, 10,  244, 0, 4, 796093, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 47; 3: 27; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 551, 10, 10,  244, 0, 4, 796083, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 41; 3: 30; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 215,  8, 12,  244, 0, 4, 764456, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 40; 3: 32; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 702, 11,  9,  244, 0, 4, 786321, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 42; 3: 28; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 743, 10, 10,  244, 0, 4, 796082, 55407.78, 0, 0.00, 0: 25; 1: 45; 2: 48; 3: 25; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 614, 10, 10,  244, 0, 4, 796066, 55407.78, 0, 0.00, 0: 25; 1: 43; 2: 51; 3: 25; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 842, 10, 10,  244, 0, 4, 795997, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 52; 3: 26; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 305, 11,  9,  244, 0, 4, 786192, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 55; 3: 29; 4: 2; 
