Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
4(589)
Melhor resultado nxn: IL-6_Signalling, 396,  9, 10,  286, 1, 4, 720332, 62553.50, 27, 0.00, 1: 53; 2: 60; 3: 31; 4: 5; 
IL-6_Signalling, 396,  9, 10,  286, 1, 4, 720332, 62553.50, 27, 0.00, 1: 53; 2: 60; 3: 31; 4: 5; 
IL-6_Signalling, 663,  9, 10,  286, 1, 4, 720331, 62553.50, 0, 0.00, 1: 50; 2: 64; 3: 32; 4: 3; 
IL-6_Signalling, 168, 10,  9,  287, 1, 4, 720361, 62553.50, 13, 0.00, 1: 50; 2: 62; 3: 35; 4: 2; 
IL-6_Signalling,  24, 10,  9,  287, 1, 4, 720372, 62553.50, 128, 0.00, 1: 49; 2: 65; 3: 32; 4: 3; 
IL-6_Signalling, 909, 10,  9,  287, 1, 4, 720365, 62553.50, 0, 0.00, 1: 52; 2: 60; 3: 33; 4: 4; 
IL-6_Signalling, 363,  8, 12,  287, 1, 4, 759882, 62553.50, 0, 0.00, 1: 53; 2: 61; 3: 28; 4: 7; 
IL-6_Signalling, 412, 10,  9,  287, 1, 4, 720334, 62553.50, 76, 0.00, 1: 53; 2: 59; 3: 32; 4: 5; 
IL-6_Signalling, 634,  8, 12,  288, 1, 4, 760056, 62553.50, 0, 0.00, 1: 53; 2: 59; 3: 31; 4: 6; 
IL-6_Signalling, 149,  9, 10,  288, 1, 4, 720348, 62553.50, 0, 0.00, 1: 54; 2: 59; 3: 28; 4: 8; 
IL-6_Signalling, 547, 10,  9,  288, 1, 4, 720372, 62553.50, 0, 0.00, 1: 53; 2: 58; 3: 33; 4: 5; 
IL-6_Signalling,  29,  9, 10,  288, 1, 4, 720338, 62553.50, 85, 0.00, 1: 49; 2: 65; 3: 31; 4: 4; 
IL-6_Signalling, 954,  8, 12,  288, 1, 4, 759992, 62553.50, 0, 0.00, 1: 49; 2: 64; 3: 33; 4: 3; 
IL-6_Signalling, 673, 10,  9,  288, 1, 4, 720344, 62553.50, 0, 0.00, 1: 51; 2: 63; 3: 29; 4: 6; 
