Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
402(141)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network, 343,  9,  9,  203, 1, 2, 644760, 59924.28, 0, 0.00, 1: 113; 2: 45; 
Lymphopoiesis_Regulatory_Network, 589,  9, 10,  196, 1, 2, 714454, 59924.28, 0, 0.00, 1: 120; 2: 38; 
Lymphopoiesis_Regulatory_Network, 417, 11,  8,  198, 1, 2, 700141, 59924.28, 0, 0.00, 1: 118; 2: 40; 
Lymphopoiesis_Regulatory_Network,  64, 11,  8,  198, 1, 2, 700540, 59924.28, 7, 0.00, 1: 118; 2: 40; 
Lymphopoiesis_Regulatory_Network, 134,  8, 11,  199, 1, 2, 700522, 59924.28, 0, 0.00, 1: 117; 2: 41; 
Lymphopoiesis_Regulatory_Network, 746,  7, 12,  199, 1, 2, 668817, 59924.28, 0, 0.00, 1: 117; 2: 41; 
Lymphopoiesis_Regulatory_Network, 347, 11,  8,  200, 1, 2, 700584, 59924.28, 0, 0.00, 1: 116; 2: 42; 
Lymphopoiesis_Regulatory_Network,   5,  8, 11,  200, 1, 2, 700390, 59924.28, 127, 0.00, 1: 116; 2: 42; 
Lymphopoiesis_Regulatory_Network, 414,  8, 11,  200, 1, 2, 700531, 59924.28, 0, 0.00, 1: 116; 2: 42; 
Lymphopoiesis_Regulatory_Network, 548,  8, 11,  201, 1, 2, 700276, 59924.28, 45, 0.00, 1: 115; 2: 43; 
Lymphopoiesis_Regulatory_Network, 127,  8, 11,  201, 1, 2, 700580, 59924.28, 0, 0.00, 1: 115; 2: 43; 
Lymphopoiesis_Regulatory_Network, 506,  9, 10,  201, 1, 2, 714709, 59924.28, 0, 0.00, 1: 115; 2: 43; 
Lymphopoiesis_Regulatory_Network, 858,  8, 11,  201, 1, 2, 700522, 59924.28, 0, 0.00, 1: 115; 2: 43; 
Lymphopoiesis_Regulatory_Network,  42,  7, 12,  201, 1, 2, 668660, 59924.28, 0, 0.00, 1: 115; 2: 43; 
Lymphopoiesis_Regulatory_Network, 767,  9, 10,  201, 1, 2, 714252, 59924.28, 0, 0.00, 1: 115; 2: 43; 
Lymphopoiesis_Regulatory_Network,   3,  7, 13,  201, 1, 2, 720612, 59924.28, 247, 0.00, 1: 115; 2: 43; 
