Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(388)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  129, 1, 2, 493057, 40740.76, 83, 0.00, 1: 77; 2: 26; 
MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  129, 1, 2, 493057, 40740.76, 83, 0.00, 1: 77; 2: 26; 
MAPK_Cancer_Cell_Fate_Network, 230,  7,  9,  130, 1, 2, 493028, 40740.76, 0, 0.00, 1: 76; 2: 27; 
MAPK_Cancer_Cell_Fate_Network, 350,  7,  9,  131, 1, 2, 492763, 40740.76, 0, 0.00, 1: 75; 2: 28; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  131, 1, 2, 473374, 40740.76, 0, 0.00, 1: 75; 2: 28; 
MAPK_Cancer_Cell_Fate_Network, 329,  7,  9,  131, 1, 2, 492909, 40740.76, 37, 0.00, 1: 75; 2: 28; 
MAPK_Cancer_Cell_Fate_Network, 426,  7,  9,  132, 1, 2, 492593, 40740.76, 82, 0.00, 1: 74; 2: 29; 
MAPK_Cancer_Cell_Fate_Network, 747,  7,  9,  132, 1, 2, 492462, 40740.76, 75, 0.00, 1: 74; 2: 29; 
MAPK_Cancer_Cell_Fate_Network, 975,  8,  7,  132, 1, 2, 443520, 40740.76, 0, 0.00, 1: 74; 2: 29; 
MAPK_Cancer_Cell_Fate_Network, 298,  7,  9,  132, 1, 2, 492872, 40740.76, 112, 0.00, 1: 74; 2: 29; 
MAPK_Cancer_Cell_Fate_Network, 987, 10,  6,  132, 1, 2, 473578, 40740.76, 228, 0.00, 1: 74; 2: 29; 
MAPK_Cancer_Cell_Fate_Network,  35,  8,  7,  133, 1, 2, 443520, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 607,  7,  9,  133, 1, 2, 492235, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 754,  7,  8,  133, 1, 2, 443520, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 470,  8,  7,  133, 1, 2, 443520, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network,  94,  8,  7,  133, 1, 2, 443520, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 818,  7,  9,  133, 1, 2, 492952, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 737,  7,  9,  133, 1, 2, 492847, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 955,  8,  7,  133, 1, 2, 443520, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 124,  7,  9,  133, 1, 2, 492805, 40740.76, 32, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 745,  6, 10,  133, 1, 2, 473611, 40740.76, 69, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 342, 10,  6,  133, 1, 2, 473268, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 521,  8,  7,  133, 1, 2, 443520, 40740.76, 0, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 659, 10,  6,  133, 1, 2, 473585, 40740.76, 228, 0.00, 1: 73; 2: 30; 
MAPK_Cancer_Cell_Fate_Network, 692, 10,  6,  134, 1, 2, 473514, 40740.76, 117, 0.00, 1: 72; 2: 31; 
MAPK_Cancer_Cell_Fate_Network, 325,  7,  9,  134, 1, 2, 492776, 40740.76, 85, 0.00, 1: 72; 2: 31; 
MAPK_Cancer_Cell_Fate_Network, 993, 10,  6,  134, 1, 2, 473429, 40740.76, 0, 0.00, 1: 72; 2: 31; 
MAPK_Cancer_Cell_Fate_Network, 838,  5, 12,  134, 1, 2, 473305, 40740.76, 0, 0.00, 1: 72; 2: 31; 
