Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(182)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  137, 1, 2, 492709, 44429.70, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  137, 1, 2, 492709, 44429.70, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 817,  7,  9,  137, 1, 2, 493198, 44429.70, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 157,  6, 10,  140, 1, 2, 473348, 44429.70, 86, 0.00, 1: 66; 2: 37; 
MAPK_Cancer_Cell_Fate_Network, 308, 10,  6,  140, 1, 2, 473625, 44429.70, 0, 0.00, 1: 66; 2: 37; 
MAPK_Cancer_Cell_Fate_Network,  30,  7,  8,  140, 1, 2, 443520, 44429.70, 0, 0.00, 1: 66; 2: 37; 
MAPK_Cancer_Cell_Fate_Network, 378,  7,  9,  140, 1, 2, 492882, 44429.70, 0, 0.00, 1: 66; 2: 37; 
MAPK_Cancer_Cell_Fate_Network, 437,  7,  8,  141, 1, 2, 443520, 44429.70, 0, 0.00, 1: 65; 2: 38; 
MAPK_Cancer_Cell_Fate_Network,  78,  7,  9,  141, 1, 2, 492497, 44429.70, 0, 0.00, 1: 65; 2: 38; 
MAPK_Cancer_Cell_Fate_Network, 540,  7,  9,  141, 1, 2, 492842, 44429.70, 4, 0.00, 1: 65; 2: 38; 
MAPK_Cancer_Cell_Fate_Network, 324,  8,  7,  141, 1, 2, 443520, 44429.70, 4, 0.00, 1: 65; 2: 38; 
MAPK_Cancer_Cell_Fate_Network, 535, 10,  6,  141, 1, 2, 473484, 44429.70, 0, 0.00, 1: 65; 2: 38; 
MAPK_Cancer_Cell_Fate_Network, 325,  7,  9,  142, 1, 2, 492623, 44429.70, 86, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 930, 10,  6,  142, 1, 2, 473666, 44429.70, 0, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 345,  6, 10,  142, 1, 2, 473096, 44429.70, 173, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 460,  8,  7,  142, 1, 2, 443520, 44429.70, 4, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 544,  7,  9,  142, 1, 2, 492660, 44429.70, 7, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network,  45,  8,  7,  142, 1, 2, 443520, 44429.70, 0, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 138,  7,  8,  142, 1, 2, 443520, 44429.70, 195, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 742,  6, 10,  142, 1, 2, 473535, 44429.70, 0, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 146,  8,  7,  142, 1, 2, 443520, 44429.70, 195, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 710,  8,  7,  142, 1, 2, 443520, 44429.70, 0, 0.00, 1: 64; 2: 39; 
MAPK_Cancer_Cell_Fate_Network, 872,  7,  9,  143, 1, 2, 492955, 44429.70, 32, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 834,  7,  8,  143, 1, 2, 443520, 44429.70, 150, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 904, 10,  6,  143, 1, 2, 473327, 44429.70, 128, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 413,  6, 10,  143, 1, 2, 473571, 44429.70, 86, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 826, 10,  6,  143, 1, 2, 473418, 44429.70, 0, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network,  89,  7,  8,  143, 1, 2, 443520, 44429.70, 172, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 449,  7,  9,  143, 1, 2, 492853, 44429.70, 2, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 928,  7,  8,  143, 1, 2, 443520, 44429.70, 16, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network,  92, 10,  6,  143, 1, 2, 473247, 44429.70, 4, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 547,  7,  9,  143, 1, 2, 492810, 44429.70, 0, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 758,  8,  7,  143, 1, 2, 443520, 44429.70, 0, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 538,  8,  7,  143, 1, 2, 443520, 44429.70, 150, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 141,  7,  9,  143, 1, 2, 492968, 44429.70, 86, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 232,  8,  7,  143, 1, 2, 443520, 44429.70, 32, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 803,  7,  9,  143, 1, 2, 492703, 44429.70, 0, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 955,  8,  7,  143, 1, 2, 443520, 44429.70, 0, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 490,  7,  8,  143, 1, 2, 443520, 44429.70, 78, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 589,  7,  8,  143, 1, 2, 443520, 44429.70, 86, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 209,  7,  9,  143, 1, 2, 492951, 44429.70, 20, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network,  95,  6, 10,  143, 1, 2, 473400, 44429.70, 0, 0.00, 1: 63; 2: 40; 
MAPK_Cancer_Cell_Fate_Network, 440,  7,  9,  144, 1, 2, 492612, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 450,  7,  8,  144, 1, 2, 443520, 44429.70, 150, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 454,  8,  7,  144, 1, 2, 443520, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 819, 10,  6,  144, 1, 2, 473474, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 184,  7,  9,  144, 1, 2, 492955, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 266,  7,  8,  144, 1, 2, 443520, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 514,  7,  8,  144, 1, 2, 443520, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 279,  7,  9,  144, 1, 2, 493012, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network,  77, 10,  6,  144, 1, 2, 473471, 44429.70, 86, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 462, 10,  6,  144, 1, 2, 473306, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 477,  7,  8,  144, 1, 2, 443520, 44429.70, 86, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 479,  7,  9,  144, 1, 2, 492972, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 814,  6, 10,  144, 1, 2, 473128, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 984,  8,  7,  144, 1, 2, 443520, 44429.70, 168, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 972,  6, 10,  144, 1, 2, 473540, 44429.70, 4, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 326, 10,  6,  144, 1, 2, 473204, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 922,  5, 12,  144, 1, 2, 473599, 44429.70, 194, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 351, 10,  6,  144, 1, 2, 473476, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network,  15, 10,  6,  144, 1, 2, 473483, 44429.70, 0, 0.00, 1: 62; 2: 41; 
MAPK_Cancer_Cell_Fate_Network, 469,  6, 10,  145, 1, 2, 473494, 44429.70, 86, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 605, 10,  6,  145, 1, 2, 473524, 44429.70, 86, 0.00, 1: 61; 2: 42; 
MAPK_Cancer_Cell_Fate_Network, 230,  7,  9,  145, 1, 2, 492965, 44429.70, 0, 0.00, 1: 61; 2: 42; 
