Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
582(475)
Melhor resultado nxn: PC12_Cell_Differentiation, 779,  8,  8,  147, 1, 2, 508032, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 136, 10,  7,  143, 1, 2, 554355, 42822.98, 0, 0.00, 1: 75; 2: 34; 
PC12_Cell_Differentiation, 693,  7, 10,  144, 1, 2, 554529, 42822.98, 0, 0.00, 1: 74; 2: 35; 
PC12_Cell_Differentiation, 762,  7, 10,  144, 1, 2, 554328, 42822.98, 0, 0.00, 1: 74; 2: 35; 
PC12_Cell_Differentiation, 687,  7, 10,  145, 1, 2, 554332, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation,  45, 10,  7,  145, 1, 2, 554092, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 963,  5, 13,  145, 1, 2, 515840, 42822.98, 118, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 422,  6, 12,  145, 1, 2, 566201, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 766,  8,  9,  145, 1, 2, 566598, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 420,  7, 10,  145, 1, 2, 554331, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 534,  8,  9,  145, 1, 2, 566278, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 982,  7, 10,  145, 1, 2, 554619, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 952,  7, 10,  145, 1, 2, 554356, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 119,  7, 10,  145, 1, 2, 554300, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 470, 10,  7,  145, 1, 2, 554470, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 112,  8,  9,  145, 1, 2, 566161, 42822.98, 28, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 650,  5, 14,  145, 1, 2, 554383, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 286,  8,  9,  145, 1, 2, 566041, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 664,  6, 12,  145, 1, 2, 566543, 42822.98, 248, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 998,  6, 12,  145, 1, 2, 566187, 42822.98, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 509,  5, 14,  146, 1, 2, 554443, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,  37, 10,  7,  146, 1, 2, 554546, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 147,  5, 14,  146, 1, 2, 554100, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 484,  6, 12,  146, 1, 2, 566505, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 258,  7, 10,  146, 1, 2, 554419, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 884, 10,  7,  146, 1, 2, 554392, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 728,  8,  9,  146, 1, 2, 566391, 42822.98, 56, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 705, 10,  7,  146, 1, 2, 554660, 42822.98, 206, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,  53, 10,  7,  146, 1, 2, 554496, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 606, 10,  7,  146, 1, 2, 554446, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 695,  7, 10,  146, 1, 2, 554268, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 903,  8,  9,  146, 1, 2, 566455, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,  58,  6, 11,  146, 1, 2, 525232, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,  60,  8,  9,  146, 1, 2, 566158, 42822.98, 169, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 661, 10,  7,  146, 1, 2, 554512, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 913,  7, 10,  146, 1, 2, 554483, 42822.98, 129, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 671,  8,  9,  146, 1, 2, 566732, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 975, 10,  7,  146, 1, 2, 554468, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,  18,  6, 11,  146, 1, 2, 525213, 42822.98, 115, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 418,  5, 14,  146, 1, 2, 554750, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 800,  8,  9,  146, 1, 2, 566364, 42822.98, 5, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 859, 10,  7,  146, 1, 2, 554485, 42822.98, 118, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 803,  8,  9,  146, 1, 2, 565802, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 808,  7, 10,  146, 1, 2, 554395, 42822.98, 32, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,   6,  6, 12,  146, 1, 2, 566099, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 839,  7, 10,  146, 1, 2, 554394, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,   4,  6, 11,  146, 1, 2, 525200, 42822.98, 216, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 377, 11,  6,  146, 1, 2, 525307, 42822.98, 0, 0.00, 1: 72; 2: 37; 
