Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
384(995)
Melhor resultado nxn: PC12_Cell_Differentiation,   7,  8,  8,  203, 1, 4, 508032, 43469.13, 0, 0.00, 1: 45; 2: 40; 3: 18; 4: 6; 
PC12_Cell_Differentiation,  90, 10,  7,  199, 1, 4, 554384, 43469.13, 177, 0.00, 1: 49; 2: 33; 3: 24; 4: 3; 
PC12_Cell_Differentiation,  99, 10,  7,  199, 1, 4, 554366, 43469.13, 0, 0.00, 1: 45; 2: 40; 3: 22; 4: 2; 
PC12_Cell_Differentiation, 447,  7, 10,  200, 1, 4, 554317, 43469.13, 0, 0.00, 1: 46; 2: 39; 3: 20; 4: 4; 
PC12_Cell_Differentiation, 521, 10,  7,  201, 1, 4, 554405, 43469.13, 126, 0.00, 1: 45; 2: 39; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 417,  7, 10,  201, 1, 4, 554419, 43469.13, 0, 0.00, 1: 44; 2: 40; 3: 23; 4: 2; 
PC12_Cell_Differentiation,   8, 10,  7,  201, 1, 4, 554357, 43469.13, 0, 0.00, 1: 45; 2: 39; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 274,  7, 10,  201, 1, 4, 554315, 43469.13, 0, 0.00, 1: 45; 2: 38; 3: 24; 4: 2; 
PC12_Cell_Differentiation,  44,  6, 12,  201, 1, 4, 566215, 43469.13, 32, 0.00, 1: 48; 2: 35; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 286,  8,  9,  202, 1, 4, 566351, 43469.13, 0, 0.00, 1: 45; 2: 37; 3: 25; 4: 2; 
PC12_Cell_Differentiation,  31,  8,  9,  202, 1, 4, 566297, 43469.13, 0, 0.00, 1: 46; 2: 38; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 425,  6, 12,  202, 1, 4, 566286, 43469.13, 67, 0.00, 1: 44; 2: 41; 3: 20; 4: 4; 
PC12_Cell_Differentiation, 942,  7, 10,  202, 1, 4, 554306, 43469.13, 0, 0.00, 1: 48; 2: 34; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 578,  7, 10,  202, 1, 4, 554420, 43469.13, 176, 0.00, 1: 46; 2: 38; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 292,  7, 10,  202, 1, 4, 554363, 43469.13, 0, 0.00, 1: 43; 2: 41; 3: 23; 4: 2; 
PC12_Cell_Differentiation, 807, 11,  6,  202, 1, 4, 525270, 43469.13, 0, 0.00, 1: 47; 2: 37; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 596, 10,  7,  202, 1, 4, 554353, 43469.13, 130, 0.00, 1: 43; 2: 41; 3: 23; 4: 2; 
PC12_Cell_Differentiation, 975, 10,  7,  202, 1, 4, 554404, 43469.13, 0, 0.00, 1: 46; 2: 37; 3: 22; 4: 4; 
PC12_Cell_Differentiation,  54,  8,  9,  202, 1, 4, 566246, 43469.13, 0, 0.00, 1: 49; 2: 31; 3: 25; 4: 4; 
PC12_Cell_Differentiation, 631,  7, 10,  202, 1, 4, 554409, 43469.13, 0, 0.00, 1: 46; 2: 38; 3: 20; 4: 5; 
PC12_Cell_Differentiation,  53, 10,  7,  202, 1, 4, 554411, 43469.13, 0, 0.00, 1: 43; 2: 41; 3: 23; 4: 2; 
PC12_Cell_Differentiation, 506, 10,  7,  202, 1, 4, 554387, 43469.13, 0, 0.00, 1: 45; 2: 39; 3: 21; 4: 4; 
PC12_Cell_Differentiation, 179, 10,  7,  202, 1, 4, 554307, 43469.13, 0, 0.00, 1: 44; 2: 39; 3: 24; 4: 2; 
PC12_Cell_Differentiation, 553,  7, 10,  202, 1, 4, 554393, 43469.13, 67, 0.00, 1: 44; 2: 39; 3: 24; 4: 2; 
PC12_Cell_Differentiation, 884, 10,  7,  202, 1, 4, 554410, 43469.13, 0, 0.00, 1: 43; 2: 41; 3: 23; 4: 2; 
PC12_Cell_Differentiation, 464,  8,  9,  203, 1, 4, 566256, 43469.13, 208, 0.00, 1: 47; 2: 34; 3: 24; 4: 4; 
PC12_Cell_Differentiation, 852,  8,  9,  203, 1, 4, 566268, 43469.13, 130, 0.00, 1: 47; 2: 35; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 145,  6, 12,  203, 1, 4, 565984, 43469.13, 0, 0.00, 1: 45; 2: 38; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 152,  7, 10,  203, 1, 4, 554399, 43469.13, 248, 0.00, 1: 46; 2: 35; 3: 25; 4: 3; 
PC12_Cell_Differentiation, 358,  7, 10,  203, 1, 4, 554453, 43469.13, 0, 0.00, 1: 45; 2: 37; 3: 24; 4: 3; 
