Seed 1656949570
ARCH 1|F_ID 3|LIMIT 5
before: 
23(185)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 716,  8,  8,  319, 1, 3, 506537, 81311.16, 41, 0.00, 1: 95; 2: 76; 3: 24; 
T-LGL_Survival_Network_2011, 299,  9,  7,  317, 1, 3, 499128, 81311.16, 0, 0.00, 1: 100; 2: 68; 3: 27; 
T-LGL_Survival_Network_2011, 688,  7,  9,  319, 1, 3, 499199, 81311.16, 17, 0.00, 1: 97; 2: 72; 3: 26; 
T-LGL_Survival_Network_2011, 716,  8,  8,  319, 1, 3, 506537, 81311.16, 41, 0.00, 1: 95; 2: 76; 3: 24; 
T-LGL_Survival_Network_2011, 254,  8,  8,  320, 1, 3, 506633, 81311.16, 0, 0.00, 1: 98; 2: 69; 3: 28; 
T-LGL_Survival_Network_2011,   8,  9,  7,  320, 1, 3, 499141, 81311.16, 80, 0.00, 1: 95; 2: 75; 3: 25; 
T-LGL_Survival_Network_2011, 477,  8,  8,  320, 1, 3, 506510, 81311.16, 0, 0.00, 1: 95; 2: 75; 3: 25; 
T-LGL_Survival_Network_2011, 720,  8,  8,  321, 1, 3, 506398, 81311.16, 20, 0.00, 1: 95; 2: 74; 3: 26; 
T-LGL_Survival_Network_2011, 614,  8,  8,  321, 1, 3, 506431, 81311.16, 0, 0.00, 1: 94; 2: 76; 3: 25; 
T-LGL_Survival_Network_2011,  36,  8,  8,  321, 1, 3, 506556, 81311.16, 53, 0.00, 1: 96; 2: 72; 3: 27; 
T-LGL_Survival_Network_2011, 556,  8,  8,  321, 1, 3, 506658, 81311.16, 12, 0.00, 1: 97; 2: 70; 3: 28; 
T-LGL_Survival_Network_2011, 287,  8,  8,  321, 1, 3, 506541, 81311.16, 0, 0.00, 1: 99; 2: 66; 3: 30; 
T-LGL_Survival_Network_2011, 609,  7,  9,  322, 1, 3, 499260, 81311.16, 0, 0.00, 1: 96; 2: 71; 3: 28; 
T-LGL_Survival_Network_2011, 916,  9,  7,  322, 1, 3, 499257, 81311.16, 26, 0.00, 1: 94; 2: 75; 3: 26; 
T-LGL_Survival_Network_2011, 116,  8,  8,  322, 1, 3, 506602, 81311.16, 9, 0.00, 1: 99; 2: 65; 3: 31; 
T-LGL_Survival_Network_2011, 680,  9,  7,  322, 1, 3, 499191, 81311.16, 17, 0.00, 1: 93; 2: 77; 3: 25; 
T-LGL_Survival_Network_2011, 719,  7,  9,  322, 1, 3, 499123, 81311.16, 0, 0.00, 1: 92; 2: 79; 3: 24; 
T-LGL_Survival_Network_2011, 637,  8,  8,  322, 1, 3, 506651, 81311.16, 0, 0.00, 1: 94; 2: 75; 3: 26; 
T-LGL_Survival_Network_2011, 876,  8,  8,  322, 1, 3, 506561, 81311.16, 47, 0.00, 1: 92; 2: 79; 3: 24; 
T-LGL_Survival_Network_2011, 672,  7,  9,  322, 1, 3, 499172, 81311.16, 16, 0.00, 1: 93; 2: 77; 3: 25; 
T-LGL_Survival_Network_2011, 560,  7,  9,  322, 1, 3, 499155, 81311.16, 10, 0.00, 1: 98; 2: 67; 3: 30; 
