Seed 1656949570
ARCH 0|F_ID 3|LIMIT 5
before: 
06(655)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 906,  8,  8,  464, 0, 6, 506506, 66463.42, 0, 0.00, 0: 5; 1: 53; 2: 54; 3: 47; 4: 21; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 906,  8,  8,  464, 0, 6, 506506, 66463.42, 0, 0.00, 0: 5; 1: 53; 2: 54; 3: 47; 4: 21; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 217,  8,  8,  468, 0, 6, 506504, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 67; 3: 38; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 515,  7,  9,  469, 0, 6, 499207, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 62; 3: 49; 4: 17; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 909,  8,  8,  469, 0, 6, 506506, 66463.42, 0, 0.00, 0: 5; 1: 55; 2: 50; 3: 44; 4: 26; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 761,  7,  9,  469, 0, 6, 499215, 66463.42, 0, 0.00, 0: 5; 1: 51; 2: 53; 3: 51; 4: 20; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 299,  9,  7,  469, 0, 6, 499163, 66463.42, 0, 0.00, 0: 5; 1: 51; 2: 60; 3: 37; 4: 27; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 116,  8,  8,  470, 0, 6, 506507, 66463.42, 9, 0.00, 0: 5; 1: 46; 2: 63; 3: 44; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 239,  7,  9,  470, 0, 6, 499187, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 61; 3: 46; 4: 21; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 820,  8,  8,  470, 0, 6, 506479, 66463.42, 17, 0.00, 0: 5; 1: 52; 2: 56; 3: 41; 4: 25; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 361,  8,  8,  470, 0, 6, 506463, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 63; 3: 41; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 715,  8,  8,  470, 0, 6, 506448, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 61; 3: 48; 4: 20; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 437,  8,  8,  471, 0, 6, 506544, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 60; 3: 44; 4: 22; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 779,  8,  8,  471, 0, 6, 506525, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 60; 3: 44; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 555,  7,  9,  472, 0, 6, 499163, 66463.42, 0, 0.00, 0: 5; 1: 51; 2: 53; 3: 48; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 720,  8,  8,  472, 0, 6, 506544, 66463.42, 20, 0.00, 0: 5; 1: 49; 2: 56; 3: 48; 4: 21; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 586,  9,  7,  472, 0, 6, 499198, 66463.42, 0, 0.00, 0: 5; 1: 50; 2: 54; 3: 49; 4: 22; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 500,  9,  7,  472, 0, 6, 499202, 66463.42, 20, 0.00, 0: 5; 1: 51; 2: 54; 3: 46; 4: 23; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 506,  9,  7,  473, 0, 6, 499191, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 66; 3: 48; 4: 19; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 688,  7,  9,  473, 0, 6, 499200, 66463.42, 17, 0.00, 0: 5; 1: 54; 2: 48; 3: 48; 4: 25; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 403,  9,  7,  473, 0, 6, 499189, 66463.42, 0, 0.00, 0: 5; 1: 50; 2: 53; 3: 50; 4: 22; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 254,  8,  8,  473, 0, 6, 506555, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 57; 3: 50; 4: 21; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 716,  8,  8,  473, 0, 6, 506414, 66463.42, 41, 0.00, 0: 5; 1: 48; 2: 59; 3: 43; 4: 25; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 857,  9,  7,  473, 0, 6, 499202, 66463.42, 0, 0.00, 0: 5; 1: 53; 2: 53; 3: 42; 4: 26; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 161,  8,  8,  473, 0, 6, 506521, 66463.42, 0, 0.00, 0: 5; 1: 50; 2: 53; 3: 49; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 140,  9,  7,  473, 0, 6, 499198, 66463.42, 13, 0.00, 0: 5; 1: 51; 2: 52; 3: 49; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 426,  7,  9,  474, 0, 6, 499212, 66463.42, 0, 0.00, 0: 5; 1: 51; 2: 54; 3: 44; 4: 26; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 146,  9,  7,  474, 0, 6, 499203, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 61; 3: 39; 4: 26; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 821,  9,  7,  474, 0, 6, 499195, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 58; 3: 51; 4: 20; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011,  90,  9,  7,  474, 0, 6, 499201, 66463.42, 0, 0.00, 0: 5; 1: 50; 2: 58; 3: 40; 4: 26; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 571,  8,  8,  474, 0, 6, 506309, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 56; 3: 48; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011,  79,  8,  8,  474, 0, 6, 506504, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 65; 3: 42; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 232,  9,  7,  474, 0, 6, 499166, 66463.42, 1, 0.00, 0: 5; 1: 52; 2: 50; 3: 49; 4: 24; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011,  88,  9,  7,  474, 0, 6, 499186, 66463.42, 1, 0.00, 0: 5; 1: 50; 2: 53; 3: 50; 4: 21; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 776,  7,  9,  474, 0, 6, 499182, 66463.42, 22, 0.00, 0: 5; 1: 43; 2: 65; 3: 46; 4: 21; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 836,  8,  8,  474, 0, 6, 506483, 66463.42, 22, 0.00, 0: 5; 1: 45; 2: 62; 3: 45; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 454,  9,  7,  475, 0, 6, 499202, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 64; 3: 40; 4: 26; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 842,  8,  8,  475, 0, 6, 506483, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 57; 3: 45; 4: 25; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011,  60,  7,  9,  475, 0, 6, 499212, 66463.42, 0, 0.00, 0: 5; 1: 51; 2: 52; 3: 47; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 651,  7,  9,  475, 0, 6, 499204, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 67; 3: 44; 4: 22; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 834,  8,  8,  475, 0, 6, 506553, 66463.42, 0, 0.00, 0: 5; 1: 40; 2: 72; 3: 39; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 433,  7,  9,  475, 0, 6, 499193, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 64; 3: 44; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 160,  8,  8,  475, 0, 6, 506463, 66463.42, 1, 0.00, 0: 5; 1: 44; 2: 64; 3: 43; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 137,  8,  8,  475, 0, 6, 506484, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 58; 3: 47; 4: 22; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 969,  8,  8,  475, 0, 6, 506495, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 60; 3: 49; 4: 20; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 609,  7,  9,  475, 0, 6, 499171, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 54; 3: 52; 4: 21; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 214,  8,  8,  475, 0, 6, 506535, 66463.42, 0, 0.00, 0: 5; 1: 49; 2: 53; 3: 50; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 818,  7,  9,  475, 0, 6, 499198, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 59; 3: 45; 4: 24; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 662,  8,  8,  475, 0, 6, 506508, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 63; 3: 51; 4: 19; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 774,  9,  7,  475, 0, 6, 499231, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 57; 3: 48; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011,  53,  9,  7,  476, 0, 6, 499188, 66463.42, 0, 0.00, 0: 5; 1: 49; 2: 53; 3: 50; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 832,  8,  8,  476, 0, 6, 506540, 66463.42, 24, 0.00, 0: 5; 1: 43; 2: 63; 3: 47; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 918,  7,  9,  476, 0, 6, 499194, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 60; 3: 45; 4: 24; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 138,  8,  8,  476, 0, 6, 506493, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 59; 3: 49; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 222,  8,  8,  476, 0, 6, 506498, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 55; 3: 50; 4: 20; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 346,  8,  8,  476, 0, 6, 506510, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 57; 3: 47; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011,  52,  9,  7,  476, 0, 6, 499196, 66463.42, 17, 0.00, 0: 5; 1: 52; 2: 53; 3: 43; 4: 25; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011,   7,  8,  8,  476, 0, 6, 506539, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 60; 3: 47; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 435,  8,  8,  476, 0, 6, 506471, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 62; 3: 47; 4: 21; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 740,  7,  9,  476, 0, 6, 499204, 66463.42, 2, 0.00, 0: 5; 1: 46; 2: 61; 3: 42; 4: 26; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 883,  9,  7,  476, 0, 6, 499163, 66463.42, 0, 0.00, 0: 5; 1: 50; 2: 53; 3: 47; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 467,  7,  9,  477, 0, 6, 499211, 66463.42, 0, 0.00, 0: 5; 1: 49; 2: 55; 3: 44; 4: 27; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 517,  8,  8,  477, 0, 6, 506497, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 57; 3: 49; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 755,  8,  8,  477, 0, 6, 506504, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 63; 3: 43; 4: 25; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 228,  7,  9,  477, 0, 6, 499198, 66463.42, 25, 0.00, 0: 5; 1: 45; 2: 60; 3: 47; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 464,  7,  9,  477, 0, 6, 499207, 66463.42, 3, 0.00, 0: 5; 1: 48; 2: 59; 3: 39; 4: 29; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 208,  8,  8,  477, 0, 6, 506522, 66463.42, 1, 0.00, 0: 5; 1: 44; 2: 58; 3: 53; 4: 20; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011,   5,  7,  9,  477, 0, 6, 499208, 66463.42, 127, 0.00, 0: 5; 1: 48; 2: 54; 3: 49; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 246,  9,  7,  477, 0, 6, 499211, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 59; 3: 45; 4: 25; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 724,  9,  7,  477, 0, 6, 499185, 66463.42, 3, 0.00, 0: 5; 1: 44; 2: 65; 3: 40; 4: 25; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 338,  8,  8,  477, 0, 6, 506490, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 57; 3: 47; 4: 23; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 859,  9,  7,  477, 0, 6, 499209, 66463.42, 0, 0.00, 0: 5; 1: 49; 2: 51; 3: 52; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 164,  7,  9,  477, 0, 6, 499231, 66463.42, 23, 0.00, 0: 5; 1: 44; 2: 64; 3: 42; 4: 25; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 955,  9,  7,  477, 0, 6, 499187, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 59; 3: 49; 4: 22; 5: 11; 6: 4; 
