Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
23(627)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 721,  7,  7,  103, 1, 3, 382033, 26748.27, 235, 0.00, 1: 33; 2: 26; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 594,  6,  8,  101, 1, 3, 375711, 26748.27, 208, 0.00, 1: 35; 2: 24; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 996,  8,  6,  103, 1, 3, 375618, 26748.27, 0, 0.00, 1: 33; 2: 26; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 721,  7,  7,  103, 1, 3, 382033, 26748.27, 235, 0.00, 1: 33; 2: 26; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 126,  7,  7,  103, 1, 3, 381953, 26748.27, 0, 0.00, 1: 32; 2: 28; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 308,  8,  6,  103, 1, 3, 375662, 26748.27, 25, 0.00, 1: 32; 2: 28; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 799,  8,  6,  103, 1, 3, 375647, 26748.27, 0, 0.00, 1: 32; 2: 28; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 798,  7,  7,  104, 1, 3, 381960, 26748.27, 0, 0.00, 1: 32; 2: 27; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 763,  7,  7,  104, 1, 3, 382023, 26748.27, 0, 0.00, 1: 33; 2: 25; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 299,  8,  6,  104, 1, 3, 375613, 26748.27, 68, 0.00, 1: 33; 2: 25; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 795,  6,  8,  104, 1, 3, 375697, 26748.27, 82, 0.00, 1: 33; 2: 25; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 313,  7,  7,  104, 1, 3, 382064, 26748.27, 0, 0.00, 1: 34; 2: 23; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 762,  7,  7,  105, 1, 3, 381988, 26748.27, 0, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 115,  7,  7,  105, 1, 3, 382003, 26748.27, 0, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 924,  8,  6,  105, 1, 3, 375580, 26748.27, 29, 0.00, 1: 32; 2: 26; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 922,  7,  7,  105, 1, 3, 381964, 26748.27, 208, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 503,  7,  7,  105, 1, 3, 381716, 26748.27, 0, 0.00, 1: 30; 2: 30; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 498,  6,  8,  105, 1, 3, 375763, 26748.27, 0, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 932,  8,  6,  105, 1, 3, 375585, 26748.27, 0, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 609,  7,  7,  105, 1, 3, 381847, 26748.27, 0, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 359,  7,  7,  105, 1, 3, 381979, 26748.27, 0, 0.00, 1: 29; 2: 32; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 250,  6,  8,  105, 1, 3, 375628, 26748.27, 0, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 243,  7,  7,  105, 1, 3, 381848, 26748.27, 0, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 748,  7,  7,  105, 1, 3, 382027, 26748.27, 117, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 964,  7,  7,  105, 1, 3, 381979, 26748.27, 29, 0.00, 1: 29; 2: 32; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 898,  6,  8,  105, 1, 3, 375776, 26748.27, 208, 0.00, 1: 30; 2: 30; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 935,  8,  6,  105, 1, 3, 375589, 26748.27, 0, 0.00, 1: 32; 2: 26; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 336,  7,  7,  106, 1, 3, 381990, 26748.27, 144, 0.00, 1: 29; 2: 31; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca,  85,  7,  7,  106, 1, 3, 382022, 26748.27, 86, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  40,  6,  8,  106, 1, 3, 375601, 26748.27, 32, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 104,  7,  7,  106, 1, 3, 381737, 26748.27, 32, 0.00, 1: 30; 2: 29; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 781,  6,  8,  106, 1, 3, 375642, 26748.27, 86, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 340,  7,  7,  106, 1, 3, 381930, 26748.27, 29, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 403,  8,  6,  106, 1, 3, 375461, 26748.27, 82, 0.00, 1: 28; 2: 33; 3: 4; 
Treatment_of_Castration-Resistant_Prostate_Ca, 915,  7,  7,  106, 1, 3, 381928, 26748.27, 82, 0.00, 1: 33; 2: 23; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 152,  7,  7,  106, 1, 3, 382071, 26748.27, 120, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  69,  6,  8,  106, 1, 3, 375714, 26748.27, 86, 0.00, 1: 31; 2: 27; 3: 7; 
