Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
22(534)
Melhor resultado nxn: Yeast_Apoptosis, 586,  9,  9,  138, 1, 2, 639158, 48960.27, 113, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 960,  7, 12,  137, 1, 2, 659061, 48960.27, 224, 0.00, 1: 87; 2: 25; 
Yeast_Apoptosis, 713,  8, 10,  137, 1, 2, 634220, 48960.27, 62, 0.00, 1: 87; 2: 25; 
Yeast_Apoptosis, 586,  9,  9,  138, 1, 2, 639158, 48960.27, 113, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 576,  7, 12,  138, 1, 2, 658778, 48960.27, 224, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis,  54,  7, 12,  138, 1, 2, 658756, 48960.27, 0, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 879, 10,  8,  138, 1, 2, 633922, 48960.27, 89, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 832,  6, 14,  139, 1, 2, 658653, 48960.27, 96, 0.00, 1: 85; 2: 27; 
Yeast_Apoptosis, 842, 11,  7,  140, 1, 2, 613273, 48960.27, 90, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 367, 10,  8,  140, 1, 2, 634166, 48960.27, 101, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 703,  8, 10,  140, 1, 2, 634311, 48960.27, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 279, 10,  8,  140, 1, 2, 634115, 48960.27, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 282, 10,  8,  140, 1, 2, 633870, 48960.27, 114, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 289,  7, 12,  140, 1, 2, 658924, 48960.27, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis,  17,  9,  9,  140, 1, 2, 639385, 48960.27, 86, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 643, 11,  7,  140, 1, 2, 613242, 48960.27, 86, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 484,  8, 10,  140, 1, 2, 633935, 48960.27, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 123,  8, 10,  140, 1, 2, 634382, 48960.27, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 178,  7, 12,  140, 1, 2, 658541, 48960.27, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 767,  8, 10,  140, 1, 2, 634137, 48960.27, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 131,  8, 10,  140, 1, 2, 634198, 48960.27, 85, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 802,  7, 12,  140, 1, 2, 658169, 48960.27, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 301, 11,  7,  141, 1, 2, 613253, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 791,  6, 14,  141, 1, 2, 658628, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis,  64, 10,  8,  141, 1, 2, 634291, 48960.27, 32, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 460, 11,  7,  141, 1, 2, 613227, 48960.27, 252, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis,  43,  7, 12,  141, 1, 2, 659075, 48960.27, 70, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 368,  9,  9,  141, 1, 2, 639232, 48960.27, 115, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 864, 11,  7,  141, 1, 2, 613015, 48960.27, 10, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis,  49,  8, 10,  141, 1, 2, 633921, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 558, 10,  8,  141, 1, 2, 634017, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 692,  7, 12,  141, 1, 2, 658487, 48960.27, 51, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 311,  9,  9,  141, 1, 2, 639459, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 620,  7, 12,  141, 1, 2, 658593, 48960.27, 52, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 646,  8, 10,  141, 1, 2, 634421, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis,  96,  7, 12,  141, 1, 2, 658849, 48960.27, 10, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 906,  9,  9,  141, 1, 2, 639169, 48960.27, 90, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 187,  6, 14,  141, 1, 2, 659058, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 269,  7, 12,  141, 1, 2, 659080, 48960.27, 85, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 635, 10,  8,  141, 1, 2, 634279, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 851,  8, 10,  141, 1, 2, 634189, 48960.27, 86, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 705, 10,  8,  141, 1, 2, 634132, 48960.27, 62, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 639,  9,  9,  141, 1, 2, 638717, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis,  23,  9,  9,  141, 1, 2, 639266, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 506,  8, 10,  141, 1, 2, 634148, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 983,  8, 10,  141, 1, 2, 633879, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 389,  7, 12,  141, 1, 2, 658960, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 344, 10,  8,  141, 1, 2, 633874, 48960.27, 72, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 470,  8, 10,  141, 1, 2, 634069, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 806,  7, 12,  141, 1, 2, 658681, 48960.27, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 593,  7, 12,  142, 1, 2, 658085, 48960.27, 194, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 189,  8, 10,  142, 1, 2, 634195, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 932, 10,  8,  142, 1, 2, 634286, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 898,  8, 10,  142, 1, 2, 633938, 48960.27, 90, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 562,  9,  9,  142, 1, 2, 639165, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 391,  8, 10,  142, 1, 2, 634246, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 927,  9,  9,  142, 1, 2, 639286, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 384,  7, 12,  142, 1, 2, 658740, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 674, 11,  7,  142, 1, 2, 613202, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 315,  9,  9,  142, 1, 2, 639095, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 119,  8, 10,  142, 1, 2, 634261, 48960.27, 0, 0.00, 1: 82; 2: 30; 
