Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
22(268)
Melhor resultado nxn: Yeast_Apoptosis, 748,  9,  9,  145, 1, 2, 639288, 47850.29, 51, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 649,  8, 10,  144, 1, 2, 634168, 47850.29, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 923, 10,  8,  145, 1, 2, 634200, 47850.29, 194, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 748,  9,  9,  145, 1, 2, 639288, 47850.29, 51, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 969, 11,  7,  146, 1, 2, 613266, 47850.29, 255, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis,  74,  8, 10,  146, 1, 2, 634134, 47850.29, 52, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 620,  7, 12,  146, 1, 2, 658735, 47850.29, 52, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 575,  7, 11,  146, 1, 2, 613185, 47850.29, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 170,  8, 10,  146, 1, 2, 633950, 47850.29, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 524, 10,  8,  146, 1, 2, 633980, 47850.29, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 356, 10,  8,  146, 1, 2, 633980, 47850.29, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 498,  8, 10,  147, 1, 2, 634220, 47850.29, 0, 0.00, 1: 77; 2: 35; 
Yeast_Apoptosis, 538, 10,  8,  147, 1, 2, 634146, 47850.29, 29, 0.00, 1: 77; 2: 35; 
Yeast_Apoptosis, 160,  7, 12,  148, 1, 2, 658467, 47850.29, 17, 0.00, 1: 76; 2: 36; 
Yeast_Apoptosis, 518,  8, 10,  148, 1, 2, 634043, 47850.29, 0, 0.00, 1: 76; 2: 36; 
Yeast_Apoptosis, 421,  9,  9,  148, 1, 2, 639482, 47850.29, 0, 0.00, 1: 76; 2: 36; 
Yeast_Apoptosis, 208, 10,  8,  148, 1, 2, 634077, 47850.29, 80, 0.00, 1: 76; 2: 36; 
Yeast_Apoptosis, 551,  9,  9,  148, 1, 2, 639138, 47850.29, 0, 0.00, 1: 76; 2: 36; 
Yeast_Apoptosis, 902, 10,  8,  148, 1, 2, 633826, 47850.29, 0, 0.00, 1: 76; 2: 36; 
Yeast_Apoptosis, 230,  7, 12,  148, 1, 2, 658714, 47850.29, 0, 0.00, 1: 76; 2: 36; 
Yeast_Apoptosis, 824, 10,  8,  148, 1, 2, 634206, 47850.29, 0, 0.00, 1: 76; 2: 36; 
