Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
04(205)
Melhor resultado nxn: macrophave_activation, 200, 18, 18,  903, 1, 4, 2616159, 213310.77, 0, 0.00, 1: 241; 2: 198; 3: 62; 4: 20; 
macrophave_activation, 200, 18, 18,  903, 1, 4, 2616159, 213310.77, 0, 0.00, 1: 241; 2: 198; 3: 62; 4: 20; 
macrophave_activation, 868, 17, 20,  905, 1, 4, 2757894, 213310.77, 0, 0.00, 1: 236; 2: 206; 3: 59; 4: 20; 
macrophave_activation, 862, 17, 20,  910, 1, 4, 2757638, 213310.77, 0, 0.00, 1: 234; 2: 207; 3: 58; 4: 22; 
macrophave_activation, 414, 16, 21,  913, 1, 4, 2696213, 213310.77, 0, 0.00, 1: 241; 2: 192; 3: 64; 4: 24; 
macrophave_activation, 999, 19, 17,  918, 1, 4, 2600090, 213310.77, 0, 0.00, 1: 223; 2: 221; 3: 55; 4: 22; 
macrophave_activation, 758, 17, 20,  918, 1, 4, 2757645, 213310.77, 0, 0.00, 1: 226; 2: 215; 3: 58; 4: 22; 
macrophave_activation, 827, 16, 21,  920, 1, 4, 2696503, 213310.77, 216, 0.00, 1: 220; 2: 223; 3: 58; 4: 20; 
macrophave_activation, 174, 17, 20,  920, 1, 4, 2757888, 213310.77, 0, 0.00, 1: 223; 2: 217; 3: 61; 4: 20; 
macrophave_activation, 651, 17, 20,  921, 1, 4, 2757716, 213310.77, 216, 0.00, 1: 227; 2: 210; 3: 62; 4: 22; 
macrophave_activation, 244, 21, 16,  922, 1, 4, 2696010, 213310.77, 0, 0.00, 1: 226; 2: 211; 3: 62; 4: 22; 
macrophave_activation, 839, 17, 19,  924, 1, 4, 2600070, 213310.77, 0, 0.00, 1: 226; 2: 208; 3: 66; 4: 21; 
macrophave_activation, 846, 17, 20,  924, 1, 4, 2757551, 213310.77, 0, 0.00, 1: 221; 2: 223; 3: 51; 4: 26; 
macrophave_activation, 372, 17, 20,  924, 1, 4, 2757840, 213310.77, 0, 0.00, 1: 229; 2: 202; 3: 69; 4: 21; 
macrophave_activation, 209, 17, 20,  924, 1, 4, 2757651, 213310.77, 0, 0.00, 1: 229; 2: 203; 3: 67; 4: 22; 
macrophave_activation, 794, 14, 24,  926, 1, 4, 2696300, 213310.77, 33, 0.00, 1: 219; 2: 219; 3: 63; 4: 20; 
