Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
14(597)
Melhor resultado nxn: signal_transduction_in_fibroblasts,  82, 12, 12, 1033, 1, 4, 1151963, 188401.53, 0, 0.00, 1: 200; 2: 222; 3: 107; 4: 17; 
signal_transduction_in_fibroblasts, 311, 10, 15, 1033, 1, 4, 1200969, 188401.53, 0, 0.00, 1: 205; 2: 218; 3: 100; 4: 23; 
signal_transduction_in_fibroblasts,  82, 12, 12, 1033, 1, 4, 1151963, 188401.53, 0, 0.00, 1: 200; 2: 222; 3: 107; 4: 17; 
signal_transduction_in_fibroblasts, 390, 10, 15, 1034, 1, 4, 1200876, 188401.53, 0, 0.00, 1: 205; 2: 208; 3: 119; 4: 14; 
signal_transduction_in_fibroblasts,  41, 10, 15, 1037, 1, 4, 1200825, 188401.53, 0, 0.00, 1: 204; 2: 214; 3: 107; 4: 21; 
signal_transduction_in_fibroblasts, 191, 10, 15, 1038, 1, 4, 1200897, 188401.53, 0, 0.00, 1: 204; 2: 214; 3: 106; 4: 22; 
signal_transduction_in_fibroblasts, 956, 10, 15, 1038, 1, 4, 1200818, 188401.53, 57, 0.00, 1: 197; 2: 224; 3: 107; 4: 18; 
signal_transduction_in_fibroblasts, 521, 10, 15, 1039, 1, 4, 1200852, 188401.53, 0, 0.00, 1: 204; 2: 215; 3: 103; 4: 24; 
signal_transduction_in_fibroblasts, 695, 12, 12, 1039, 1, 4, 1151990, 188401.53, 0, 0.00, 1: 209; 2: 200; 3: 118; 4: 19; 
signal_transduction_in_fibroblasts,  42, 13, 11, 1040, 1, 4, 1146685, 188401.53, 0, 0.00, 1: 209; 2: 198; 3: 121; 4: 18; 
signal_transduction_in_fibroblasts, 987, 13, 11, 1041, 1, 4, 1146583, 188401.53, 0, 0.00, 1: 199; 2: 215; 3: 116; 4: 16; 
signal_transduction_in_fibroblasts, 766, 10, 15, 1043, 1, 4, 1200831, 188401.53, 0, 0.00, 1: 201; 2: 214; 3: 110; 4: 21; 
signal_transduction_in_fibroblasts, 402,  9, 16, 1043, 1, 4, 1151967, 188401.53, 0, 0.00, 1: 206; 2: 203; 3: 117; 4: 20; 
signal_transduction_in_fibroblasts, 623, 13, 11, 1044, 1, 4, 1146630, 188401.53, 0, 0.00, 1: 196; 2: 223; 3: 106; 4: 21; 
signal_transduction_in_fibroblasts, 312, 10, 15, 1044, 1, 4, 1200971, 188401.53, 11, 0.00, 1: 207; 2: 203; 3: 113; 4: 23; 
signal_transduction_in_fibroblasts, 662, 10, 15, 1045, 1, 4, 1201137, 188401.53, 0, 0.00, 1: 203; 2: 208; 3: 114; 4: 21; 
signal_transduction_in_fibroblasts, 408, 13, 11, 1045, 1, 4, 1146651, 188401.53, 14, 0.00, 1: 206; 2: 207; 3: 107; 4: 26; 
signal_transduction_in_fibroblasts, 116, 11, 13, 1045, 1, 4, 1146640, 188401.53, 6, 0.00, 1: 194; 2: 222; 3: 113; 4: 17; 
signal_transduction_in_fibroblasts, 793, 13, 11, 1046, 1, 4, 1146636, 188401.53, 0, 0.00, 1: 200; 2: 209; 3: 120; 4: 17; 
signal_transduction_in_fibroblasts,  22, 13, 11, 1046, 1, 4, 1146607, 188401.53, 0, 0.00, 1: 196; 2: 218; 3: 114; 4: 18; 
signal_transduction_in_fibroblasts, 854, 13, 11, 1046, 1, 4, 1146644, 188401.53, 0, 0.00, 1: 201; 2: 208; 3: 119; 4: 18; 
signal_transduction_in_fibroblasts, 651, 13, 11, 1046, 1, 4, 1146606, 188401.53, 0, 0.00, 1: 200; 2: 211; 3: 116; 4: 19; 
signal_transduction_in_fibroblasts, 172, 12, 12, 1047, 1, 4, 1152033, 188401.53, 128, 0.00, 1: 195; 2: 215; 3: 122; 4: 14; 
