Seed 1656949570
ARCH 2|F_ID 3|LIMIT 6
before: 
04(434)
Melhor resultado nxn: signal_transduction_in_fibroblasts,  11, 12, 12, 1089, 1, 4, 1152088, 192691.28, 162, 0.00, 1: 181; 2: 214; 3: 124; 4: 27; 
signal_transduction_in_fibroblasts,  11, 12, 12, 1089, 1, 4, 1152088, 192691.28, 162, 0.00, 1: 181; 2: 214; 3: 124; 4: 27; 
signal_transduction_in_fibroblasts, 945, 13, 11, 1090, 1, 4, 1146576, 192691.28, 0, 0.00, 1: 184; 2: 203; 3: 136; 4: 23; 
signal_transduction_in_fibroblasts, 671, 12, 12, 1090, 1, 4, 1152009, 192691.28, 0, 0.00, 1: 188; 2: 198; 3: 134; 4: 26; 
signal_transduction_in_fibroblasts, 144, 13, 11, 1095, 1, 4, 1146588, 192691.28, 8, 0.00, 1: 166; 2: 244; 3: 103; 4: 33; 
signal_transduction_in_fibroblasts, 273, 11, 13, 1095, 1, 4, 1146668, 192691.28, 0, 0.00, 1: 170; 2: 227; 3: 125; 4: 24; 
signal_transduction_in_fibroblasts, 251, 13, 11, 1095, 1, 4, 1146680, 192691.28, 0, 0.00, 1: 179; 2: 218; 3: 116; 4: 33; 
signal_transduction_in_fibroblasts,  55, 10, 15, 1096, 1, 4, 1201061, 192691.28, 0, 0.00, 1: 165; 2: 233; 3: 127; 4: 21; 
signal_transduction_in_fibroblasts, 839, 10, 15, 1096, 1, 4, 1200976, 192691.28, 0, 0.00, 1: 177; 2: 214; 3: 129; 4: 26; 
signal_transduction_in_fibroblasts, 895, 14, 10, 1096, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 175; 2: 221; 3: 121; 4: 29; 
signal_transduction_in_fibroblasts, 830, 12, 12, 1097, 1, 4, 1151927, 192691.28, 0, 0.00, 1: 174; 2: 216; 3: 133; 4: 23; 
signal_transduction_in_fibroblasts, 197, 11, 13, 1097, 1, 4, 1146567, 192691.28, 0, 0.00, 1: 172; 2: 223; 3: 125; 4: 26; 
signal_transduction_in_fibroblasts, 348, 10, 15, 1097, 1, 4, 1200799, 192691.28, 102, 0.00, 1: 172; 2: 228; 3: 115; 4: 31; 
signal_transduction_in_fibroblasts, 293, 12, 12, 1099, 1, 4, 1151972, 192691.28, 0, 0.00, 1: 178; 2: 216; 3: 119; 4: 33; 
signal_transduction_in_fibroblasts, 520, 13, 11, 1100, 1, 4, 1146680, 192691.28, 16, 0.00, 1: 182; 2: 202; 3: 134; 4: 28; 
signal_transduction_in_fibroblasts, 368, 10, 15, 1100, 1, 4, 1200963, 192691.28, 13, 0.00, 1: 173; 2: 213; 3: 139; 4: 21; 
signal_transduction_in_fibroblasts, 229, 11, 13, 1101, 1, 4, 1146698, 192691.28, 0, 0.00, 1: 172; 2: 217; 3: 133; 4: 24; 
signal_transduction_in_fibroblasts, 778, 13, 11, 1101, 1, 4, 1146579, 192691.28, 0, 0.00, 1: 176; 2: 213; 3: 129; 4: 28; 
signal_transduction_in_fibroblasts, 397, 13, 11, 1101, 1, 4, 1146591, 192691.28, 0, 0.00, 1: 175; 2: 216; 3: 126; 4: 29; 
signal_transduction_in_fibroblasts, 620, 13, 11, 1101, 1, 4, 1146548, 192691.28, 85, 0.00, 1: 165; 2: 239; 3: 110; 4: 32; 
signal_transduction_in_fibroblasts,  22, 13, 11, 1102, 1, 4, 1146554, 192691.28, 0, 0.00, 1: 171; 2: 222; 3: 125; 4: 28; 
signal_transduction_in_fibroblasts, 637, 10, 15, 1102, 1, 4, 1201005, 192691.28, 0, 0.00, 1: 163; 2: 234; 3: 125; 4: 24; 
signal_transduction_in_fibroblasts, 395, 12, 12, 1102, 1, 4, 1152051, 192691.28, 0, 0.00, 1: 171; 2: 224; 3: 121; 4: 30; 
signal_transduction_in_fibroblasts, 765, 10, 15, 1102, 1, 4, 1200861, 192691.28, 0, 0.00, 1: 167; 2: 232; 3: 117; 4: 30; 
signal_transduction_in_fibroblasts, 114, 10, 15, 1103, 1, 4, 1200916, 192691.28, 0, 0.00, 1: 164; 2: 229; 3: 131; 4: 22; 
signal_transduction_in_fibroblasts,  86, 13, 11, 1103, 1, 4, 1146584, 192691.28, 0, 0.00, 1: 164; 2: 229; 3: 131; 4: 22; 
signal_transduction_in_fibroblasts, 621, 12, 12, 1103, 1, 4, 1152068, 192691.28, 0, 0.00, 1: 170; 2: 221; 3: 129; 4: 26; 
signal_transduction_in_fibroblasts, 498, 11, 13, 1103, 1, 4, 1146607, 192691.28, 0, 0.00, 1: 165; 2: 231; 3: 124; 4: 26; 
signal_transduction_in_fibroblasts, 719, 10, 15, 1104, 1, 4, 1200950, 192691.28, 0, 0.00, 1: 167; 2: 228; 3: 123; 4: 28; 
signal_transduction_in_fibroblasts, 327, 10, 15, 1104, 1, 4, 1200745, 192691.28, 0, 0.00, 1: 157; 2: 243; 3: 123; 4: 23; 
signal_transduction_in_fibroblasts, 849, 13, 11, 1104, 1, 4, 1146613, 192691.28, 0, 0.00, 1: 183; 2: 200; 3: 131; 4: 32; 
signal_transduction_in_fibroblasts, 521, 10, 15, 1104, 1, 4, 1200956, 192691.28, 0, 0.00, 1: 171; 2: 218; 3: 131; 4: 26; 
signal_transduction_in_fibroblasts, 804, 11, 13, 1104, 1, 4, 1146632, 192691.28, 66, 0.00, 1: 170; 2: 226; 3: 118; 4: 32; 
signal_transduction_in_fibroblasts, 663, 10, 14, 1105, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 176; 2: 211; 3: 129; 4: 30; 
signal_transduction_in_fibroblasts, 581, 12, 12, 1105, 1, 4, 1152108, 192691.28, 0, 0.00, 1: 168; 2: 217; 3: 141; 4: 20; 
signal_transduction_in_fibroblasts, 600, 10, 15, 1105, 1, 4, 1200780, 192691.28, 20, 0.00, 1: 174; 2: 208; 3: 141; 4: 23; 
signal_transduction_in_fibroblasts, 989, 12, 12, 1105, 1, 4, 1151894, 192691.28, 0, 0.00, 1: 180; 2: 201; 3: 137; 4: 28; 
signal_transduction_in_fibroblasts, 175, 10, 15, 1105, 1, 4, 1200791, 192691.28, 0, 0.00, 1: 164; 2: 229; 3: 129; 4: 24; 
signal_transduction_in_fibroblasts, 626, 10, 15, 1105, 1, 4, 1200831, 192691.28, 0, 0.00, 1: 173; 2: 210; 3: 140; 4: 23; 
signal_transduction_in_fibroblasts,  18, 13, 11, 1105, 1, 4, 1146606, 192691.28, 66, 0.00, 1: 172; 2: 216; 3: 131; 4: 27; 
signal_transduction_in_fibroblasts, 403, 10, 14, 1105, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 170; 2: 218; 3: 133; 4: 25; 
signal_transduction_in_fibroblasts, 833, 12, 12, 1105, 1, 4, 1151994, 192691.28, 0, 0.00, 1: 173; 2: 215; 3: 130; 4: 28; 
signal_transduction_in_fibroblasts, 503, 11, 13, 1106, 1, 4, 1146580, 192691.28, 0, 0.00, 1: 177; 2: 211; 3: 125; 4: 33; 
signal_transduction_in_fibroblasts, 243, 13, 11, 1106, 1, 4, 1146604, 192691.28, 0, 0.00, 1: 172; 2: 210; 3: 142; 4: 22; 
signal_transduction_in_fibroblasts, 611, 11, 13, 1106, 1, 4, 1146600, 192691.28, 0, 0.00, 1: 169; 2: 217; 3: 137; 4: 23; 
signal_transduction_in_fibroblasts, 800, 10, 15, 1106, 1, 4, 1200903, 192691.28, 25, 0.00, 1: 163; 2: 230; 3: 129; 4: 24; 
signal_transduction_in_fibroblasts,  66, 12, 12, 1106, 1, 4, 1152008, 192691.28, 0, 0.00, 1: 176; 2: 209; 3: 132; 4: 29; 
signal_transduction_in_fibroblasts, 320, 11, 13, 1106, 1, 4, 1146621, 192691.28, 11, 0.00, 1: 169; 2: 218; 3: 135; 4: 24; 
signal_transduction_in_fibroblasts,  98, 10, 15, 1106, 1, 4, 1200792, 192691.28, 0, 0.00, 1: 166; 2: 225; 3: 130; 4: 25; 
signal_transduction_in_fibroblasts, 482, 13, 11, 1106, 1, 4, 1146630, 192691.28, 0, 0.00, 1: 168; 2: 217; 3: 140; 4: 21; 
signal_transduction_in_fibroblasts, 932, 11, 13, 1106, 1, 4, 1146592, 192691.28, 14, 0.00, 1: 174; 2: 206; 3: 144; 4: 22; 
signal_transduction_in_fibroblasts, 411, 10, 15, 1106, 1, 4, 1201035, 192691.28, 0, 0.00, 1: 167; 2: 222; 3: 133; 4: 24; 
signal_transduction_in_fibroblasts, 309, 10, 15, 1106, 1, 4, 1201019, 192691.28, 0, 0.00, 1: 171; 2: 210; 3: 145; 4: 20; 
signal_transduction_in_fibroblasts, 946, 10, 15, 1107, 1, 4, 1200843, 192691.28, 0, 0.00, 1: 178; 2: 204; 3: 135; 4: 29; 
signal_transduction_in_fibroblasts, 874, 11, 13, 1107, 1, 4, 1146591, 192691.28, 0, 0.00, 1: 172; 2: 217; 3: 127; 4: 30; 
signal_transduction_in_fibroblasts, 771, 10, 14, 1107, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 171; 2: 212; 3: 140; 4: 23; 
signal_transduction_in_fibroblasts, 133, 11, 13, 1107, 1, 4, 1146583, 192691.28, 0, 0.00, 1: 166; 2: 225; 3: 129; 4: 26; 
signal_transduction_in_fibroblasts, 710, 14, 10, 1107, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 168; 2: 221; 3: 131; 4: 26; 
signal_transduction_in_fibroblasts, 396, 11, 13, 1107, 1, 4, 1146609, 192691.28, 63, 0.00, 1: 167; 2: 224; 3: 128; 4: 27; 
signal_transduction_in_fibroblasts, 301, 11, 13, 1108, 1, 4, 1146634, 192691.28, 0, 0.00, 1: 170; 2: 219; 3: 128; 4: 29; 
signal_transduction_in_fibroblasts, 777,  9, 17, 1108, 1, 4, 1222943, 192691.28, 0, 0.00, 1: 172; 2: 207; 3: 146; 4: 21; 
signal_transduction_in_fibroblasts, 840, 11, 13, 1108, 1, 4, 1146637, 192691.28, 27, 0.00, 1: 160; 2: 233; 3: 130; 4: 23; 
signal_transduction_in_fibroblasts,  65, 12, 12, 1108, 1, 4, 1152026, 192691.28, 0, 0.00, 1: 177; 2: 201; 3: 143; 4: 25; 
signal_transduction_in_fibroblasts, 812, 12, 12, 1108, 1, 4, 1152056, 192691.28, 25, 0.00, 1: 167; 2: 220; 3: 135; 4: 24; 
signal_transduction_in_fibroblasts,   0,  9, 16, 1108, 1, 4, 1152000, 192691.28, 0, 0.00, 1: 166; 2: 225; 3: 128; 4: 27; 
signal_transduction_in_fibroblasts, 918, 13, 11, 1108, 1, 4, 1146628, 192691.28, 0, 0.00, 1: 162; 2: 224; 3: 142; 4: 18; 
signal_transduction_in_fibroblasts, 107, 12, 12, 1108, 1, 4, 1152053, 192691.28, 0, 0.00, 1: 166; 2: 224; 3: 130; 4: 26; 
signal_transduction_in_fibroblasts, 872, 10, 14, 1108, 1, 4, 1128680, 192691.28, 27, 0.00, 1: 173; 2: 210; 3: 137; 4: 26; 
signal_transduction_in_fibroblasts, 200, 11, 13, 1108, 1, 4, 1146595, 192691.28, 8, 0.00, 1: 177; 2: 206; 3: 133; 4: 30; 
signal_transduction_in_fibroblasts, 805, 11, 13, 1109, 1, 4, 1146620, 192691.28, 0, 0.00, 1: 164; 2: 232; 3: 119; 4: 31; 
signal_transduction_in_fibroblasts, 779, 12, 12, 1109, 1, 4, 1152061, 192691.28, 0, 0.00, 1: 168; 2: 212; 3: 147; 4: 19; 
signal_transduction_in_fibroblasts, 253, 12, 12, 1109, 1, 4, 1152025, 192691.28, 0, 0.00, 1: 168; 2: 218; 3: 135; 4: 25; 
signal_transduction_in_fibroblasts, 417, 11, 13, 1109, 1, 4, 1146620, 192691.28, 0, 0.00, 1: 164; 2: 224; 3: 135; 4: 23; 
signal_transduction_in_fibroblasts, 801, 13, 11, 1109, 1, 4, 1146556, 192691.28, 0, 0.00, 1: 173; 2: 212; 3: 132; 4: 29; 
signal_transduction_in_fibroblasts,  67, 10, 15, 1109, 1, 4, 1200847, 192691.28, 0, 0.00, 1: 164; 2: 224; 3: 135; 4: 23; 
signal_transduction_in_fibroblasts, 665, 12, 12, 1110, 1, 4, 1151996, 192691.28, 0, 0.00, 1: 164; 2: 222; 3: 138; 4: 22; 
signal_transduction_in_fibroblasts, 360,  9, 17, 1110, 1, 4, 1223017, 192691.28, 13, 0.00, 1: 170; 2: 218; 3: 128; 4: 30; 
signal_transduction_in_fibroblasts, 957, 11, 13, 1110, 1, 4, 1146607, 192691.28, 0, 0.00, 1: 168; 2: 215; 3: 140; 4: 23; 
signal_transduction_in_fibroblasts, 729,  9, 17, 1110, 1, 4, 1222979, 192691.28, 0, 0.00, 1: 157; 2: 240; 3: 123; 4: 26; 
signal_transduction_in_fibroblasts, 817, 10, 15, 1110, 1, 4, 1200731, 192691.28, 0, 0.00, 1: 174; 2: 207; 3: 138; 4: 27; 
signal_transduction_in_fibroblasts, 181, 11, 13, 1110, 1, 4, 1146593, 192691.28, 0, 0.00, 1: 168; 2: 221; 3: 128; 4: 29; 
signal_transduction_in_fibroblasts, 656, 13, 11, 1110, 1, 4, 1146578, 192691.28, 23, 0.00, 1: 167; 2: 215; 3: 143; 4: 21; 
signal_transduction_in_fibroblasts, 233, 11, 13, 1110, 1, 4, 1146561, 192691.28, 0, 0.00, 1: 160; 2: 234; 3: 126; 4: 26; 
signal_transduction_in_fibroblasts, 260, 12, 12, 1110, 1, 4, 1151937, 192691.28, 76, 0.00, 1: 171; 2: 209; 3: 143; 4: 23; 
signal_transduction_in_fibroblasts, 746, 11, 13, 1110, 1, 4, 1146618, 192691.28, 0, 0.00, 1: 158; 2: 238; 3: 124; 4: 26; 
signal_transduction_in_fibroblasts, 426, 12, 12, 1111, 1, 4, 1152005, 192691.28, 0, 0.00, 1: 170; 2: 213; 3: 137; 4: 26; 
signal_transduction_in_fibroblasts, 143, 12, 12, 1111, 1, 4, 1151994, 192691.28, 0, 0.00, 1: 169; 2: 216; 3: 134; 4: 27; 
signal_transduction_in_fibroblasts,  24,  9, 17, 1111, 1, 4, 1222736, 192691.28, 176, 0.00, 1: 154; 2: 239; 3: 133; 4: 20; 
signal_transduction_in_fibroblasts, 740, 11, 13, 1111, 1, 4, 1146626, 192691.28, 31, 0.00, 1: 172; 2: 208; 3: 141; 4: 25; 
signal_transduction_in_fibroblasts, 570, 10, 15, 1111, 1, 4, 1200841, 192691.28, 0, 0.00, 1: 175; 2: 209; 3: 130; 4: 32; 
signal_transduction_in_fibroblasts, 272, 11, 13, 1111, 1, 4, 1146632, 192691.28, 11, 0.00, 1: 164; 2: 224; 3: 133; 4: 25; 
signal_transduction_in_fibroblasts, 848, 13, 11, 1112, 1, 4, 1146652, 192691.28, 27, 0.00, 1: 167; 2: 215; 3: 141; 4: 23; 
signal_transduction_in_fibroblasts, 205, 13, 11, 1112, 1, 4, 1146624, 192691.28, 0, 0.00, 1: 162; 2: 230; 3: 126; 4: 28; 
signal_transduction_in_fibroblasts, 366, 10, 15, 1112, 1, 4, 1201183, 192691.28, 0, 0.00, 1: 155; 2: 239; 3: 129; 4: 23; 
signal_transduction_in_fibroblasts, 488,  9, 16, 1112, 1, 4, 1152068, 192691.28, 16, 0.00, 1: 171; 2: 218; 3: 123; 4: 34; 
signal_transduction_in_fibroblasts, 662, 10, 15, 1112, 1, 4, 1200914, 192691.28, 0, 0.00, 1: 164; 2: 227; 3: 126; 4: 29; 
signal_transduction_in_fibroblasts, 499, 10, 14, 1112, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 176; 2: 198; 3: 148; 4: 24; 
signal_transduction_in_fibroblasts, 380, 11, 13, 1112, 1, 4, 1146671, 192691.28, 17, 0.00, 1: 171; 2: 212; 3: 135; 4: 28; 
signal_transduction_in_fibroblasts, 191, 10, 15, 1112, 1, 4, 1201112, 192691.28, 0, 0.00, 1: 165; 2: 219; 3: 139; 4: 23; 
signal_transduction_in_fibroblasts, 609, 12, 12, 1112, 1, 4, 1152069, 192691.28, 0, 0.00, 1: 166; 2: 220; 3: 134; 4: 26; 
signal_transduction_in_fibroblasts, 903, 13, 11, 1112, 1, 4, 1146641, 192691.28, 0, 0.00, 1: 161; 2: 231; 3: 127; 4: 27; 
signal_transduction_in_fibroblasts, 752, 10, 14, 1112, 1, 4, 1128680, 192691.28, 24, 0.00, 1: 167; 2: 219; 3: 133; 4: 27; 
signal_transduction_in_fibroblasts, 179, 12, 12, 1112, 1, 4, 1152005, 192691.28, 0, 0.00, 1: 171; 2: 213; 3: 133; 4: 29; 
