Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
2(255)
Melhor resultado nxn: Apoptosis_network, 393,  6,  8,   84, 1, 2, 371892, 8114.48, 104, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 393,  6,  8,   84, 1, 2, 371892, 8114.48, 104, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 441,  5, 10,   84, 1, 2, 383777, 8114.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 666,  5, 10,   84, 1, 2, 383960, 8114.48, 115, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 735,  9,  5,   84, 1, 2, 353167, 8114.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 325,  5, 10,   84, 1, 2, 383964, 8114.48, 86, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 326,  6,  8,   84, 1, 2, 372088, 8114.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 795,  6,  8,   85, 1, 2, 371853, 8114.48, 119, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  29,  6,  8,   85, 1, 2, 372200, 8114.48, 86, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 894,  5, 10,   85, 1, 2, 384551, 8114.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 355,  6,  8,   85, 1, 2, 371759, 8114.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 931,  6,  8,   85, 1, 2, 371979, 8114.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 992,  5, 10,   85, 1, 2, 383992, 8114.48, 6, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  62,  6,  8,   85, 1, 2, 371969, 8114.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 112,  7,  6,   85, 1, 2, 330624, 8114.48, 28, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  96,  5, 10,   85, 1, 2, 383509, 8114.48, 5, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 669,  5, 10,   85, 1, 2, 384062, 8114.48, 86, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 460,  6,  7,   85, 1, 2, 330624, 8114.48, 54, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 591,  5, 10,   85, 1, 2, 384133, 8114.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 434,  6,  8,   85, 1, 2, 371680, 8114.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  57,  5, 10,   85, 1, 2, 384067, 8114.48, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 438,  5,  9,   86, 1, 2, 353004, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 343,  6,  7,   86, 1, 2, 330624, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 892,  9,  5,   86, 1, 2, 353177, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 721,  6,  7,   86, 1, 2, 330624, 8114.48, 65, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 612,  6,  7,   86, 1, 2, 330624, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 410,  7,  6,   86, 1, 2, 330624, 8114.48, 115, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 712,  6,  7,   86, 1, 2, 330624, 8114.48, 64, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 734,  6,  8,   86, 1, 2, 372102, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  93,  6,  8,   86, 1, 2, 372008, 8114.48, 86, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 923,  4, 12,   86, 1, 2, 371906, 8114.48, 118, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 910,  5,  9,   86, 1, 2, 353260, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 367,  6,  8,   86, 1, 2, 371892, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 950,  6,  7,   86, 1, 2, 330624, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 780,  6,  8,   86, 1, 2, 371830, 8114.48, 54, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 865,  5,  9,   86, 1, 2, 353325, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 136,  9,  5,   86, 1, 2, 353445, 8114.48, 176, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 307,  9,  5,   86, 1, 2, 353314, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 940,  5,  9,   86, 1, 2, 353192, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 784,  7,  6,   86, 1, 2, 330624, 8114.48, 240, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 679,  5, 10,   86, 1, 2, 384164, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network,   9,  9,  5,   86, 1, 2, 353369, 8114.48, 194, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 316,  9,  5,   86, 1, 2, 353292, 8114.48, 2, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 976,  5, 10,   86, 1, 2, 384134, 8114.48, 176, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 499,  4, 11,   86, 1, 2, 346048, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 331,  7,  6,   86, 1, 2, 330624, 8114.48, 119, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 971,  6,  7,   86, 1, 2, 330624, 8114.48, 119, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 151,  9,  5,   86, 1, 2, 353102, 8114.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 264,  7,  6,   86, 1, 2, 330624, 8114.48, 64, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 969,  9,  5,   86, 1, 2, 353127, 8114.48, 66, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 259,  4, 12,   86, 1, 2, 371715, 8114.48, 118, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 126,  6,  7,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 739,  5,  9,   87, 1, 2, 353280, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 594,  6,  8,   87, 1, 2, 371901, 8114.48, 115, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 754,  5,  9,   87, 1, 2, 353241, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 530,  4, 11,   87, 1, 2, 346124, 8114.48, 115, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 937,  7,  6,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 147,  5,  9,   87, 1, 2, 353230, 8114.48, 118, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 549,  4, 11,   87, 1, 2, 346086, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 958,  6,  7,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 483,  7,  6,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 472,  5,  9,   87, 1, 2, 353055, 8114.48, 104, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 162,  6,  8,   87, 1, 2, 372002, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 744,  6,  8,   87, 1, 2, 372053, 8114.48, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  98,  6,  8,   87, 1, 2, 371626, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 164,  6,  8,   87, 1, 2, 371428, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 564,  6,  8,   87, 1, 2, 371691, 8114.48, 255, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 457,  6,  8,   87, 1, 2, 372085, 8114.48, 63, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 448,  9,  5,   87, 1, 2, 353390, 8114.48, 240, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 745,  5,  9,   87, 1, 2, 353278, 8114.48, 67, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 575,  4, 11,   87, 1, 2, 346025, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 183,  7,  6,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
