Seed 1656949570
ARCH 2|F_ID 2|LIMIT 3
before: 
3(1000)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 726,  6, 10,  188, 1, 3, 470520, 16882.14, 0, 0.00, 1: 86; 2: 45; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 726,  6, 10,  188, 1, 3, 470520, 16882.14, 0, 0.00, 1: 86; 2: 45; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 216,  6, 10,  189, 1, 3, 470428, 16882.14, 7, 0.00, 1: 87; 2: 42; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 181,  6, 10,  189, 1, 3, 470448, 16882.14, 0, 0.00, 1: 85; 2: 46; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 863,  6, 10,  189, 1, 3, 470293, 16882.14, 0, 0.00, 1: 85; 2: 46; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 724,  8,  7,  189, 1, 3, 442680, 16882.14, 31, 0.00, 1: 85; 2: 46; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 808,  6, 10,  189, 1, 3, 470479, 16882.14, 37, 0.00, 1: 86; 2: 44; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 751,  8,  7,  190, 1, 3, 442685, 16882.14, 0, 0.00, 1: 86; 2: 43; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  91,  6, 10,  190, 1, 3, 470504, 16882.14, 0, 0.00, 1: 85; 2: 45; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  37,  8,  7,  190, 1, 3, 442622, 16882.14, 0, 0.00, 1: 85; 2: 45; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 917,  6, 10,  190, 1, 3, 470550, 16882.14, 0, 0.00, 1: 87; 2: 41; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 780,  6, 10,  190, 1, 3, 470276, 16882.14, 40, 0.00, 1: 85; 2: 45; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 228,  6,  9,  190, 1, 3, 427869, 16882.14, 24, 0.00, 1: 85; 2: 45; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 501,  7,  8,  190, 1, 3, 442676, 16882.14, 0, 0.00, 1: 84; 2: 47; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 725,  6, 10,  190, 1, 3, 470425, 16882.14, 0, 0.00, 1: 87; 2: 41; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 665,  6, 10,  190, 1, 3, 470404, 16882.14, 0, 0.00, 1: 86; 2: 43; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 605,  9,  6,  190, 1, 3, 427869, 16882.14, 0, 0.00, 1: 85; 2: 45; 3: 5; 
