Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
3(324)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 820,  7, 11,  175, 1, 3, 605299, 16942.19, 41, 0.00, 1: 90; 2: 35; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 820,  7, 11,  175, 1, 3, 605299, 16942.19, 41, 0.00, 1: 90; 2: 35; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 792,  9,  8,  176, 1, 3, 570237, 16942.19, 57, 0.00, 1: 91; 2: 32; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 328, 10,  7,  177, 1, 3, 557145, 16942.19, 21, 0.00, 1: 89; 2: 35; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 517,  8,  9,  177, 1, 3, 570447, 16942.19, 0, 0.00, 1: 92; 2: 29; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo,  45,  9,  8,  177, 1, 3, 570379, 16942.19, 0, 0.00, 1: 92; 2: 29; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 264,  9,  8,  177, 1, 3, 570190, 16942.19, 15, 0.00, 1: 84; 2: 45; 3: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 748,  8,  9,  177, 1, 3, 570407, 16942.19, 57, 0.00, 1: 88; 2: 37; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 170,  7, 10,  177, 1, 3, 557126, 16942.19, 0, 0.00, 1: 87; 2: 39; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 959,  7, 11,  177, 1, 3, 605022, 16942.19, 0, 0.00, 1: 88; 2: 37; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 423, 10,  7,  178, 1, 3, 557188, 16942.19, 0, 0.00, 1: 85; 2: 42; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 818, 10,  7,  178, 1, 3, 557191, 16942.19, 0, 0.00, 1: 89; 2: 34; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 898,  7, 10,  178, 1, 3, 557163, 16942.19, 0, 0.00, 1: 89; 2: 34; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 970,  6, 13,  179, 1, 3, 610744, 16942.19, 0, 0.00, 1: 88; 2: 35; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 551,  8,  9,  179, 1, 3, 570292, 16942.19, 0, 0.00, 1: 87; 2: 37; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  93,  9,  8,  179, 1, 3, 570278, 16942.19, 0, 0.00, 1: 85; 2: 41; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  21,  9,  8,  179, 1, 3, 570416, 16942.19, 86, 0.00, 1: 87; 2: 37; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 260,  7, 10,  179, 1, 3, 557190, 16942.19, 18, 0.00, 1: 84; 2: 43; 3: 3; 
