Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(993)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 326,  9,  8,  225, 0, 4, 570202, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 35; 3: 20; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 326,  9,  8,  225, 0, 4, 570202, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 35; 3: 20; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 712, 10,  7,  229, 0, 4, 557151, 16660.03, 50, 0.00, 0: 1; 1: 70; 2: 30; 3: 17; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo,  74,  7, 10,  229, 0, 4, 557191, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 38; 3: 19; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 984,  8,  9,  230, 0, 4, 570291, 16660.03, 64, 0.00, 0: 1; 1: 74; 2: 24; 3: 16; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 319,  8,  9,  230, 0, 4, 570274, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 40; 3: 20; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 622,  7, 10,  230, 0, 4, 557145, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 34; 3: 20; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 605,  7, 11,  230, 0, 4, 604853, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 36; 3: 19; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 894,  9,  8,  231, 0, 4, 570288, 16660.03, 0, 0.00, 0: 1; 1: 69; 2: 26; 3: 26; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 513,  9,  8,  231, 0, 4, 570321, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 40; 3: 16; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  26,  8,  9,  231, 0, 4, 570269, 16660.03, 10, 0.00, 0: 1; 1: 67; 2: 32; 3: 20; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 821,  9,  8,  231, 0, 4, 570354, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 43; 3: 13; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 635,  9,  8,  231, 0, 4, 570300, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 34; 3: 22; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 697,  8,  9,  232, 0, 4, 570257, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 43; 3: 18; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 517,  8,  9,  232, 0, 4, 570301, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 38; 3: 19; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 840,  9,  8,  232, 0, 4, 570281, 16660.03, 59, 0.00, 0: 1; 1: 65; 2: 34; 3: 21; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 695,  7, 10,  232, 0, 4, 557160, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 45; 3: 17; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 209,  7, 11,  232, 0, 4, 604871, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 36; 3: 17; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 889,  7, 10,  232, 0, 4, 557161, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 33; 3: 23; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 595,  9,  8,  232, 0, 4, 570255, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 39; 3: 20; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 392,  8,  9,  232, 0, 4, 570301, 16660.03, 25, 0.00, 0: 1; 1: 66; 2: 34; 3: 18; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo,  45,  9,  8,  232, 0, 4, 570269, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 44; 3: 19; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 201,  9,  8,  233, 0, 4, 570351, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 35; 3: 15; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo,  81,  8,  9,  233, 0, 4, 570274, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 30; 3: 22; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  27,  8,  9,  233, 0, 4, 570307, 16660.03, 162, 0.00, 0: 1; 1: 64; 2: 36; 3: 19; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 256,  7, 10,  233, 0, 4, 557142, 16660.03, 15, 0.00, 0: 1; 1: 62; 2: 40; 3: 17; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 451,  7, 11,  233, 0, 4, 605060, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 31; 3: 20; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 748,  8,  9,  233, 0, 4, 570250, 16660.03, 57, 0.00, 0: 1; 1: 61; 2: 40; 3: 20; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 290,  9,  8,  233, 0, 4, 570317, 16660.03, 0, 0.00, 0: 1; 1: 65; 2: 33; 3: 22; 4: 9; 
