Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
74(1000)
Melhor resultado nxn: CD4_T_cell_signaling, 361, 14, 14,  519, 1, 4, 1583799, 45211.48, 0, 0.00, 1: 211; 2: 105; 3: 22; 4: 8; 
CD4_T_cell_signaling,  45, 15, 13,  511, 1, 4, 1568103, 45211.48, 0, 0.00, 1: 212; 2: 108; 3: 21; 4: 5; 
CD4_T_cell_signaling, 303, 12, 17,  512, 1, 4, 1626037, 45211.48, 0, 0.00, 1: 216; 2: 99; 3: 26; 4: 5; 
CD4_T_cell_signaling, 983, 10, 20,  515, 1, 4, 1606503, 45211.48, 0, 0.00, 1: 207; 2: 112; 3: 24; 4: 3; 
CD4_T_cell_signaling, 216, 15, 13,  517, 1, 4, 1568139, 45211.48, 15, 0.00, 1: 216; 2: 97; 3: 25; 4: 8; 
CD4_T_cell_signaling, 305, 11, 18,  518, 1, 4, 1595353, 45211.48, 0, 0.00, 1: 208; 2: 105; 3: 32; 4: 1; 
CD4_T_cell_signaling, 940, 12, 17,  518, 1, 4, 1625869, 45211.48, 37, 0.00, 1: 215; 2: 97; 3: 27; 4: 7; 
CD4_T_cell_signaling, 678, 12, 17,  519, 1, 4, 1625902, 45211.48, 0, 0.00, 1: 210; 2: 100; 3: 35; 4: 1; 
CD4_T_cell_signaling, 361, 14, 14,  519, 1, 4, 1583799, 45211.48, 0, 0.00, 1: 211; 2: 105; 3: 22; 4: 8; 
CD4_T_cell_signaling, 864, 12, 17,  520, 1, 4, 1626067, 45211.48, 65, 0.00, 1: 214; 2: 93; 3: 36; 4: 3; 
CD4_T_cell_signaling, 633, 10, 20,  520, 1, 4, 1606574, 45211.48, 0, 0.00, 1: 221; 2: 80; 3: 41; 4: 4; 
CD4_T_cell_signaling, 192, 15, 13,  520, 1, 4, 1568154, 45211.48, 14, 0.00, 1: 208; 2: 108; 3: 24; 4: 6; 
CD4_T_cell_signaling, 458,  9, 22,  520, 1, 4, 1595558, 45211.48, 0, 0.00, 1: 210; 2: 99; 3: 36; 4: 1; 
CD4_T_cell_signaling, 751, 15, 13,  520, 1, 4, 1568189, 45211.48, 0, 0.00, 1: 206; 2: 109; 3: 28; 4: 3; 
CD4_T_cell_signaling, 990, 14, 14,  521, 1, 4, 1583838, 45211.48, 0, 0.00, 1: 209; 2: 105; 3: 26; 4: 6; 
CD4_T_cell_signaling, 794, 10, 19,  521, 1, 4, 1526102, 45211.48, 0, 0.00, 1: 213; 2: 98; 3: 28; 4: 7; 
CD4_T_cell_signaling, 625, 12, 17,  522, 1, 4, 1625970, 45211.48, 0, 0.00, 1: 206; 2: 110; 3: 24; 4: 6; 
CD4_T_cell_signaling, 444, 13, 15,  522, 1, 4, 1568203, 45211.48, 155, 0.00, 1: 204; 2: 113; 3: 24; 4: 5; 
CD4_T_cell_signaling, 664, 11, 18,  522, 1, 4, 1595315, 45211.48, 41, 0.00, 1: 202; 2: 117; 3: 22; 4: 5; 
CD4_T_cell_signaling, 205, 15, 13,  522, 1, 4, 1568195, 45211.48, 0, 0.00, 1: 205; 2: 110; 3: 27; 4: 4; 
CD4_T_cell_signaling, 191, 16, 12,  522, 1, 4, 1539677, 45211.48, 0, 0.00, 1: 213; 2: 100; 3: 23; 4: 10; 
