Seed 1656949570
ARCH 2|F_ID 2|LIMIT 2
before: 
102(1000)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 651,  6,  6,   45, 1, 2, 281803, 6375.60, 249, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 593,  5,  8,   44, 1, 2, 308273, 6375.60, 133, 0.00, 1: 42; 2: 1; 
Cholesterol_Regulatory_Pathway, 704,  9,  4,   44, 1, 2, 281783, 6375.60, 208, 0.00, 1: 42; 2: 1; 
Cholesterol_Regulatory_Pathway, 582,  5,  8,   44, 1, 2, 308087, 6375.60, 0, 0.00, 1: 42; 2: 1; 
Cholesterol_Regulatory_Pathway, 581,  5,  8,   44, 1, 2, 308323, 6375.60, 86, 0.00, 1: 42; 2: 1; 
Cholesterol_Regulatory_Pathway, 425,  9,  4,   45, 1, 2, 281743, 6375.60, 67, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 275,  5,  8,   45, 1, 2, 308341, 6375.60, 249, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 882,  7,  5,   45, 1, 2, 274295, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 608,  4, 10,   45, 1, 2, 308302, 6375.60, 13, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 832,  5,  8,   45, 1, 2, 308230, 6375.60, 80, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 829,  5,  8,   45, 1, 2, 308393, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 651,  6,  6,   45, 1, 2, 281803, 6375.60, 249, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 310,  4, 10,   45, 1, 2, 308167, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 822,  5,  8,   45, 1, 2, 308341, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 662,  5,  8,   45, 1, 2, 308199, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway,  69,  6,  6,   45, 1, 2, 281761, 6375.60, 86, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 442,  4,  9,   45, 1, 2, 281787, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 796,  5,  7,   45, 1, 2, 274295, 6375.60, 6, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 352,  7,  5,   45, 1, 2, 274295, 6375.60, 13, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 124,  7,  5,   45, 1, 2, 274295, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 371,  5,  7,   45, 1, 2, 274295, 6375.60, 108, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 122,  4, 10,   45, 1, 2, 308176, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 751,  5,  8,   45, 1, 2, 308329, 6375.60, 110, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway,  62,  4, 10,   45, 1, 2, 308216, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 743,  4, 10,   45, 1, 2, 308248, 6375.60, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 738,  5,  8,   45, 1, 2, 308236, 6375.60, 0, 0.00, 1: 41; 2: 2; 
