Seed 1656949570
ARCH 0|F_ID 2|LIMIT 2
before: 
02(970)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 938,  6,  6,   47, 0, 2, 281786, 5444.15, 0, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 938,  6,  6,   47, 0, 2, 281786, 5444.15, 0, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 622,  6,  6,   48, 0, 2, 281794, 5444.15, 115, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway,   3,  5,  8,   48, 0, 2, 308254, 5444.15, 15, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 249,  6,  6,   48, 0, 2, 281777, 5444.15, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 493,  5,  8,   48, 0, 2, 308271, 5444.15, 49, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 240,  5,  8,   48, 0, 2, 308315, 5444.15, 15, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 667,  6,  6,   48, 0, 2, 281794, 5444.15, 91, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway,   9,  6,  6,   48, 0, 2, 281799, 5444.15, 130, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 125,  5,  8,   48, 0, 2, 308508, 5444.15, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 799,  7,  5,   48, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway,  28,  6,  6,   48, 0, 2, 281779, 5444.15, 244, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 303,  6,  6,   49, 0, 2, 281794, 5444.15, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway,  21,  6,  6,   49, 0, 2, 281811, 5444.15, 85, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 550,  5,  8,   49, 0, 2, 308240, 5444.15, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 529,  6,  6,   49, 0, 2, 281788, 5444.15, 133, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 277,  6,  6,   49, 0, 2, 281801, 5444.15, 85, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 872,  5,  8,   49, 0, 2, 308251, 5444.15, 30, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 891,  5,  7,   49, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 33; 2: 8; 
