Seed 1656949570
ARCH 1|F_ID 2|LIMIT 3
before: 
2(267)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 571,  7,  8,  109, 1, 2, 439452, 11730.34, 0, 0.00, 1: 85; 2: 12; 
Differentiation_of_T_lymphocytes, 571,  7,  8,  109, 1, 2, 439452, 11730.34, 0, 0.00, 1: 85; 2: 12; 
Differentiation_of_T_lymphocytes, 754,  7,  8,  110, 1, 2, 439175, 11730.34, 0, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 471,  9,  6,  110, 1, 2, 426035, 11730.34, 0, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 904,  9,  6,  110, 1, 2, 426000, 11730.34, 128, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 201,  8,  7,  111, 1, 2, 439054, 11730.34, 157, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 476,  8,  7,  111, 1, 2, 439094, 11730.34, 190, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 494,  7,  8,  111, 1, 2, 439333, 11730.34, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 926,  6,  9,  111, 1, 2, 426102, 11730.34, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 930,  9,  6,  111, 1, 2, 425872, 11730.34, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 281,  6,  9,  111, 1, 2, 426148, 11730.34, 246, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes,  55,  8,  7,  112, 1, 2, 439208, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 117,  9,  6,  112, 1, 2, 426126, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 587,  7,  8,  112, 1, 2, 439241, 11730.34, 17, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 526,  8,  7,  112, 1, 2, 439034, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 906,  7,  8,  112, 1, 2, 439320, 11730.34, 123, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 527,  9,  6,  112, 1, 2, 426067, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 905,  7,  8,  112, 1, 2, 439055, 11730.34, 240, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 585,  7,  8,  112, 1, 2, 439256, 11730.34, 239, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 555,  6,  9,  112, 1, 2, 426071, 11730.34, 78, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 169,  7,  8,  112, 1, 2, 439151, 11730.34, 68, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 752,  8,  7,  112, 1, 2, 439104, 11730.34, 8, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 556,  7,  8,  112, 1, 2, 439401, 11730.34, 66, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 755,  7,  8,  112, 1, 2, 439248, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 758,  8,  7,  112, 1, 2, 439209, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 171,  5, 11,  112, 1, 2, 432123, 11730.34, 108, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 377,  9,  6,  112, 1, 2, 425896, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 847,  9,  6,  112, 1, 2, 426137, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 355,  8,  7,  112, 1, 2, 439316, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 648,  7,  8,  112, 1, 2, 439234, 11730.34, 128, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 663,  7,  8,  112, 1, 2, 439179, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 791,  5, 12,  112, 1, 2, 463915, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 645,  6,  9,  112, 1, 2, 426067, 11730.34, 85, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 399,  6,  9,  112, 1, 2, 425966, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 872,  6,  9,  112, 1, 2, 426194, 11730.34, 32, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 871,  6,  9,  112, 1, 2, 426075, 11730.34, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 394,  9,  6,  112, 1, 2, 426075, 11730.34, 0, 0.00, 1: 82; 2: 15; 
