Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
3(864)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 574,  7,  8,  130, 0, 3, 439154, 12113.99, 0, 0.00, 0: 8; 1: 55; 2: 27; 3: 7; 
Differentiation_of_T_lymphocytes, 574,  7,  8,  130, 0, 3, 439154, 12113.99, 0, 0.00, 0: 8; 1: 55; 2: 27; 3: 7; 
Differentiation_of_T_lymphocytes,  99,  8,  7,  130, 0, 3, 439186, 12113.99, 0, 0.00, 0: 8; 1: 55; 2: 27; 3: 7; 
Differentiation_of_T_lymphocytes, 648,  7,  8,  130, 0, 3, 439194, 12113.99, 128, 0.00, 0: 8; 1: 55; 2: 27; 3: 7; 
Differentiation_of_T_lymphocytes, 988,  7,  8,  131, 0, 3, 439198, 12113.99, 14, 0.00, 0: 8; 1: 55; 2: 26; 3: 8; 
Differentiation_of_T_lymphocytes, 834,  7,  8,  131, 0, 3, 439179, 12113.99, 124, 0.00, 0: 8; 1: 54; 2: 28; 3: 7; 
Differentiation_of_T_lymphocytes, 789,  9,  6,  131, 0, 3, 426019, 12113.99, 86, 0.00, 0: 8; 1: 57; 2: 22; 3: 10; 
Differentiation_of_T_lymphocytes,  89,  7,  8,  131, 0, 3, 439152, 12113.99, 181, 0.00, 0: 8; 1: 53; 2: 30; 3: 6; 
Differentiation_of_T_lymphocytes, 556,  7,  8,  131, 0, 3, 439227, 12113.99, 66, 0.00, 0: 8; 1: 54; 2: 28; 3: 7; 
Differentiation_of_T_lymphocytes, 793,  7,  8,  131, 0, 3, 439175, 12113.99, 184, 0.00, 0: 8; 1: 55; 2: 26; 3: 8; 
Differentiation_of_T_lymphocytes, 479,  6,  9,  131, 0, 3, 426067, 12113.99, 0, 0.00, 0: 8; 1: 56; 2: 24; 3: 9; 
Differentiation_of_T_lymphocytes, 477,  7,  8,  131, 0, 3, 439139, 12113.99, 86, 0.00, 0: 8; 1: 54; 2: 28; 3: 7; 
Differentiation_of_T_lymphocytes, 506,  8,  7,  132, 0, 3, 439187, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 29; 3: 7; 
Differentiation_of_T_lymphocytes,  30,  7,  8,  132, 0, 3, 439152, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 29; 3: 7; 
Differentiation_of_T_lymphocytes, 437,  7,  8,  132, 0, 3, 439165, 12113.99, 0, 0.00, 0: 8; 1: 55; 2: 25; 3: 9; 
Differentiation_of_T_lymphocytes,  93,  8,  7,  132, 0, 3, 439208, 12113.99, 86, 0.00, 0: 8; 1: 52; 2: 31; 3: 6; 
Differentiation_of_T_lymphocytes, 254,  7,  8,  132, 0, 3, 439168, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 31; 3: 6; 
Differentiation_of_T_lymphocytes,  38,  7,  8,  132, 0, 3, 439198, 12113.99, 0, 0.00, 0: 8; 1: 54; 2: 27; 3: 8; 
Differentiation_of_T_lymphocytes, 201,  8,  7,  133, 0, 3, 439198, 12113.99, 93, 0.00, 0: 8; 1: 55; 2: 24; 3: 10; 
Differentiation_of_T_lymphocytes, 369,  7,  8,  133, 0, 3, 439185, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 34; 3: 5; 
Differentiation_of_T_lymphocytes, 723,  9,  6,  133, 0, 3, 426032, 12113.99, 173, 0.00, 0: 8; 1: 55; 2: 24; 3: 10; 
Differentiation_of_T_lymphocytes, 716,  7,  8,  133, 0, 3, 439267, 12113.99, 14, 0.00, 0: 8; 1: 48; 2: 38; 3: 3; 
Differentiation_of_T_lymphocytes, 576,  8,  7,  133, 0, 3, 439194, 12113.99, 48, 0.00, 0: 8; 1: 52; 2: 30; 3: 7; 
Differentiation_of_T_lymphocytes, 598,  7,  8,  133, 0, 3, 439192, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 30; 3: 7; 
Differentiation_of_T_lymphocytes, 903,  6,  9,  134, 0, 3, 426105, 12113.99, 0, 0.00, 0: 8; 1: 55; 2: 23; 3: 11; 
Differentiation_of_T_lymphocytes, 894,  7,  8,  134, 0, 3, 439181, 12113.99, 255, 0.00, 0: 8; 1: 52; 2: 29; 3: 8; 
Differentiation_of_T_lymphocytes, 179,  8,  7,  134, 0, 3, 439184, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 33; 3: 6; 
Differentiation_of_T_lymphocytes, 785,  7,  8,  134, 0, 3, 439192, 12113.99, 176, 0.00, 0: 8; 1: 52; 2: 29; 3: 8; 
Differentiation_of_T_lymphocytes, 205,  8,  7,  134, 0, 3, 439378, 12113.99, 86, 0.00, 0: 8; 1: 53; 2: 27; 3: 9; 
Differentiation_of_T_lymphocytes, 231,  8,  7,  134, 0, 3, 439325, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 27; 3: 9; 
Differentiation_of_T_lymphocytes, 823,  7,  8,  134, 0, 3, 439178, 12113.99, 0, 0.00, 0: 8; 1: 54; 2: 25; 3: 10; 
Differentiation_of_T_lymphocytes, 270,  7,  8,  134, 0, 3, 439195, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 27; 3: 9; 
Differentiation_of_T_lymphocytes, 298,  6,  9,  134, 0, 3, 426084, 12113.99, 111, 0.00, 0: 8; 1: 55; 2: 23; 3: 11; 
Differentiation_of_T_lymphocytes, 400,  7,  8,  134, 0, 3, 439224, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 35; 3: 5; 
Differentiation_of_T_lymphocytes, 620,  8,  7,  134, 0, 3, 439150, 12113.99, 103, 0.00, 0: 8; 1: 52; 2: 29; 3: 8; 
Differentiation_of_T_lymphocytes, 617,  8,  7,  134, 0, 3, 439318, 12113.99, 73, 0.00, 0: 8; 1: 49; 2: 35; 3: 5; 
Differentiation_of_T_lymphocytes, 596,  8,  7,  134, 0, 3, 439176, 12113.99, 14, 0.00, 0: 8; 1: 51; 2: 31; 3: 7; 
Differentiation_of_T_lymphocytes, 836,  7,  8,  135, 0, 3, 439244, 12113.99, 14, 0.00, 0: 8; 1: 50; 2: 32; 3: 7; 
Differentiation_of_T_lymphocytes,  53,  8,  7,  135, 0, 3, 439121, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 28; 3: 9; 
Differentiation_of_T_lymphocytes, 563,  7,  8,  135, 0, 3, 439175, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 28; 3: 9; 
Differentiation_of_T_lymphocytes, 392,  7,  8,  135, 0, 3, 439205, 12113.99, 0, 0.00, 0: 8; 1: 54; 2: 24; 3: 11; 
Differentiation_of_T_lymphocytes, 587,  7,  8,  135, 0, 3, 439109, 12113.99, 173, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 774,  8,  7,  135, 0, 3, 439229, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 26; 3: 10; 
Differentiation_of_T_lymphocytes, 454,  8,  7,  135, 0, 3, 439192, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 30; 3: 8; 
Differentiation_of_T_lymphocytes, 328,  8,  7,  135, 0, 3, 439229, 12113.99, 32, 0.00, 0: 8; 1: 51; 2: 30; 3: 8; 
Differentiation_of_T_lymphocytes, 347,  8,  7,  135, 0, 3, 439239, 12113.99, 173, 0.00, 0: 8; 1: 51; 2: 30; 3: 8; 
Differentiation_of_T_lymphocytes, 724,  8,  7,  135, 0, 3, 439148, 12113.99, 14, 0.00, 0: 8; 1: 53; 2: 26; 3: 10; 
Differentiation_of_T_lymphocytes, 787,  7,  8,  135, 0, 3, 439197, 12113.99, 173, 0.00, 0: 8; 1: 53; 2: 26; 3: 10; 
Differentiation_of_T_lymphocytes,  94,  8,  7,  136, 0, 3, 439129, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 31; 3: 8; 
Differentiation_of_T_lymphocytes, 486,  9,  6,  136, 0, 3, 426067, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 27; 3: 10; 
Differentiation_of_T_lymphocytes, 772,  7,  8,  136, 0, 3, 439197, 12113.99, 14, 0.00, 0: 8; 1: 51; 2: 29; 3: 9; 
Differentiation_of_T_lymphocytes,  37,  8,  7,  136, 0, 3, 439379, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 29; 3: 9; 
Differentiation_of_T_lymphocytes,  92,  9,  6,  136, 0, 3, 426080, 12113.99, 14, 0.00, 0: 8; 1: 52; 2: 27; 3: 10; 
Differentiation_of_T_lymphocytes, 169,  7,  8,  136, 0, 3, 439234, 12113.99, 68, 0.00, 0: 8; 1: 50; 2: 31; 3: 8; 
Differentiation_of_T_lymphocytes, 372,  8,  7,  136, 0, 3, 438934, 12113.99, 9, 0.00, 0: 8; 1: 48; 2: 35; 3: 6; 
Differentiation_of_T_lymphocytes, 637,  7,  8,  136, 0, 3, 439203, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 29; 3: 9; 
Differentiation_of_T_lymphocytes, 916,  8,  7,  136, 0, 3, 439191, 12113.99, 14, 0.00, 0: 8; 1: 51; 2: 29; 3: 9; 
Differentiation_of_T_lymphocytes, 694,  7,  8,  136, 0, 3, 439161, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 31; 3: 8; 
Differentiation_of_T_lymphocytes, 470,  8,  7,  136, 0, 3, 439322, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 29; 3: 9; 
Differentiation_of_T_lymphocytes,  36,  7,  8,  136, 0, 3, 439226, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 29; 3: 9; 
Differentiation_of_T_lymphocytes, 981,  7,  8,  136, 0, 3, 439259, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 29; 3: 9; 
Differentiation_of_T_lymphocytes, 232,  8,  7,  136, 0, 3, 439230, 12113.99, 32, 0.00, 0: 8; 1: 54; 2: 23; 3: 12; 
Differentiation_of_T_lymphocytes, 175,  8,  7,  137, 0, 3, 439265, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 24; 3: 12; 
Differentiation_of_T_lymphocytes, 720,  7,  8,  137, 0, 3, 439165, 12113.99, 192, 0.00, 0: 8; 1: 51; 2: 28; 3: 10; 
Differentiation_of_T_lymphocytes, 739,  9,  6,  137, 0, 3, 426068, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 515,  6,  9,  137, 0, 3, 426076, 12113.99, 173, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 931,  7,  8,  137, 0, 3, 439257, 12113.99, 0, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 504,  7,  8,  137, 0, 3, 439213, 12113.99, 0, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 686,  6,  9,  137, 0, 3, 426022, 12113.99, 32, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 500,  8,  7,  137, 0, 3, 439173, 12113.99, 36, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 460,  8,  7,  137, 0, 3, 439199, 12113.99, 14, 0.00, 0: 8; 1: 53; 2: 24; 3: 12; 
Differentiation_of_T_lymphocytes, 807,  9,  6,  137, 0, 3, 426081, 12113.99, 0, 0.00, 0: 8; 1: 52; 2: 26; 3: 11; 
Differentiation_of_T_lymphocytes, 727,  9,  6,  137, 0, 3, 426048, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 28; 3: 10; 
Differentiation_of_T_lymphocytes, 490,  7,  8,  137, 0, 3, 439218, 12113.99, 70, 0.00, 0: 8; 1: 49; 2: 32; 3: 8; 
Differentiation_of_T_lymphocytes, 140,  8,  7,  137, 0, 3, 439130, 12113.99, 14, 0.00, 0: 8; 1: 52; 2: 26; 3: 11; 
Differentiation_of_T_lymphocytes, 436,  7,  8,  137, 0, 3, 439273, 12113.99, 4, 0.00, 0: 8; 1: 51; 2: 28; 3: 10; 
Differentiation_of_T_lymphocytes, 426,  6,  9,  137, 0, 3, 426046, 12113.99, 122, 0.00, 0: 8; 1: 52; 2: 26; 3: 11; 
Differentiation_of_T_lymphocytes, 195,  7,  8,  137, 0, 3, 439081, 12113.99, 172, 0.00, 0: 8; 1: 50; 2: 30; 3: 9; 
Differentiation_of_T_lymphocytes, 350,  6,  9,  137, 0, 3, 426113, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 28; 3: 10; 
Differentiation_of_T_lymphocytes, 977,  8,  7,  137, 0, 3, 439245, 12113.99, 0, 0.00, 0: 8; 1: 53; 2: 24; 3: 12; 
Differentiation_of_T_lymphocytes, 266,  7,  8,  137, 0, 3, 439124, 12113.99, 181, 0.00, 0: 8; 1: 52; 2: 26; 3: 11; 
Differentiation_of_T_lymphocytes, 326,  9,  6,  137, 0, 3, 426083, 12113.99, 0, 0.00, 0: 8; 1: 51; 2: 28; 3: 10; 
