Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
3(148)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 775, 12,  9,  336, 1, 3, 865794, 26664.03, 0, 0.00, 1: 133; 2: 79; 3: 15; 
EGFR_&_ErbB_Signaling, 775, 12,  9,  336, 1, 3, 865794, 26664.03, 0, 0.00, 1: 133; 2: 79; 3: 15; 
EGFR_&_ErbB_Signaling, 287,  7, 17,  337, 1, 3, 940431, 26664.03, 0, 0.00, 1: 127; 2: 90; 3: 10; 
EGFR_&_ErbB_Signaling,   0,  7, 16,  338, 1, 3, 891135, 26664.03, 144, 0.00, 1: 135; 2: 73; 3: 19; 
EGFR_&_ErbB_Signaling, 143,  7, 16,  338, 1, 3, 891136, 26664.03, 0, 0.00, 1: 130; 2: 83; 3: 14; 
EGFR_&_ErbB_Signaling, 989,  7, 16,  338, 1, 3, 890988, 26664.03, 0, 0.00, 1: 137; 2: 69; 3: 21; 
EGFR_&_ErbB_Signaling, 960,  9, 12,  339, 1, 3, 865863, 26664.03, 47, 0.00, 1: 127; 2: 88; 3: 12; 
EGFR_&_ErbB_Signaling, 190,  8, 14,  339, 1, 3, 891018, 26664.03, 0, 0.00, 1: 131; 2: 80; 3: 16; 
EGFR_&_ErbB_Signaling,  10,  7, 17,  339, 1, 3, 940544, 26664.03, 40, 0.00, 1: 135; 2: 72; 3: 20; 
EGFR_&_ErbB_Signaling,  72, 12,  9,  339, 1, 3, 865727, 26664.03, 6, 0.00, 1: 129; 2: 84; 3: 14; 
EGFR_&_ErbB_Signaling,  38,  8, 14,  339, 1, 3, 890976, 26664.03, 0, 0.00, 1: 131; 2: 80; 3: 16; 
EGFR_&_ErbB_Signaling, 447,  7, 16,  340, 1, 3, 890963, 26664.03, 0, 0.00, 1: 128; 2: 85; 3: 14; 
EGFR_&_ErbB_Signaling, 451,  7, 17,  340, 1, 3, 940724, 26664.03, 0, 0.00, 1: 133; 2: 75; 3: 19; 
EGFR_&_ErbB_Signaling, 388,  7, 16,  340, 1, 3, 891024, 26664.03, 9, 0.00, 1: 127; 2: 87; 3: 13; 
EGFR_&_ErbB_Signaling, 810,  9, 12,  340, 1, 3, 865817, 26664.03, 0, 0.00, 1: 128; 2: 85; 3: 14; 
EGFR_&_ErbB_Signaling,  93,  7, 16,  340, 1, 3, 891052, 26664.03, 0, 0.00, 1: 128; 2: 85; 3: 14; 
EGFR_&_ErbB_Signaling, 132,  7, 17,  340, 1, 3, 940647, 26664.03, 22, 0.00, 1: 130; 2: 81; 3: 16; 
EGFR_&_ErbB_Signaling, 189,  6, 20,  340, 1, 3, 947940, 26664.03, 0, 0.00, 1: 135; 2: 71; 3: 21; 
EGFR_&_ErbB_Signaling,  37,  7, 16,  341, 1, 3, 891009, 26664.03, 0, 0.00, 1: 127; 2: 86; 3: 14; 
EGFR_&_ErbB_Signaling,  88,  7, 16,  341, 1, 3, 891141, 26664.03, 6, 0.00, 1: 132; 2: 76; 3: 19; 
EGFR_&_ErbB_Signaling,  43,  8, 14,  341, 1, 3, 891211, 26664.03, 0, 0.00, 1: 132; 2: 76; 3: 19; 
EGFR_&_ErbB_Signaling, 652,  8, 13,  341, 1, 3, 830180, 26664.03, 89, 0.00, 1: 125; 2: 90; 3: 12; 
EGFR_&_ErbB_Signaling, 144,  8, 14,  341, 1, 3, 890994, 26664.03, 7, 0.00, 1: 132; 2: 76; 3: 19; 
EGFR_&_ErbB_Signaling, 180,  7, 16,  341, 1, 3, 891052, 26664.03, 3, 0.00, 1: 128; 2: 84; 3: 15; 
EGFR_&_ErbB_Signaling, 208,  8, 14,  341, 1, 3, 891150, 26664.03, 14, 0.00, 1: 127; 2: 86; 3: 14; 
