Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(300)
Melhor resultado nxn: EGFR_&_ErbB_Signaling,  12,  8, 14,  495, 1, 4, 891073, 27200.04, 161, 0.00, 1: 77; 2: 66; 3: 50; 4: 34; 
EGFR_&_ErbB_Signaling,  12,  8, 14,  495, 1, 4, 891073, 27200.04, 161, 0.00, 1: 77; 2: 66; 3: 50; 4: 34; 
EGFR_&_ErbB_Signaling, 825,  8, 14,  498, 1, 4, 891038, 27200.04, 0, 0.00, 1: 74; 2: 68; 3: 52; 4: 33; 
EGFR_&_ErbB_Signaling, 754,  7, 17,  501, 1, 4, 940477, 27200.04, 0, 0.00, 1: 72; 2: 69; 3: 53; 4: 33; 
EGFR_&_ErbB_Signaling, 832,  8, 14,  504, 1, 4, 891054, 27200.04, 37, 0.00, 1: 81; 2: 51; 3: 59; 4: 36; 
EGFR_&_ErbB_Signaling, 744,  9, 12,  505, 1, 4, 865794, 27200.04, 32, 0.00, 1: 76; 2: 60; 3: 55; 4: 36; 
EGFR_&_ErbB_Signaling, 208,  8, 14,  505, 1, 4, 891036, 27200.04, 14, 0.00, 1: 77; 2: 61; 3: 50; 4: 39; 
EGFR_&_ErbB_Signaling, 414,  7, 17,  505, 1, 4, 940471, 27200.04, 0, 0.00, 1: 73; 2: 69; 3: 46; 4: 39; 
EGFR_&_ErbB_Signaling, 797,  7, 16,  507, 1, 4, 891047, 27200.04, 0, 0.00, 1: 69; 2: 71; 3: 52; 4: 35; 
EGFR_&_ErbB_Signaling,  18, 10, 11,  507, 1, 4, 879061, 27200.04, 126, 0.00, 1: 72; 2: 68; 3: 49; 4: 38; 
EGFR_&_ErbB_Signaling, 862,  7, 16,  507, 1, 4, 891072, 27200.04, 0, 0.00, 1: 70; 2: 71; 3: 49; 4: 37; 
EGFR_&_ErbB_Signaling, 435,  7, 17,  508, 1, 4, 940507, 27200.04, 0, 0.00, 1: 71; 2: 66; 3: 55; 4: 35; 
EGFR_&_ErbB_Signaling, 937,  8, 14,  509, 1, 4, 891078, 27200.04, 0, 0.00, 1: 70; 2: 64; 3: 61; 4: 32; 
EGFR_&_ErbB_Signaling, 164,  9, 12,  509, 1, 4, 865784, 27200.04, 18, 0.00, 1: 73; 2: 59; 3: 62; 4: 33; 
EGFR_&_ErbB_Signaling, 561, 12,  9,  509, 1, 4, 865775, 27200.04, 0, 0.00, 1: 72; 2: 61; 3: 61; 4: 33; 
EGFR_&_ErbB_Signaling, 190,  8, 14,  509, 1, 4, 891093, 27200.04, 0, 0.00, 1: 68; 2: 69; 3: 57; 4: 33; 
EGFR_&_ErbB_Signaling, 467,  9, 12,  509, 1, 4, 865776, 27200.04, 0, 0.00, 1: 70; 2: 68; 3: 53; 4: 36; 
EGFR_&_ErbB_Signaling, 692,  9, 12,  510, 1, 4, 865801, 27200.04, 24, 0.00, 1: 76; 2: 55; 3: 60; 4: 36; 
EGFR_&_ErbB_Signaling, 317,  8, 13,  511, 1, 4, 830180, 27200.04, 0, 0.00, 1: 75; 2: 60; 3: 52; 4: 40; 
EGFR_&_ErbB_Signaling, 422, 12,  9,  511, 1, 4, 865805, 27200.04, 0, 0.00, 1: 70; 2: 64; 3: 59; 4: 34; 
EGFR_&_ErbB_Signaling,  51,  8, 14,  511, 1, 4, 891089, 27200.04, 0, 0.00, 1: 67; 2: 72; 3: 52; 4: 36; 
EGFR_&_ErbB_Signaling, 529,  8, 14,  511, 1, 4, 891015, 27200.04, 0, 0.00, 1: 74; 2: 61; 3: 53; 4: 39; 
EGFR_&_ErbB_Signaling, 652,  8, 13,  512, 1, 4, 830180, 27200.04, 89, 0.00, 1: 71; 2: 64; 3: 55; 4: 37; 
EGFR_&_ErbB_Signaling,  64,  7, 16,  512, 1, 4, 891042, 27200.04, 6, 0.00, 1: 71; 2: 61; 3: 61; 4: 34; 
EGFR_&_ErbB_Signaling, 964,  7, 15,  512, 1, 4, 840840, 27200.04, 63, 0.00, 1: 67; 2: 73; 3: 49; 4: 38; 
EGFR_&_ErbB_Signaling, 738, 12,  9,  512, 1, 4, 865758, 27200.04, 0, 0.00, 1: 71; 2: 63; 3: 57; 4: 36; 
EGFR_&_ErbB_Signaling, 391,  7, 16,  512, 1, 4, 891052, 27200.04, 0, 0.00, 1: 78; 2: 56; 3: 50; 4: 43; 
EGFR_&_ErbB_Signaling, 576,  7, 16,  512, 1, 4, 890994, 27200.04, 26, 0.00, 1: 74; 2: 61; 3: 52; 4: 40; 
EGFR_&_ErbB_Signaling, 333, 10, 11,  513, 1, 4, 879019, 27200.04, 0, 0.00, 1: 72; 2: 67; 3: 45; 4: 43; 
EGFR_&_ErbB_Signaling, 777,  8, 14,  513, 1, 4, 891007, 27200.04, 0, 0.00, 1: 69; 2: 66; 3: 56; 4: 36; 
EGFR_&_ErbB_Signaling, 401,  7, 17,  513, 1, 4, 940507, 27200.04, 0, 0.00, 1: 71; 2: 64; 3: 54; 4: 38; 
EGFR_&_ErbB_Signaling, 509,  7, 17,  513, 1, 4, 940503, 27200.04, 0, 0.00, 1: 71; 2: 65; 3: 52; 4: 39; 
EGFR_&_ErbB_Signaling, 225, 10, 11,  513, 1, 4, 879004, 27200.04, 0, 0.00, 1: 76; 2: 56; 3: 55; 4: 40; 
EGFR_&_ErbB_Signaling, 811,  9, 12,  513, 1, 4, 865777, 27200.04, 0, 0.00, 1: 72; 2: 60; 3: 59; 4: 36; 
EGFR_&_ErbB_Signaling, 630,  8, 14,  513, 1, 4, 891005, 27200.04, 0, 0.00, 1: 67; 2: 72; 3: 50; 4: 38; 
EGFR_&_ErbB_Signaling, 534, 12,  9,  514, 1, 4, 865839, 27200.04, 0, 0.00, 1: 65; 2: 73; 3: 53; 4: 36; 
EGFR_&_ErbB_Signaling,  33, 11, 10,  514, 1, 4, 879050, 27200.04, 0, 0.00, 1: 73; 2: 64; 3: 47; 4: 43; 
EGFR_&_ErbB_Signaling, 141,  9, 12,  514, 1, 4, 865803, 27200.04, 0, 0.00, 1: 75; 2: 58; 3: 53; 4: 41; 
EGFR_&_ErbB_Signaling, 346, 10, 11,  515, 1, 4, 879039, 27200.04, 0, 0.00, 1: 67; 2: 65; 3: 62; 4: 33; 
EGFR_&_ErbB_Signaling, 531,  7, 15,  515, 1, 4, 840840, 27200.04, 0, 0.00, 1: 71; 2: 68; 3: 44; 4: 44; 
EGFR_&_ErbB_Signaling, 158,  8, 14,  516, 1, 4, 891026, 27200.04, 0, 0.00, 1: 64; 2: 73; 3: 54; 4: 36; 
EGFR_&_ErbB_Signaling, 627,  8, 14,  517, 1, 4, 891049, 27200.04, 0, 0.00, 1: 69; 2: 66; 3: 52; 4: 40; 
EGFR_&_ErbB_Signaling, 156,  7, 16,  517, 1, 4, 891056, 27200.04, 74, 0.00, 1: 66; 2: 69; 3: 55; 4: 37; 
EGFR_&_ErbB_Signaling, 795,  9, 12,  517, 1, 4, 865766, 27200.04, 0, 0.00, 1: 73; 2: 58; 3: 56; 4: 40; 
EGFR_&_ErbB_Signaling, 838, 12,  9,  517, 1, 4, 865776, 27200.04, 0, 0.00, 1: 72; 2: 56; 3: 63; 4: 36; 
EGFR_&_ErbB_Signaling, 966, 11, 10,  517, 1, 4, 879064, 27200.04, 0, 0.00, 1: 67; 2: 67; 3: 56; 4: 37; 
EGFR_&_ErbB_Signaling, 517, 10, 11,  517, 1, 4, 879074, 27200.04, 0, 0.00, 1: 66; 2: 69; 3: 55; 4: 37; 
EGFR_&_ErbB_Signaling, 794, 11, 10,  518, 1, 4, 879016, 27200.04, 0, 0.00, 1: 72; 2: 60; 3: 54; 4: 41; 
EGFR_&_ErbB_Signaling, 974, 12,  9,  518, 1, 4, 865790, 27200.04, 0, 0.00, 1: 73; 2: 55; 3: 61; 4: 38; 
EGFR_&_ErbB_Signaling, 466, 10, 11,  518, 1, 4, 879067, 27200.04, 0, 0.00, 1: 79; 2: 51; 3: 51; 4: 46; 
EGFR_&_ErbB_Signaling, 690, 11, 10,  518, 1, 4, 878999, 27200.04, 0, 0.00, 1: 69; 2: 66; 3: 51; 4: 41; 
EGFR_&_ErbB_Signaling, 407, 12,  9,  518, 1, 4, 865797, 27200.04, 0, 0.00, 1: 72; 2: 55; 3: 64; 4: 36; 
