Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
23(611)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 559,  9,  9,  170, 1, 3, 639198, 17907.34, 0, 0.00, 1: 55; 2: 38; 3: 13; 
Glucose_Repression_Signaling_2009, 267, 10,  8,  168, 1, 3, 633944, 17907.34, 0, 0.00, 1: 56; 2: 38; 3: 12; 
Glucose_Repression_Signaling_2009, 779,  8, 10,  169, 1, 3, 633940, 17907.34, 0, 0.00, 1: 58; 2: 33; 3: 15; 
Glucose_Repression_Signaling_2009, 559,  9,  9,  170, 1, 3, 639198, 17907.34, 0, 0.00, 1: 55; 2: 38; 3: 13; 
Glucose_Repression_Signaling_2009,  77,  9,  9,  170, 1, 3, 639198, 17907.34, 0, 0.00, 1: 60; 2: 28; 3: 18; 
Glucose_Repression_Signaling_2009, 767,  8, 10,  171, 1, 3, 634074, 17907.34, 0, 0.00, 1: 53; 2: 41; 3: 12; 
Glucose_Repression_Signaling_2009, 377, 11,  7,  171, 1, 3, 613186, 17907.34, 0, 0.00, 1: 58; 2: 31; 3: 17; 
Glucose_Repression_Signaling_2009, 923, 10,  8,  172, 1, 3, 634097, 17907.34, 197, 0.00, 1: 53; 2: 40; 3: 13; 
Glucose_Repression_Signaling_2009, 908,  9,  9,  172, 1, 3, 639206, 17907.34, 211, 0.00, 1: 52; 2: 42; 3: 12; 
Glucose_Repression_Signaling_2009, 628,  8, 10,  172, 1, 3, 634061, 17907.34, 0, 0.00, 1: 52; 2: 42; 3: 12; 
Glucose_Repression_Signaling_2009, 800,  9,  9,  172, 1, 3, 639120, 17907.34, 6, 0.00, 1: 53; 2: 40; 3: 13; 
Glucose_Repression_Signaling_2009, 375,  9,  9,  172, 1, 3, 639152, 17907.34, 0, 0.00, 1: 53; 2: 40; 3: 13; 
Glucose_Repression_Signaling_2009, 638,  9,  9,  172, 1, 3, 639046, 17907.34, 0, 0.00, 1: 56; 2: 34; 3: 16; 
Glucose_Repression_Signaling_2009, 554,  9,  9,  173, 1, 3, 639157, 17907.34, 65, 0.00, 1: 56; 2: 33; 3: 17; 
Glucose_Repression_Signaling_2009,  37,  8, 10,  173, 1, 3, 634097, 17907.34, 0, 0.00, 1: 56; 2: 33; 3: 17; 
Glucose_Repression_Signaling_2009, 898,  8, 10,  173, 1, 3, 634027, 17907.34, 97, 0.00, 1: 55; 2: 35; 3: 16; 
Glucose_Repression_Signaling_2009, 222, 10,  8,  173, 1, 3, 634011, 17907.34, 0, 0.00, 1: 55; 2: 35; 3: 16; 
Glucose_Repression_Signaling_2009, 951, 11,  7,  174, 1, 3, 613168, 17907.34, 0, 0.00, 1: 53; 2: 38; 3: 15; 
Glucose_Repression_Signaling_2009, 379,  7, 11,  174, 1, 3, 613183, 17907.34, 0, 0.00, 1: 56; 2: 32; 3: 18; 
Glucose_Repression_Signaling_2009, 384,  7, 12,  174, 1, 3, 658659, 17907.34, 0, 0.00, 1: 56; 2: 32; 3: 18; 
Glucose_Repression_Signaling_2009, 687,  7, 12,  174, 1, 3, 658626, 17907.34, 0, 0.00, 1: 55; 2: 34; 3: 17; 
Glucose_Repression_Signaling_2009,  58, 10,  8,  174, 1, 3, 634062, 17907.34, 0, 0.00, 1: 57; 2: 30; 3: 19; 
Glucose_Repression_Signaling_2009,  89,  9,  9,  174, 1, 3, 639283, 17907.34, 184, 0.00, 1: 52; 2: 40; 3: 14; 
Glucose_Repression_Signaling_2009,  54,  7, 12,  174, 1, 3, 658670, 17907.34, 0, 0.00, 1: 57; 2: 30; 3: 19; 
