Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
03(801)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 336,  7,  7,  125, 1, 3, 383569, 12185.27, 176, 0.00, 1: 43; 2: 23; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 336,  7,  7,  125, 1, 3, 383569, 12185.27, 176, 0.00, 1: 43; 2: 23; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 718,  8,  6,  125, 1, 3, 377024, 12185.27, 0, 0.00, 1: 43; 2: 23; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 245,  6,  8,  126, 1, 3, 377009, 12185.27, 0, 0.00, 1: 43; 2: 22; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 964,  7,  7,  126, 1, 3, 383601, 12185.27, 53, 0.00, 1: 42; 2: 24; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 253,  8,  6,  127, 1, 3, 377025, 12185.27, 0, 0.00, 1: 41; 2: 25; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 254,  7,  7,  127, 1, 3, 383656, 12185.27, 0, 0.00, 1: 44; 2: 19; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 150,  6,  8,  127, 1, 3, 376947, 12185.27, 0, 0.00, 1: 44; 2: 19; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 533,  6,  8,  127, 1, 3, 376971, 12185.27, 86, 0.00, 1: 41; 2: 25; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 115,  7,  7,  127, 1, 3, 383645, 12185.27, 0, 0.00, 1: 43; 2: 21; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 903,  8,  6,  128, 1, 3, 376973, 12185.27, 0, 0.00, 1: 43; 2: 20; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 239,  8,  6,  128, 1, 3, 376995, 12185.27, 0, 0.00, 1: 37; 2: 32; 3: 9; 
Guard_Cell_Abscisic_Acid_Signaling, 243,  7,  7,  128, 1, 3, 383617, 12185.27, 0, 0.00, 1: 42; 2: 22; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 104,  7,  7,  128, 1, 3, 383542, 12185.27, 32, 0.00, 1: 39; 2: 28; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 729,  8,  6,  128, 1, 3, 376982, 12185.27, 177, 0.00, 1: 43; 2: 20; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 598,  8,  6,  128, 1, 3, 376976, 12185.27, 0, 0.00, 1: 41; 2: 24; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 201,  8,  6,  128, 1, 3, 376990, 12185.27, 167, 0.00, 1: 39; 2: 28; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 186,  7,  7,  128, 1, 3, 383585, 12185.27, 0, 0.00, 1: 39; 2: 28; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 453,  6,  8,  128, 1, 3, 377003, 12185.27, 86, 0.00, 1: 41; 2: 24; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 408,  7,  7,  128, 1, 3, 383631, 12185.27, 88, 0.00, 1: 42; 2: 22; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 410,  8,  6,  128, 1, 3, 376943, 12185.27, 185, 0.00, 1: 40; 2: 26; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 890,  8,  6,  128, 1, 3, 377024, 12185.27, 0, 0.00, 1: 41; 2: 24; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 744,  6,  8,  129, 1, 3, 376986, 12185.27, 32, 0.00, 1: 43; 2: 19; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 592,  6,  8,  129, 1, 3, 377007, 12185.27, 32, 0.00, 1: 37; 2: 31; 3: 10; 
Guard_Cell_Abscisic_Acid_Signaling,  40,  6,  8,  129, 1, 3, 377005, 12185.27, 32, 0.00, 1: 40; 2: 25; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 267,  8,  6,  129, 1, 3, 377000, 12185.27, 14, 0.00, 1: 39; 2: 27; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 353,  5,  9,  129, 1, 3, 355410, 12185.27, 0, 0.00, 1: 40; 2: 25; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 820,  7,  7,  129, 1, 3, 383643, 12185.27, 42, 0.00, 1: 40; 2: 25; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling,   7,  7,  7,  129, 1, 3, 383603, 12185.27, 0, 0.00, 1: 40; 2: 25; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 377,  7,  7,  129, 1, 3, 383626, 12185.27, 0, 0.00, 1: 39; 2: 27; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 221,  8,  6,  129, 1, 3, 376988, 12185.27, 86, 0.00, 1: 43; 2: 19; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 875,  6,  8,  129, 1, 3, 376949, 12185.27, 112, 0.00, 1: 39; 2: 27; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 519,  6,  8,  129, 1, 3, 377031, 12185.27, 0, 0.00, 1: 38; 2: 29; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 959,  5,  9,  129, 1, 3, 355410, 12185.27, 0, 0.00, 1: 41; 2: 23; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 431,  7,  7,  129, 1, 3, 383666, 12185.27, 77, 0.00, 1: 41; 2: 23; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 913,  7,  7,  130, 1, 3, 383631, 12185.27, 109, 0.00, 1: 42; 2: 20; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 795,  6,  8,  130, 1, 3, 377013, 12185.27, 14, 0.00, 1: 40; 2: 24; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 207,  7,  7,  130, 1, 3, 383605, 12185.27, 0, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 872,  5, 10,  130, 1, 3, 390874, 12185.27, 32, 0.00, 1: 41; 2: 22; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 944,  8,  6,  130, 1, 3, 376981, 12185.27, 11, 0.00, 1: 39; 2: 26; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 393,  6,  8,  130, 1, 3, 376996, 12185.27, 168, 0.00, 1: 40; 2: 24; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 475,  5, 10,  130, 1, 3, 390839, 12185.27, 14, 0.00, 1: 37; 2: 30; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 545,  7,  7,  130, 1, 3, 383615, 12185.27, 0, 0.00, 1: 38; 2: 28; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 685,  8,  6,  130, 1, 3, 376999, 12185.27, 99, 0.00, 1: 37; 2: 30; 3: 11; 
Guard_Cell_Abscisic_Acid_Signaling, 383,  5, 10,  130, 1, 3, 390818, 12185.27, 0, 0.00, 1: 41; 2: 22; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 326,  6,  8,  130, 1, 3, 376904, 12185.27, 0, 0.00, 1: 41; 2: 22; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling,  76,  6,  8,  131, 1, 3, 376969, 12185.27, 53, 0.00, 1: 41; 2: 21; 3: 16; 
Guard_Cell_Abscisic_Acid_Signaling, 619,  5,  9,  131, 1, 3, 355410, 12185.27, 50, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 463,  7,  7,  131, 1, 3, 383625, 12185.27, 0, 0.00, 1: 37; 2: 29; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling,  74,  5, 10,  131, 1, 3, 390669, 12185.27, 185, 0.00, 1: 40; 2: 23; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 403,  8,  6,  131, 1, 3, 376965, 12185.27, 14, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 628,  8,  6,  131, 1, 3, 377000, 12185.27, 0, 0.00, 1: 37; 2: 29; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 470,  6,  8,  131, 1, 3, 376899, 12185.27, 0, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 662,  6,  8,  131, 1, 3, 376990, 12185.27, 0, 0.00, 1: 39; 2: 25; 3: 14; 
Guard_Cell_Abscisic_Acid_Signaling, 898,  6,  8,  131, 1, 3, 377025, 12185.27, 24, 0.00, 1: 40; 2: 23; 3: 15; 
Guard_Cell_Abscisic_Acid_Signaling, 473,  7,  7,  131, 1, 3, 383593, 12185.27, 176, 0.00, 1: 38; 2: 27; 3: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 139,  6,  8,  131, 1, 3, 376962, 12185.27, 14, 0.00, 1: 39; 2: 25; 3: 14; 
