Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
03(279)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 609, 10, 10,  186, 1, 3, 796171, 20046.63, 0, 0.00, 1: 116; 2: 32; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 609, 10, 10,  186, 1, 3, 796171, 20046.63, 0, 0.00, 1: 116; 2: 32; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 427, 11,  9,  186, 1, 3, 786114, 20046.63, 0, 0.00, 1: 117; 2: 30; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 766, 11,  9,  186, 1, 3, 785974, 20046.63, 0, 0.00, 1: 118; 2: 28; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 112, 11,  9,  186, 1, 3, 786183, 20046.63, 15, 0.00, 1: 117; 2: 30; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 396, 10, 10,  187, 1, 3, 796021, 20046.63, 58, 0.00, 1: 117; 2: 29; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 937,  9, 11,  187, 1, 3, 786225, 20046.63, 0, 0.00, 1: 119; 2: 25; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 912,  8, 12,  187, 1, 3, 764420, 20046.63, 85, 0.00, 1: 115; 2: 33; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 535,  9, 11,  187, 1, 3, 786167, 20046.63, 0, 0.00, 1: 115; 2: 33; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 471,  8, 12,  187, 1, 3, 764547, 20046.63, 0, 0.00, 1: 118; 2: 27; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 111, 10, 10,  187, 1, 3, 796195, 20046.63, 0, 0.00, 1: 116; 2: 31; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 806, 10, 10,  187, 1, 3, 796184, 20046.63, 0, 0.00, 1: 118; 2: 27; 3: 5; 
