Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
13(156)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 465, 10, 10,  190, 1, 3, 796130, 24388.44, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 438, 12,  8,  189, 1, 3, 764380, 24388.44, 0, 0.00, 1: 114; 2: 33; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 465, 10, 10,  190, 1, 3, 796130, 24388.44, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 974, 10, 10,  190, 1, 3, 795925, 24388.44, 0, 0.00, 1: 113; 2: 34; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 887,  8, 12,  191, 1, 3, 764384, 24388.44, 0, 0.00, 1: 116; 2: 27; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 666, 12,  8,  191, 1, 3, 764313, 24388.44, 0, 0.00, 1: 118; 2: 23; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 508, 11,  9,  192, 1, 3, 786396, 24388.44, 3, 0.00, 1: 112; 2: 34; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 996, 11,  9,  193, 1, 3, 786161, 24388.44, 6, 0.00, 1: 114; 2: 29; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 253,  9, 11,  193, 1, 3, 785943, 24388.44, 0, 0.00, 1: 115; 2: 27; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 790,  9, 11,  193, 1, 3, 785943, 24388.44, 0, 0.00, 1: 114; 2: 29; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 617,  8, 12,  193, 1, 3, 764389, 24388.44, 0, 0.00, 1: 114; 2: 29; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 510, 10, 10,  194, 1, 3, 795808, 24388.44, 0, 0.00, 1: 110; 2: 36; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 726, 10, 10,  194, 1, 3, 796056, 24388.44, 0, 0.00, 1: 111; 2: 34; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 506, 11,  9,  194, 1, 3, 786338, 24388.44, 0, 0.00, 1: 108; 2: 40; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 710,  8, 12,  194, 1, 3, 764384, 24388.44, 0, 0.00, 1: 111; 2: 34; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 413, 10, 10,  194, 1, 3, 795950, 24388.44, 0, 0.00, 1: 114; 2: 28; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 123, 10, 10,  194, 1, 3, 795890, 24388.44, 0, 0.00, 1: 113; 2: 30; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 176, 10, 10,  195, 1, 3, 795923, 24388.44, 23, 0.00, 1: 114; 2: 27; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 820, 12,  8,  195, 1, 3, 764363, 24388.44, 71, 0.00, 1: 110; 2: 35; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   2,  7, 15,  195, 1, 3, 826882, 24388.44, 106, 0.00, 1: 114; 2: 27; 3: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  79, 12,  8,  195, 1, 3, 764351, 24388.44, 0, 0.00, 1: 111; 2: 33; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 764,  9, 11,  195, 1, 3, 786102, 24388.44, 56, 0.00, 1: 113; 2: 29; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 724, 10, 10,  195, 1, 3, 795933, 24388.44, 64, 0.00, 1: 112; 2: 31; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 396, 10, 10,  195, 1, 3, 795943, 24388.44, 58, 0.00, 1: 111; 2: 33; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 452,  9, 11,  195, 1, 3, 785922, 24388.44, 34, 0.00, 1: 112; 2: 31; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 635, 12,  8,  195, 1, 3, 764481, 24388.44, 0, 0.00, 1: 113; 2: 29; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   9, 10, 10,  195, 1, 3, 795779, 24388.44, 0, 0.00, 1: 112; 2: 31; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 152, 11,  9,  195, 1, 3, 786051, 24388.44, 22, 0.00, 1: 110; 2: 35; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 551, 10, 10,  195, 1, 3, 796024, 24388.44, 0, 0.00, 1: 110; 2: 35; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 175, 12,  8,  195, 1, 3, 764341, 24388.44, 0, 0.00, 1: 113; 2: 29; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 423,  8, 12,  195, 1, 3, 764394, 24388.44, 0, 0.00, 1: 112; 2: 31; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 172, 10, 10,  196, 1, 3, 795971, 24388.44, 23, 0.00, 1: 111; 2: 32; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 727, 10, 10,  196, 1, 3, 796009, 24388.44, 0, 0.00, 1: 111; 2: 32; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 836,  9, 11,  196, 1, 3, 786151, 24388.44, 5, 0.00, 1: 112; 2: 30; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 803,  9, 11,  196, 1, 3, 786025, 24388.44, 0, 0.00, 1: 110; 2: 34; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 445,  7, 14,  196, 1, 3, 780782, 24388.44, 0, 0.00, 1: 111; 2: 32; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 198, 10, 10,  196, 1, 3, 796042, 24388.44, 0, 0.00, 1: 111; 2: 32; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 333,  8, 12,  196, 1, 3, 764287, 24388.44, 0, 0.00, 1: 112; 2: 30; 3: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  83, 10, 10,  196, 1, 3, 795933, 24388.44, 0, 0.00, 1: 109; 2: 36; 3: 5; 
