Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
24(811)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia,  72, 10, 10,  234, 0, 4, 796101, 25006.03, 12, 0.00, 0: 25; 1: 57; 2: 38; 3: 19; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 148,  9, 11,  234, 0, 4, 786096, 25006.03, 63, 0.00, 0: 25; 1: 58; 2: 37; 3: 18; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 101,  9, 11,  234, 0, 4, 786046, 25006.03, 0, 0.00, 0: 25; 1: 64; 2: 25; 3: 24; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  72, 10, 10,  234, 0, 4, 796101, 25006.03, 12, 0.00, 0: 25; 1: 57; 2: 38; 3: 19; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  20, 11,  9,  235, 0, 4, 785964, 25006.03, 148, 0.00, 0: 25; 1: 57; 2: 36; 3: 22; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 806, 10, 10,  235, 0, 4, 795934, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 32; 3: 21; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 256, 10, 10,  235, 0, 4, 795939, 25006.03, 28, 0.00, 0: 25; 1: 60; 2: 33; 3: 19; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 587, 10, 10,  235, 0, 4, 796112, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 38; 3: 18; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   9, 10, 10,  235, 0, 4, 795964, 25006.03, 208, 0.00, 0: 25; 1: 60; 2: 32; 3: 21; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 989, 11,  9,  236, 0, 4, 786146, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 38; 3: 17; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 836,  9, 11,  236, 0, 4, 785979, 25006.03, 5, 0.00, 0: 25; 1: 59; 2: 35; 3: 17; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 601, 11,  9,  236, 0, 4, 786132, 25006.03, 0, 0.00, 0: 25; 1: 61; 2: 32; 3: 17; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 473, 10, 10,  236, 0, 4, 796019, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 39; 3: 18; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 940, 10, 10,  236, 0, 4, 796061, 25006.03, 34, 0.00, 0: 25; 1: 54; 2: 41; 3: 20; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 652, 10, 10,  236, 0, 4, 795926, 25006.03, 77, 0.00, 0: 25; 1: 58; 2: 34; 3: 22; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 663, 10, 10,  236, 0, 4, 795935, 25006.03, 0, 0.00, 0: 25; 1: 62; 2: 29; 3: 20; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 456, 11,  9,  236, 0, 4, 786120, 25006.03, 43, 0.00, 0: 25; 1: 59; 2: 36; 3: 15; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 632, 10, 10,  237, 0, 4, 796013, 25006.03, 50, 0.00, 0: 25; 1: 58; 2: 34; 3: 21; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 863,  9, 11,  237, 0, 4, 786084, 25006.03, 0, 0.00, 0: 25; 1: 61; 2: 30; 3: 20; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 263, 11,  9,  237, 0, 4, 786089, 25006.03, 0, 0.00, 0: 25; 1: 61; 2: 29; 3: 22; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 562,  9, 11,  237, 0, 4, 786189, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 34; 3: 15; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 149, 10, 10,  237, 0, 4, 795897, 25006.03, 0, 0.00, 0: 25; 1: 61; 2: 31; 3: 18; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 366,  9, 11,  237, 0, 4, 786068, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 32; 3: 19; 4: 14; 
