Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
3(241)
Melhor resultado nxn: IL-6_Signalling, 924,  8, 12,  197, 1, 3, 760003, 23298.32, 81, 0.00, 1: 103; 2: 44; 3: 2; 
IL-6_Signalling, 924,  8, 12,  197, 1, 3, 760003, 23298.32, 81, 0.00, 1: 103; 2: 44; 3: 2; 
IL-6_Signalling, 376,  8, 12,  197, 1, 3, 760313, 23298.32, 30, 0.00, 1: 105; 2: 40; 3: 4; 
IL-6_Signalling, 587,  9, 10,  198, 1, 3, 720432, 23298.32, 0, 0.00, 1: 105; 2: 39; 3: 5; 
IL-6_Signalling,  32,  9, 10,  198, 1, 3, 720322, 23298.32, 1, 0.00, 1: 104; 2: 41; 3: 4; 
IL-6_Signalling, 747, 10,  9,  198, 1, 3, 720326, 23298.32, 0, 0.00, 1: 105; 2: 39; 3: 5; 
IL-6_Signalling, 898, 10,  9,  198, 1, 3, 720421, 23298.32, 0, 0.00, 1: 106; 2: 37; 3: 6; 
IL-6_Signalling, 701, 10,  9,  198, 1, 3, 720434, 23298.32, 0, 0.00, 1: 106; 2: 37; 3: 6; 
IL-6_Signalling, 702, 10,  9,  198, 1, 3, 720365, 23298.32, 0, 0.00, 1: 104; 2: 41; 3: 4; 
IL-6_Signalling, 713,  9, 10,  199, 1, 3, 720327, 23298.32, 0, 0.00, 1: 105; 2: 38; 3: 6; 
IL-6_Signalling, 864,  8, 12,  199, 1, 3, 760171, 23298.32, 70, 0.00, 1: 105; 2: 38; 3: 6; 
IL-6_Signalling, 425,  8, 12,  199, 1, 3, 760155, 23298.32, 0, 0.00, 1: 104; 2: 40; 3: 5; 
IL-6_Signalling, 428,  8, 12,  199, 1, 3, 760003, 23298.32, 78, 0.00, 1: 103; 2: 42; 3: 4; 
IL-6_Signalling, 325, 11,  8,  199, 1, 3, 704352, 23298.32, 0, 0.00, 1: 104; 2: 40; 3: 5; 
IL-6_Signalling, 617,  8, 12,  199, 1, 3, 760096, 23298.32, 0, 0.00, 1: 105; 2: 38; 3: 6; 
IL-6_Signalling, 465,  9, 10,  199, 1, 3, 720364, 23298.32, 0, 0.00, 1: 104; 2: 40; 3: 5; 
IL-6_Signalling, 912,  8, 12,  199, 1, 3, 759941, 23298.32, 71, 0.00, 1: 102; 2: 44; 3: 3; 
IL-6_Signalling, 382,  8, 12,  200, 1, 3, 759951, 23298.32, 0, 0.00, 1: 106; 2: 35; 3: 8; 
IL-6_Signalling, 125,  8, 12,  200, 1, 3, 759952, 23298.32, 0, 0.00, 1: 104; 2: 39; 3: 6; 
IL-6_Signalling,  10, 10,  9,  200, 1, 3, 720335, 23298.32, 196, 0.00, 1: 101; 2: 45; 3: 3; 
IL-6_Signalling, 263, 10,  9,  200, 1, 3, 720346, 23298.32, 0, 0.00, 1: 104; 2: 39; 3: 6; 
IL-6_Signalling, 299,  9, 10,  200, 1, 3, 720389, 23298.32, 0, 0.00, 1: 103; 2: 41; 3: 5; 
IL-6_Signalling,  62,  7, 14,  200, 1, 3, 775259, 23298.32, 0, 0.00, 1: 102; 2: 43; 3: 4; 
IL-6_Signalling,  56, 11,  8,  201, 1, 3, 704352, 23298.32, 5, 0.00, 1: 105; 2: 36; 3: 8; 
IL-6_Signalling, 149,  9, 10,  201, 1, 3, 720371, 23298.32, 0, 0.00, 1: 101; 2: 44; 3: 4; 
IL-6_Signalling,  94, 11,  8,  201, 1, 3, 704352, 23298.32, 0, 0.00, 1: 102; 2: 42; 3: 5; 
IL-6_Signalling, 505,  8, 12,  201, 1, 3, 760251, 23298.32, 0, 0.00, 1: 105; 2: 36; 3: 8; 
IL-6_Signalling, 213,  9, 10,  201, 1, 3, 720361, 23298.32, 0, 0.00, 1: 102; 2: 42; 3: 5; 
IL-6_Signalling, 215,  8, 12,  201, 1, 3, 759806, 23298.32, 0, 0.00, 1: 101; 2: 44; 3: 4; 
IL-6_Signalling, 305, 10,  9,  201, 1, 3, 720355, 23298.32, 0, 0.00, 1: 102; 2: 42; 3: 5; 
IL-6_Signalling, 763, 10,  9,  201, 1, 3, 720352, 23298.32, 0, 0.00, 1: 104; 2: 38; 3: 7; 
IL-6_Signalling, 571,  9, 10,  201, 1, 3, 720307, 23298.32, 0, 0.00, 1: 103; 2: 40; 3: 6; 
IL-6_Signalling, 275,  8, 12,  202, 1, 3, 760101, 23298.32, 0, 0.00, 1: 102; 2: 41; 3: 6; 
IL-6_Signalling, 586,  8, 12,  202, 1, 3, 760104, 23298.32, 0, 0.00, 1: 101; 2: 43; 3: 5; 
IL-6_Signalling, 670,  7, 14,  202, 1, 3, 774846, 23298.32, 0, 0.00, 1: 100; 2: 45; 3: 4; 
IL-6_Signalling, 330, 11,  8,  202, 1, 3, 704352, 23298.32, 0, 0.00, 1: 102; 2: 41; 3: 6; 
IL-6_Signalling, 574, 11,  8,  202, 1, 3, 704352, 23298.32, 0, 0.00, 1: 102; 2: 41; 3: 6; 
IL-6_Signalling, 209, 10,  9,  202, 1, 3, 720276, 23298.32, 0, 0.00, 1: 101; 2: 43; 3: 5; 
IL-6_Signalling, 282, 10,  9,  202, 1, 3, 720399, 23298.32, 0, 0.00, 1: 100; 2: 45; 3: 4; 
IL-6_Signalling,  45, 11,  8,  202, 1, 3, 704352, 23298.32, 0, 0.00, 1: 102; 2: 41; 3: 6; 
IL-6_Signalling, 538, 10,  9,  202, 1, 3, 720326, 23298.32, 0, 0.00, 1: 101; 2: 43; 3: 5; 
IL-6_Signalling, 267, 10,  9,  202, 1, 3, 720361, 23298.32, 0, 0.00, 1: 100; 2: 45; 3: 4; 
IL-6_Signalling, 536,  8, 12,  202, 1, 3, 760058, 23298.32, 43, 0.00, 1: 101; 2: 43; 3: 5; 
IL-6_Signalling, 124,  8, 12,  202, 1, 3, 760123, 23298.32, 61, 0.00, 1: 102; 2: 41; 3: 6; 
IL-6_Signalling, 510,  9, 10,  202, 1, 3, 720432, 23298.32, 0, 0.00, 1: 100; 2: 45; 3: 4; 
IL-6_Signalling, 877,  7, 14,  202, 1, 3, 774610, 23298.32, 0, 0.00, 1: 103; 2: 39; 3: 7; 
IL-6_Signalling, 752,  9, 10,  202, 1, 3, 720337, 23298.32, 62, 0.00, 1: 101; 2: 43; 3: 5; 
IL-6_Signalling, 226, 10,  9,  202, 1, 3, 720275, 23298.32, 0, 0.00, 1: 104; 2: 37; 3: 8; 
IL-6_Signalling, 314, 11,  8,  202, 1, 3, 704352, 23298.32, 0, 0.00, 1: 101; 2: 43; 3: 5; 
IL-6_Signalling, 909, 10,  9,  202, 1, 3, 720321, 23298.32, 0, 0.00, 1: 103; 2: 39; 3: 7; 
IL-6_Signalling,  30,  8, 12,  202, 1, 3, 760025, 23298.32, 0, 0.00, 1: 102; 2: 41; 3: 6; 
IL-6_Signalling, 491,  9, 10,  203, 1, 3, 720420, 23298.32, 0, 0.00, 1: 98; 2: 48; 3: 3; 
IL-6_Signalling, 493,  9, 10,  203, 1, 3, 720330, 23298.32, 0, 0.00, 1: 99; 2: 46; 3: 4; 
IL-6_Signalling, 589, 10,  9,  203, 1, 3, 720341, 23298.32, 0, 0.00, 1: 102; 2: 40; 3: 7; 
IL-6_Signalling, 200,  9, 10,  203, 1, 3, 720388, 23298.32, 17, 0.00, 1: 104; 2: 36; 3: 9; 
IL-6_Signalling, 873, 11,  8,  203, 1, 3, 704352, 23298.32, 0, 0.00, 1: 102; 2: 40; 3: 7; 
IL-6_Signalling, 687,  9, 10,  203, 1, 3, 720373, 23298.32, 0, 0.00, 1: 101; 2: 42; 3: 6; 
IL-6_Signalling, 439, 11,  8,  203, 1, 3, 704352, 23298.32, 0, 0.00, 1: 101; 2: 42; 3: 6; 
IL-6_Signalling, 551,  9, 10,  203, 1, 3, 720253, 23298.32, 0, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling, 726,  9, 10,  203, 1, 3, 720356, 23298.32, 0, 0.00, 1: 101; 2: 42; 3: 6; 
IL-6_Signalling, 550,  8, 12,  203, 1, 3, 759923, 23298.32, 0, 0.00, 1: 101; 2: 42; 3: 6; 
IL-6_Signalling, 768, 10,  9,  203, 1, 3, 720427, 23298.32, 64, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling, 118, 11,  8,  203, 1, 3, 704352, 23298.32, 0, 0.00, 1: 99; 2: 46; 3: 4; 
IL-6_Signalling, 396,  9, 10,  203, 1, 3, 720363, 23298.32, 27, 0.00, 1: 103; 2: 38; 3: 8; 
IL-6_Signalling, 786, 10,  9,  203, 1, 3, 720350, 23298.32, 0, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling, 619, 11,  8,  203, 1, 3, 704352, 23298.32, 0, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling, 145,  7, 13,  203, 1, 3, 727871, 23298.32, 0, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling, 511, 10,  9,  203, 1, 3, 720392, 23298.32, 0, 0.00, 1: 101; 2: 42; 3: 6; 
IL-6_Signalling, 456, 10,  9,  203, 1, 3, 720410, 23298.32, 34, 0.00, 1: 101; 2: 42; 3: 6; 
