Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(849)
Melhor resultado nxn: IL-6_Signalling, 153,  9, 10,  279, 1, 4, 720357, 22638.55, 0, 0.00, 1: 63; 2: 53; 3: 22; 4: 11; 
IL-6_Signalling, 153,  9, 10,  279, 1, 4, 720357, 22638.55, 0, 0.00, 1: 63; 2: 53; 3: 22; 4: 11; 
IL-6_Signalling, 847,  9, 10,  279, 1, 4, 720392, 22638.55, 0, 0.00, 1: 70; 2: 41; 3: 25; 4: 13; 
IL-6_Signalling,  28, 10,  9,  280, 1, 4, 720372, 22638.55, 139, 0.00, 1: 70; 2: 37; 3: 32; 4: 10; 
IL-6_Signalling, 608,  8, 12,  281, 1, 4, 760038, 22638.55, 48, 0.00, 1: 68; 2: 39; 3: 33; 4: 9; 
IL-6_Signalling, 826,  8, 12,  282, 1, 4, 759970, 22638.55, 0, 0.00, 1: 64; 2: 52; 3: 18; 4: 15; 
IL-6_Signalling, 949, 10,  9,  283, 1, 4, 720329, 22638.55, 0, 0.00, 1: 67; 2: 42; 3: 28; 4: 12; 
IL-6_Signalling, 244, 10,  9,  283, 1, 4, 720340, 22638.55, 36, 0.00, 1: 62; 2: 51; 3: 25; 4: 11; 
IL-6_Signalling, 491,  9, 10,  283, 1, 4, 720333, 22638.55, 0, 0.00, 1: 67; 2: 46; 3: 20; 4: 16; 
IL-6_Signalling, 143,  8, 12,  284, 1, 4, 760039, 22638.55, 0, 0.00, 1: 68; 2: 40; 3: 28; 4: 13; 
IL-6_Signalling, 182,  8, 12,  284, 1, 4, 759981, 22638.55, 0, 0.00, 1: 67; 2: 42; 3: 27; 4: 13; 
IL-6_Signalling, 473,  9, 10,  284, 1, 4, 720350, 22638.55, 0, 0.00, 1: 65; 2: 47; 3: 23; 4: 14; 
IL-6_Signalling, 733, 11,  8,  285, 1, 4, 704352, 22638.55, 0, 0.00, 1: 60; 2: 53; 3: 25; 4: 11; 
IL-6_Signalling, 741, 10,  9,  285, 1, 4, 720334, 22638.55, 0, 0.00, 1: 69; 2: 40; 3: 24; 4: 16; 
IL-6_Signalling,  41, 10,  9,  285, 1, 4, 720395, 22638.55, 0, 0.00, 1: 68; 2: 41; 3: 25; 4: 15; 
IL-6_Signalling, 376,  8, 12,  285, 1, 4, 759996, 22638.55, 30, 0.00, 1: 62; 2: 47; 3: 31; 4: 9; 
IL-6_Signalling,   9,  9, 10,  285, 1, 4, 720339, 22638.55, 159, 0.00, 1: 59; 2: 53; 3: 28; 4: 9; 
IL-6_Signalling, 956,  8, 12,  286, 1, 4, 760050, 22638.55, 82, 0.00, 1: 70; 2: 39; 3: 22; 4: 18; 
IL-6_Signalling, 502, 11,  8,  286, 1, 4, 704352, 22638.55, 0, 0.00, 1: 66; 2: 46; 3: 20; 4: 17; 
IL-6_Signalling, 333,  8, 12,  286, 1, 4, 760005, 22638.55, 0, 0.00, 1: 68; 2: 40; 3: 26; 4: 15; 
IL-6_Signalling,  48,  9, 10,  286, 1, 4, 720358, 22638.55, 4, 0.00, 1: 66; 2: 40; 3: 32; 4: 11; 
IL-6_Signalling, 849,  8, 12,  286, 1, 4, 760037, 22638.55, 0, 0.00, 1: 65; 2: 47; 3: 21; 4: 16; 
IL-6_Signalling,  72,  9, 10,  286, 1, 4, 720354, 22638.55, 6, 0.00, 1: 63; 2: 47; 3: 27; 4: 12; 
IL-6_Signalling, 710,  8, 12,  286, 1, 4, 760033, 22638.55, 0, 0.00, 1: 69; 2: 38; 3: 27; 4: 15; 
IL-6_Signalling, 713,  9, 10,  286, 1, 4, 720331, 22638.55, 0, 0.00, 1: 63; 2: 46; 3: 29; 4: 11; 
IL-6_Signalling, 714,  9, 10,  286, 1, 4, 720371, 22638.55, 0, 0.00, 1: 62; 2: 50; 3: 24; 4: 13; 
IL-6_Signalling, 139,  9, 10,  287, 1, 4, 720379, 22638.55, 0, 0.00, 1: 65; 2: 43; 3: 28; 4: 13; 
IL-6_Signalling, 342,  9, 10,  287, 1, 4, 720351, 22638.55, 0, 0.00, 1: 67; 2: 43; 3: 22; 4: 17; 
IL-6_Signalling,  79, 11,  8,  287, 1, 4, 704352, 22638.55, 0, 0.00, 1: 64; 2: 47; 3: 23; 4: 15; 
IL-6_Signalling, 623, 10,  9,  288, 1, 4, 720395, 22638.55, 0, 0.00, 1: 64; 2: 45; 3: 26; 4: 14; 
IL-6_Signalling,  40, 10,  9,  288, 1, 4, 720362, 22638.55, 3, 0.00, 1: 59; 2: 51; 3: 29; 4: 10; 
IL-6_Signalling, 915,  8, 12,  288, 1, 4, 759958, 22638.55, 0, 0.00, 1: 62; 2: 46; 3: 30; 4: 11; 
IL-6_Signalling, 632,  9, 10,  288, 1, 4, 720363, 22638.55, 50, 0.00, 1: 62; 2: 47; 3: 28; 4: 12; 
IL-6_Signalling, 532, 11,  8,  288, 1, 4, 704352, 22638.55, 50, 0.00, 1: 70; 2: 34; 3: 30; 4: 15; 
IL-6_Signalling, 523,  8, 12,  288, 1, 4, 760076, 22638.55, 0, 0.00, 1: 61; 2: 51; 3: 23; 4: 14; 
IL-6_Signalling, 149,  9, 10,  288, 1, 4, 720317, 22638.55, 0, 0.00, 1: 65; 2: 45; 3: 23; 4: 16; 
IL-6_Signalling,  51, 10,  9,  289, 1, 4, 720372, 22638.55, 0, 0.00, 1: 63; 2: 47; 3: 24; 4: 15; 
IL-6_Signalling, 887,  8, 12,  289, 1, 4, 760118, 22638.55, 0, 0.00, 1: 67; 2: 37; 3: 32; 4: 13; 
IL-6_Signalling, 465,  9, 10,  289, 1, 4, 720366, 22638.55, 0, 0.00, 1: 62; 2: 46; 3: 29; 4: 12; 
IL-6_Signalling, 571,  9, 10,  289, 1, 4, 720360, 22638.55, 0, 0.00, 1: 63; 2: 47; 3: 24; 4: 15; 
IL-6_Signalling, 225, 10,  9,  289, 1, 4, 720350, 22638.55, 0, 0.00, 1: 65; 2: 45; 3: 22; 4: 17; 
IL-6_Signalling, 778, 11,  8,  289, 1, 4, 704352, 22638.55, 0, 0.00, 1: 61; 2: 48; 3: 28; 4: 12; 
IL-6_Signalling, 549,  9, 10,  289, 1, 4, 720330, 22638.55, 0, 0.00, 1: 60; 2: 52; 3: 23; 4: 14; 
IL-6_Signalling, 511, 10,  9,  289, 1, 4, 720372, 22638.55, 0, 0.00, 1: 66; 2: 41; 3: 27; 4: 15; 
IL-6_Signalling, 396,  9, 10,  289, 1, 4, 720335, 22638.55, 27, 0.00, 1: 67; 2: 38; 3: 30; 4: 14; 
IL-6_Signalling, 630, 11,  8,  289, 1, 4, 704352, 22638.55, 0, 0.00, 1: 66; 2: 42; 3: 25; 4: 16; 
IL-6_Signalling, 570,  8, 12,  290, 1, 4, 760017, 22638.55, 0, 0.00, 1: 67; 2: 37; 3: 31; 4: 14; 
IL-6_Signalling, 808,  8, 12,  290, 1, 4, 760009, 22638.55, 67, 0.00, 1: 62; 2: 46; 3: 28; 4: 13; 
IL-6_Signalling, 271,  8, 11,  290, 1, 4, 704352, 22638.55, 0, 0.00, 1: 58; 2: 52; 3: 28; 4: 11; 
IL-6_Signalling, 456, 10,  9,  290, 1, 4, 720373, 22638.55, 34, 0.00, 1: 64; 2: 43; 3: 28; 4: 14; 
IL-6_Signalling, 940,  9, 10,  290, 1, 4, 720373, 22638.55, 78, 0.00, 1: 66; 2: 44; 3: 20; 4: 19; 
IL-6_Signalling, 200,  9, 10,  290, 1, 4, 720367, 22638.55, 17, 0.00, 1: 62; 2: 45; 3: 30; 4: 12; 
IL-6_Signalling, 291, 10,  9,  290, 1, 4, 720380, 22638.55, 0, 0.00, 1: 63; 2: 48; 3: 21; 4: 17; 
IL-6_Signalling, 471,  8, 12,  290, 1, 4, 759877, 22638.55, 0, 0.00, 1: 63; 2: 48; 3: 21; 4: 17; 
IL-6_Signalling, 668, 11,  8,  290, 1, 4, 704352, 22638.55, 1, 0.00, 1: 62; 2: 45; 3: 30; 4: 12; 
IL-6_Signalling, 484,  8, 12,  290, 1, 4, 760007, 22638.55, 76, 0.00, 1: 64; 2: 43; 3: 28; 4: 14; 
IL-6_Signalling, 267, 10,  9,  290, 1, 4, 720364, 22638.55, 0, 0.00, 1: 64; 2: 43; 3: 28; 4: 14; 
IL-6_Signalling,  34, 10,  9,  290, 1, 4, 720346, 22638.55, 0, 0.00, 1: 61; 2: 46; 3: 31; 4: 11; 
IL-6_Signalling, 367,  8, 11,  291, 1, 4, 704352, 22638.55, 0, 0.00, 1: 64; 2: 42; 3: 29; 4: 14; 
IL-6_Signalling, 914,  8, 12,  291, 1, 4, 759978, 22638.55, 0, 0.00, 1: 69; 2: 33; 3: 32; 4: 15; 
IL-6_Signalling, 363,  8, 12,  291, 1, 4, 759919, 22638.55, 0, 0.00, 1: 65; 2: 40; 3: 30; 4: 14; 
IL-6_Signalling, 637, 10,  9,  291, 1, 4, 720333, 22638.55, 0, 0.00, 1: 68; 2: 36; 3: 29; 4: 16; 
IL-6_Signalling,  15,  8, 12,  291, 1, 4, 759997, 22638.55, 0, 0.00, 1: 67; 2: 37; 3: 30; 4: 15; 
IL-6_Signalling, 617,  8, 12,  291, 1, 4, 759990, 22638.55, 0, 0.00, 1: 61; 2: 47; 3: 28; 4: 13; 
IL-6_Signalling, 799,  9, 10,  291, 1, 4, 720339, 22638.55, 0, 0.00, 1: 62; 2: 43; 3: 33; 4: 11; 
