Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
723(536)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network, 459,  9,  9,  201, 1, 3, 644760, 25754.62, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 261,  8, 11,  196, 1, 3, 700534, 25754.62, 0, 0.00, 1: 121; 2: 36; 3: 1; 
Lymphopoiesis_Regulatory_Network, 772, 11,  8,  196, 1, 3, 700559, 25754.62, 3, 0.00, 1: 125; 2: 28; 3: 5; 
Lymphopoiesis_Regulatory_Network, 105,  7, 13,  196, 1, 3, 720944, 25754.62, 0, 0.00, 1: 124; 2: 30; 3: 4; 
Lymphopoiesis_Regulatory_Network, 524, 11,  8,  196, 1, 3, 700429, 25754.62, 12, 0.00, 1: 123; 2: 32; 3: 3; 
Lymphopoiesis_Regulatory_Network, 614,  7, 13,  196, 1, 3, 720753, 25754.62, 0, 0.00, 1: 124; 2: 30; 3: 4; 
Lymphopoiesis_Regulatory_Network, 282, 11,  8,  197, 1, 3, 700569, 25754.62, 0, 0.00, 1: 121; 2: 35; 3: 2; 
Lymphopoiesis_Regulatory_Network,   0,  6, 14,  197, 1, 3, 668786, 25754.62, 16, 0.00, 1: 122; 2: 33; 3: 3; 
Lymphopoiesis_Regulatory_Network, 735,  8, 11,  198, 1, 3, 700521, 25754.62, 0, 0.00, 1: 122; 2: 32; 3: 4; 
Lymphopoiesis_Regulatory_Network,  33,  9, 10,  198, 1, 3, 714362, 25754.62, 0, 0.00, 1: 123; 2: 30; 3: 5; 
Lymphopoiesis_Regulatory_Network, 944, 11,  8,  198, 1, 3, 700408, 25754.62, 66, 0.00, 1: 121; 2: 34; 3: 3; 
Lymphopoiesis_Regulatory_Network, 262,  8, 11,  198, 1, 3, 700488, 25754.62, 0, 0.00, 1: 122; 2: 32; 3: 4; 
Lymphopoiesis_Regulatory_Network, 840, 11,  8,  198, 1, 3, 700435, 25754.62, 62, 0.00, 1: 120; 2: 36; 3: 2; 
Lymphopoiesis_Regulatory_Network,   3,  7, 13,  198, 1, 3, 720880, 25754.62, 157, 0.00, 1: 122; 2: 32; 3: 4; 
Lymphopoiesis_Regulatory_Network, 829,  7, 13,  198, 1, 3, 720973, 25754.62, 0, 0.00, 1: 122; 2: 32; 3: 4; 
