Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
533(275)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network, 554,  9,  9,  215, 1, 3, 644760, 25783.22, 0, 0.00, 1: 109; 2: 41; 3: 8; 
Lymphopoiesis_Regulatory_Network, 583,  7, 13,  209, 1, 3, 720811, 25783.22, 0, 0.00, 1: 111; 2: 43; 3: 4; 
Lymphopoiesis_Regulatory_Network, 840, 11,  8,  210, 1, 3, 700237, 25783.22, 62, 0.00, 1: 110; 2: 44; 3: 4; 
Lymphopoiesis_Regulatory_Network, 683,  7, 13,  210, 1, 3, 720579, 25783.22, 0, 0.00, 1: 111; 2: 42; 3: 5; 
Lymphopoiesis_Regulatory_Network,  32,  6, 16,  210, 1, 3, 748332, 25783.22, 3, 0.00, 1: 112; 2: 40; 3: 6; 
Lymphopoiesis_Regulatory_Network, 410,  7, 12,  210, 1, 3, 668767, 25783.22, 0, 0.00, 1: 112; 2: 40; 3: 6; 
Lymphopoiesis_Regulatory_Network, 976,  9, 10,  211, 1, 3, 714360, 25783.22, 68, 0.00, 1: 112; 2: 39; 3: 7; 
Lymphopoiesis_Regulatory_Network,  48,  7, 12,  211, 1, 3, 668777, 25783.22, 6, 0.00, 1: 112; 2: 39; 3: 7; 
Lymphopoiesis_Regulatory_Network, 918,  7, 12,  211, 1, 3, 668631, 25783.22, 0, 0.00, 1: 111; 2: 41; 3: 6; 
Lymphopoiesis_Regulatory_Network, 484,  9, 10,  211, 1, 3, 714490, 25783.22, 6, 0.00, 1: 111; 2: 41; 3: 6; 
Lymphopoiesis_Regulatory_Network, 454,  7, 13,  211, 1, 3, 720654, 25783.22, 0, 0.00, 1: 111; 2: 41; 3: 6; 
Lymphopoiesis_Regulatory_Network, 867,  8, 11,  211, 1, 3, 700332, 25783.22, 0, 0.00, 1: 113; 2: 37; 3: 8; 
Lymphopoiesis_Regulatory_Network, 578, 11,  8,  212, 1, 3, 700486, 25783.22, 0, 0.00, 1: 108; 2: 46; 3: 4; 
Lymphopoiesis_Regulatory_Network,  22,  8, 11,  212, 1, 3, 700471, 25783.22, 0, 0.00, 1: 110; 2: 42; 3: 6; 
Lymphopoiesis_Regulatory_Network, 874,  8, 11,  212, 1, 3, 700530, 25783.22, 0, 0.00, 1: 109; 2: 44; 3: 5; 
Lymphopoiesis_Regulatory_Network, 896, 11,  8,  212, 1, 3, 700438, 25783.22, 63, 0.00, 1: 113; 2: 36; 3: 9; 
Lymphopoiesis_Regulatory_Network, 985,  7, 12,  212, 1, 3, 668626, 25783.22, 0, 0.00, 1: 112; 2: 38; 3: 8; 
Lymphopoiesis_Regulatory_Network,  87,  8, 11,  213, 1, 3, 700323, 25783.22, 0, 0.00, 1: 109; 2: 43; 3: 6; 
Lymphopoiesis_Regulatory_Network, 308,  9, 10,  213, 1, 3, 714111, 25783.22, 29, 0.00, 1: 105; 2: 51; 3: 2; 
Lymphopoiesis_Regulatory_Network,  33,  9, 10,  213, 1, 3, 714527, 25783.22, 0, 0.00, 1: 108; 2: 45; 3: 5; 
Lymphopoiesis_Regulatory_Network, 606,  7, 12,  213, 1, 3, 668656, 25783.22, 0, 0.00, 1: 109; 2: 43; 3: 6; 
Lymphopoiesis_Regulatory_Network, 792, 11,  8,  213, 1, 3, 700494, 25783.22, 61, 0.00, 1: 111; 2: 39; 3: 8; 
Lymphopoiesis_Regulatory_Network, 426, 11,  8,  213, 1, 3, 700536, 25783.22, 0, 0.00, 1: 109; 2: 43; 3: 6; 
Lymphopoiesis_Regulatory_Network, 786,  8, 11,  213, 1, 3, 700452, 25783.22, 0, 0.00, 1: 110; 2: 41; 3: 7; 
Lymphopoiesis_Regulatory_Network, 723,  7, 13,  213, 1, 3, 720662, 25783.22, 0, 0.00, 1: 109; 2: 43; 3: 6; 
Lymphopoiesis_Regulatory_Network, 401,  8, 11,  213, 1, 3, 700505, 25783.22, 0, 0.00, 1: 113; 2: 35; 3: 10; 
Lymphopoiesis_Regulatory_Network, 140, 12,  7,  213, 1, 3, 668717, 25783.22, 57, 0.00, 1: 110; 2: 41; 3: 7; 
Lymphopoiesis_Regulatory_Network, 830,  8, 11,  213, 1, 3, 700653, 25783.22, 0, 0.00, 1: 110; 2: 41; 3: 7; 
Lymphopoiesis_Regulatory_Network, 777,  9, 10,  213, 1, 3, 714385, 25783.22, 0, 0.00, 1: 109; 2: 43; 3: 6; 
Lymphopoiesis_Regulatory_Network, 824, 11,  8,  213, 1, 3, 700327, 25783.22, 61, 0.00, 1: 111; 2: 39; 3: 8; 
Lymphopoiesis_Regulatory_Network, 374,  8, 11,  214, 1, 3, 700639, 25783.22, 0, 0.00, 1: 107; 2: 46; 3: 5; 
Lymphopoiesis_Regulatory_Network, 860,  7, 13,  214, 1, 3, 720679, 25783.22, 14, 0.00, 1: 109; 2: 42; 3: 7; 
Lymphopoiesis_Regulatory_Network, 414,  8, 11,  214, 1, 3, 700459, 25783.22, 0, 0.00, 1: 109; 2: 42; 3: 7; 
Lymphopoiesis_Regulatory_Network, 751, 11,  8,  214, 1, 3, 700481, 25783.22, 0, 0.00, 1: 110; 2: 40; 3: 8; 
Lymphopoiesis_Regulatory_Network, 391,  9, 10,  214, 1, 3, 714488, 25783.22, 0, 0.00, 1: 108; 2: 44; 3: 6; 
Lymphopoiesis_Regulatory_Network, 776, 11,  8,  214, 1, 3, 700471, 25783.22, 61, 0.00, 1: 107; 2: 46; 3: 5; 
