Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
984(999)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network,  77,  9,  9,  269, 0, 4, 644760, 24166.97, 0, 0.00, 0: 8; 1: 68; 2: 55; 3: 17; 4: 10; 
Lymphopoiesis_Regulatory_Network, 437,  9, 10,  256, 0, 4, 714416, 24166.97, 0, 0.00, 0: 8; 1: 80; 2: 42; 3: 20; 4: 8; 
Lymphopoiesis_Regulatory_Network, 171,  8, 11,  261, 0, 4, 700446, 24166.97, 0, 0.00, 0: 8; 1: 79; 2: 41; 3: 20; 4: 10; 
Lymphopoiesis_Regulatory_Network, 882,  8, 11,  261, 0, 4, 700505, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 49; 3: 19; 4: 8; 
Lymphopoiesis_Regulatory_Network, 367, 11,  8,  261, 0, 4, 700449, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 45; 3: 21; 4: 8; 
Lymphopoiesis_Regulatory_Network, 342,  9, 10,  261, 0, 4, 714264, 24166.97, 0, 0.00, 0: 8; 1: 80; 2: 41; 3: 17; 4: 12; 
Lymphopoiesis_Regulatory_Network,  80,  7, 13,  261, 0, 4, 720853, 24166.97, 7, 0.00, 0: 8; 1: 72; 2: 55; 3: 13; 4: 10; 
Lymphopoiesis_Regulatory_Network,  38,  9, 10,  262, 0, 4, 714305, 24166.97, 0, 0.00, 0: 8; 1: 83; 2: 34; 3: 21; 4: 12; 
Lymphopoiesis_Regulatory_Network, 484,  9, 10,  262, 0, 4, 714382, 24166.97, 6, 0.00, 0: 8; 1: 72; 2: 53; 3: 16; 4: 9; 
Lymphopoiesis_Regulatory_Network, 968,  8, 11,  262, 0, 4, 700418, 24166.97, 67, 0.00, 0: 8; 1: 76; 2: 48; 3: 14; 4: 12; 
Lymphopoiesis_Regulatory_Network,  30,  8, 11,  262, 0, 4, 700387, 24166.97, 0, 0.00, 0: 8; 1: 79; 2: 39; 3: 23; 4: 9; 
Lymphopoiesis_Regulatory_Network, 489,  9, 10,  263, 0, 4, 714308, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 41; 3: 24; 4: 8; 
Lymphopoiesis_Regulatory_Network, 699, 11,  8,  263, 0, 4, 700459, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 42; 3: 22; 4: 9; 
Lymphopoiesis_Regulatory_Network, 321, 11,  8,  263, 0, 4, 700515, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 45; 3: 19; 4: 10; 
Lymphopoiesis_Regulatory_Network, 728,  8, 11,  263, 0, 4, 700484, 24166.97, 57, 0.00, 0: 8; 1: 76; 2: 42; 3: 25; 4: 7; 
Lymphopoiesis_Regulatory_Network, 356, 11,  8,  263, 0, 4, 700414, 24166.97, 61, 0.00, 0: 8; 1: 78; 2: 41; 3: 21; 4: 10; 
Lymphopoiesis_Regulatory_Network, 507,  9, 10,  264, 0, 4, 714434, 24166.97, 0, 0.00, 0: 8; 1: 80; 2: 39; 3: 18; 4: 13; 
Lymphopoiesis_Regulatory_Network, 801, 11,  8,  264, 0, 4, 700480, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 45; 3: 21; 4: 9; 
Lymphopoiesis_Regulatory_Network, 830,  8, 11,  264, 0, 4, 700457, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 51; 3: 15; 4: 11; 
Lymphopoiesis_Regulatory_Network, 290, 11,  8,  265, 0, 4, 700462, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 43; 3: 27; 4: 6; 
Lymphopoiesis_Regulatory_Network, 924, 11,  8,  265, 0, 4, 700459, 24166.97, 61, 0.00, 0: 8; 1: 78; 2: 40; 3: 21; 4: 11; 
Lymphopoiesis_Regulatory_Network, 414,  8, 11,  265, 0, 4, 700383, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 41; 3: 25; 4: 8; 
Lymphopoiesis_Regulatory_Network,  49,  9, 10,  265, 0, 4, 714321, 24166.97, 0, 0.00, 0: 8; 1: 71; 2: 51; 3: 20; 4: 8; 
Lymphopoiesis_Regulatory_Network, 736,  9, 10,  265, 0, 4, 714418, 24166.97, 58, 0.00, 0: 8; 1: 71; 2: 50; 3: 22; 4: 7; 
Lymphopoiesis_Regulatory_Network, 798,  8, 11,  265, 0, 4, 700442, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 49; 3: 21; 4: 8; 
Lymphopoiesis_Regulatory_Network, 784,  9, 10,  265, 0, 4, 714502, 24166.97, 61, 0.00, 0: 8; 1: 75; 2: 43; 3: 24; 4: 8; 
Lymphopoiesis_Regulatory_Network, 189,  9, 10,  265, 0, 4, 714390, 24166.97, 0, 0.00, 0: 8; 1: 80; 2: 37; 3: 21; 4: 12; 
Lymphopoiesis_Regulatory_Network, 575,  8, 11,  265, 0, 4, 700467, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 44; 3: 22; 4: 9; 
Lymphopoiesis_Regulatory_Network, 941,  9, 10,  265, 0, 4, 714326, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 46; 3: 21; 4: 9; 
Lymphopoiesis_Regulatory_Network, 451,  8, 11,  265, 0, 4, 700517, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 38; 3: 25; 4: 9; 
Lymphopoiesis_Regulatory_Network, 880,  7, 12,  265, 0, 4, 668725, 24166.97, 63, 0.00, 0: 8; 1: 73; 2: 50; 3: 16; 4: 11; 
Lymphopoiesis_Regulatory_Network, 630,  9, 10,  266, 0, 4, 714369, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 40; 3: 20; 4: 12; 
Lymphopoiesis_Regulatory_Network, 704,  9, 10,  266, 0, 4, 714328, 24166.97, 57, 0.00, 0: 8; 1: 76; 2: 40; 3: 26; 4: 8; 
Lymphopoiesis_Regulatory_Network,  52,  8, 11,  266, 0, 4, 700556, 24166.97, 3, 0.00, 0: 8; 1: 76; 2: 43; 3: 20; 4: 11; 
Lymphopoiesis_Regulatory_Network, 506,  9, 10,  266, 0, 4, 714421, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 42; 3: 19; 4: 12; 
Lymphopoiesis_Regulatory_Network, 492,  8, 11,  266, 0, 4, 700494, 24166.97, 68, 0.00, 0: 8; 1: 76; 2: 45; 3: 16; 4: 13; 
Lymphopoiesis_Regulatory_Network,  87,  8, 11,  266, 0, 4, 700415, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 50; 3: 15; 4: 12; 
Lymphopoiesis_Regulatory_Network, 253,  9, 10,  266, 0, 4, 714427, 24166.97, 0, 0.00, 0: 8; 1: 80; 2: 36; 3: 22; 4: 12; 
Lymphopoiesis_Regulatory_Network, 858,  8, 11,  266, 0, 4, 700435, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 41; 3: 27; 4: 7; 
Lymphopoiesis_Regulatory_Network, 141, 11,  8,  266, 0, 4, 700553, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 45; 3: 16; 4: 13; 
Lymphopoiesis_Regulatory_Network, 579, 11,  8,  266, 0, 4, 700487, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 48; 3: 16; 4: 12; 
Lymphopoiesis_Regulatory_Network, 515,  9, 10,  266, 0, 4, 714254, 24166.97, 0, 0.00, 0: 8; 1: 79; 2: 42; 3: 13; 4: 16; 
Lymphopoiesis_Regulatory_Network, 109,  9, 10,  266, 0, 4, 714259, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 45; 3: 19; 4: 11; 
Lymphopoiesis_Regulatory_Network,  21, 11,  8,  266, 0, 4, 700505, 24166.97, 85, 0.00, 0: 8; 1: 76; 2: 42; 3: 22; 4: 10; 
Lymphopoiesis_Regulatory_Network, 105,  7, 13,  266, 0, 4, 720859, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 45; 3: 13; 4: 15; 
Lymphopoiesis_Regulatory_Network, 297,  9, 10,  267, 0, 4, 714300, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 44; 3: 26; 4: 7; 
Lymphopoiesis_Regulatory_Network,  56,  7, 13,  267, 0, 4, 720879, 24166.97, 7, 0.00, 0: 8; 1: 74; 2: 44; 3: 23; 4: 9; 
Lymphopoiesis_Regulatory_Network, 719, 12,  7,  267, 0, 4, 668673, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 39; 3: 24; 4: 10; 
Lymphopoiesis_Regulatory_Network, 349,  7, 13,  267, 0, 4, 720804, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 40; 3: 19; 4: 13; 
Lymphopoiesis_Regulatory_Network, 415, 11,  8,  267, 0, 4, 700457, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 41; 3: 23; 4: 10; 
Lymphopoiesis_Regulatory_Network, 238, 11,  8,  267, 0, 4, 700578, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 47; 3: 20; 4: 10; 
Lymphopoiesis_Regulatory_Network, 626,  8, 11,  267, 0, 4, 700414, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 37; 3: 25; 4: 10; 
Lymphopoiesis_Regulatory_Network, 305,  7, 13,  267, 0, 4, 720848, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 45; 3: 21; 4: 10; 
Lymphopoiesis_Regulatory_Network, 170,  9, 10,  267, 0, 4, 714419, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 46; 3: 22; 4: 9; 
Lymphopoiesis_Regulatory_Network, 466, 12,  7,  267, 0, 4, 668687, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 43; 3: 19; 4: 12; 
Lymphopoiesis_Regulatory_Network, 548,  8, 11,  267, 0, 4, 700478, 24166.97, 45, 0.00, 0: 8; 1: 76; 2: 44; 3: 17; 4: 13; 
Lymphopoiesis_Regulatory_Network, 894, 11,  8,  267, 0, 4, 700410, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 44; 3: 23; 4: 9; 
Lymphopoiesis_Regulatory_Network, 354,  8, 11,  268, 0, 4, 700476, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 40; 3: 21; 4: 12; 
Lymphopoiesis_Regulatory_Network, 899,  8, 11,  268, 0, 4, 700455, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 46; 3: 15; 4: 14; 
Lymphopoiesis_Regulatory_Network, 164,  7, 12,  268, 0, 4, 668718, 24166.97, 27, 0.00, 0: 8; 1: 69; 2: 50; 3: 25; 4: 6; 
Lymphopoiesis_Regulatory_Network, 770,  7, 12,  268, 0, 4, 668764, 24166.97, 0, 0.00, 0: 8; 1: 81; 2: 32; 3: 25; 4: 12; 
Lymphopoiesis_Regulatory_Network, 106, 12,  7,  268, 0, 4, 668729, 24166.97, 0, 0.00, 0: 8; 1: 70; 2: 51; 3: 20; 4: 9; 
Lymphopoiesis_Regulatory_Network, 366,  8, 11,  268, 0, 4, 700494, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 38; 3: 22; 4: 12; 
Lymphopoiesis_Regulatory_Network, 967,  7, 12,  268, 0, 4, 668755, 24166.97, 0, 0.00, 0: 8; 1: 80; 2: 37; 3: 18; 4: 15; 
Lymphopoiesis_Regulatory_Network, 879, 11,  8,  268, 0, 4, 700444, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 44; 3: 25; 4: 8; 
Lymphopoiesis_Regulatory_Network, 795, 11,  8,  268, 0, 4, 700456, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 40; 3: 24; 4: 10; 
Lymphopoiesis_Regulatory_Network, 130, 12,  7,  268, 0, 4, 668740, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 44; 3: 19; 4: 12; 
Lymphopoiesis_Regulatory_Network, 102, 12,  7,  268, 0, 4, 668700, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 51; 3: 14; 4: 13; 
Lymphopoiesis_Regulatory_Network,  37,  9, 10,  268, 0, 4, 714505, 24166.97, 0, 0.00, 0: 8; 1: 71; 2: 48; 3: 23; 4: 8; 
Lymphopoiesis_Regulatory_Network,  93, 11,  8,  268, 0, 4, 700490, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 39; 3: 20; 4: 13; 
Lymphopoiesis_Regulatory_Network, 796,  7, 13,  268, 0, 4, 720915, 24166.97, 18, 0.00, 0: 8; 1: 69; 2: 52; 3: 21; 4: 8; 
Lymphopoiesis_Regulatory_Network, 945,  9, 10,  268, 0, 4, 714425, 24166.97, 0, 0.00, 0: 8; 1: 70; 2: 53; 3: 16; 4: 11; 
Lymphopoiesis_Regulatory_Network, 666,  7, 12,  268, 0, 4, 668771, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 37; 3: 24; 4: 11; 
Lymphopoiesis_Regulatory_Network, 387,  7, 13,  268, 0, 4, 720884, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 40; 3: 18; 4: 14; 
Lymphopoiesis_Regulatory_Network, 247,  9, 10,  268, 0, 4, 714341, 24166.97, 0, 0.00, 0: 8; 1: 69; 2: 56; 3: 13; 4: 12; 
Lymphopoiesis_Regulatory_Network, 646,  9, 10,  268, 0, 4, 714440, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 39; 3: 23; 4: 11; 
Lymphopoiesis_Regulatory_Network, 673,  9, 10,  269, 0, 4, 714334, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 47; 3: 21; 4: 10; 
Lymphopoiesis_Regulatory_Network, 291,  7, 13,  269, 0, 4, 720820, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 48; 3: 19; 4: 11; 
Lymphopoiesis_Regulatory_Network, 712, 12,  7,  269, 0, 4, 668729, 24166.97, 57, 0.00, 0: 8; 1: 74; 2: 46; 3: 17; 4: 13; 
Lymphopoiesis_Regulatory_Network, 119,  9, 10,  269, 0, 4, 714238, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 43; 3: 20; 4: 12; 
Lymphopoiesis_Regulatory_Network, 898,  9, 10,  269, 0, 4, 714374, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 43; 3: 23; 4: 10; 
Lymphopoiesis_Regulatory_Network, 113,  9, 10,  269, 0, 4, 714356, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 46; 3: 14; 4: 15; 
Lymphopoiesis_Regulatory_Network, 902, 11,  8,  269, 0, 4, 700499, 24166.97, 0, 0.00, 0: 8; 1: 75; 2: 41; 3: 24; 4: 10; 
Lymphopoiesis_Regulatory_Network, 298,  7, 13,  269, 0, 4, 720585, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 46; 3: 20; 4: 11; 
Lymphopoiesis_Regulatory_Network, 788,  7, 13,  269, 0, 4, 720754, 24166.97, 19, 0.00, 0: 8; 1: 75; 2: 44; 3: 18; 4: 13; 
Lymphopoiesis_Regulatory_Network, 533,  9, 10,  269, 0, 4, 714456, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 47; 3: 21; 4: 10; 
Lymphopoiesis_Regulatory_Network, 444,  9, 10,  269, 0, 4, 714325, 24166.97, 69, 0.00, 0: 8; 1: 67; 2: 56; 3: 18; 4: 9; 
Lymphopoiesis_Regulatory_Network, 449,  9, 10,  269, 0, 4, 714381, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 37; 3: 23; 4: 12; 
Lymphopoiesis_Regulatory_Network, 168,  8, 11,  269, 0, 4, 700470, 24166.97, 14, 0.00, 0: 8; 1: 72; 2: 46; 3: 23; 4: 9; 
Lymphopoiesis_Regulatory_Network, 637,  7, 13,  269, 0, 4, 720691, 24166.97, 0, 0.00, 0: 8; 1: 70; 2: 49; 3: 23; 4: 8; 
Lymphopoiesis_Regulatory_Network, 400,  7, 13,  269, 0, 4, 720907, 24166.97, 27, 0.00, 0: 8; 1: 74; 2: 46; 3: 17; 4: 13; 
Lymphopoiesis_Regulatory_Network, 792, 11,  8,  269, 0, 4, 700379, 24166.97, 61, 0.00, 0: 8; 1: 77; 2: 38; 3: 24; 4: 11; 
Lymphopoiesis_Regulatory_Network, 156, 11,  8,  269, 0, 4, 700422, 24166.97, 21, 0.00, 0: 8; 1: 77; 2: 39; 3: 22; 4: 12; 
Lymphopoiesis_Regulatory_Network,  51,  9, 10,  269, 0, 4, 714416, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 51; 3: 10; 4: 16; 
Lymphopoiesis_Regulatory_Network,  14,  8, 11,  269, 0, 4, 700474, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 44; 3: 24; 4: 9; 
Lymphopoiesis_Regulatory_Network, 612,  7, 13,  269, 0, 4, 720626, 24166.97, 59, 0.00, 0: 8; 1: 76; 2: 39; 3: 25; 4: 10; 
Lymphopoiesis_Regulatory_Network, 369, 11,  8,  269, 0, 4, 700493, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 40; 3: 29; 4: 7; 
Lymphopoiesis_Regulatory_Network, 780,  9, 10,  269, 0, 4, 714359, 24166.97, 77, 0.00, 0: 8; 1: 78; 2: 38; 3: 21; 4: 13; 
Lymphopoiesis_Regulatory_Network, 270,  8, 11,  269, 0, 4, 700478, 24166.97, 0, 0.00, 0: 8; 1: 79; 2: 35; 3: 24; 4: 12; 
Lymphopoiesis_Regulatory_Network,  77,  9,  9,  269, 0, 4, 644760, 24166.97, 0, 0.00, 0: 8; 1: 68; 2: 55; 3: 17; 4: 10; 
Lymphopoiesis_Regulatory_Network, 529, 11,  8,  269, 0, 4, 700371, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 48; 3: 16; 4: 13; 
Lymphopoiesis_Regulatory_Network, 350,  9, 10,  269, 0, 4, 714354, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 43; 3: 23; 4: 10; 
Lymphopoiesis_Regulatory_Network, 730,  6, 15,  270, 0, 4, 714473, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 41; 3: 26; 4: 9; 
Lymphopoiesis_Regulatory_Network, 120,  8, 11,  270, 0, 4, 700569, 24166.97, 10, 0.00, 0: 8; 1: 68; 2: 50; 3: 26; 4: 6; 
Lymphopoiesis_Regulatory_Network, 804, 12,  7,  270, 0, 4, 668731, 24166.97, 78, 0.00, 0: 8; 1: 72; 2: 47; 3: 20; 4: 11; 
Lymphopoiesis_Regulatory_Network, 229,  7, 13,  270, 0, 4, 720861, 24166.97, 0, 0.00, 0: 8; 1: 69; 2: 50; 3: 23; 4: 8; 
Lymphopoiesis_Regulatory_Network, 820,  8, 11,  270, 0, 4, 700491, 24166.97, 61, 0.00, 0: 8; 1: 72; 2: 48; 3: 18; 4: 12; 
Lymphopoiesis_Regulatory_Network, 208, 11,  8,  270, 0, 4, 700359, 24166.97, 15, 0.00, 0: 8; 1: 75; 2: 41; 3: 23; 4: 11; 
Lymphopoiesis_Regulatory_Network, 534,  8, 11,  270, 0, 4, 700498, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 45; 3: 24; 4: 9; 
Lymphopoiesis_Regulatory_Network, 732,  6, 16,  270, 0, 4, 748501, 24166.97, 4, 0.00, 0: 8; 1: 75; 2: 43; 3: 19; 4: 13; 
Lymphopoiesis_Regulatory_Network, 126,  8, 11,  270, 0, 4, 700411, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 46; 3: 22; 4: 10; 
Lymphopoiesis_Regulatory_Network, 790, 11,  8,  270, 0, 4, 700528, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 40; 3: 19; 4: 14; 
Lymphopoiesis_Regulatory_Network, 129,  9, 10,  270, 0, 4, 714395, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 46; 3: 22; 4: 10; 
Lymphopoiesis_Regulatory_Network, 336,  8, 11,  270, 0, 4, 700432, 24166.97, 19, 0.00, 0: 8; 1: 79; 2: 35; 3: 23; 4: 13; 
Lymphopoiesis_Regulatory_Network, 259,  9, 10,  270, 0, 4, 714441, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 38; 3: 23; 4: 12; 
Lymphopoiesis_Regulatory_Network, 132,  8, 11,  270, 0, 4, 700497, 24166.97, 79, 0.00, 0: 8; 1: 75; 2: 44; 3: 17; 4: 14; 
