Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
3(418)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  137, 1, 3, 443520, 17788.86, 40, 0.00, 1: 72; 2: 28; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  137, 1, 3, 443520, 17788.86, 40, 0.00, 1: 72; 2: 28; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 870,  7,  8,  137, 1, 3, 443520, 17788.86, 0, 0.00, 1: 71; 2: 30; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 154,  7,  9,  138, 1, 3, 492682, 17788.86, 60, 0.00, 1: 72; 2: 27; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 858,  7,  9,  138, 1, 3, 492703, 17788.86, 60, 0.00, 1: 73; 2: 25; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 506,  8,  7,  138, 1, 3, 443520, 17788.86, 0, 0.00, 1: 70; 2: 31; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 852,  7,  9,  138, 1, 3, 492756, 17788.86, 198, 0.00, 1: 73; 2: 25; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 918,  7,  9,  138, 1, 3, 492934, 17788.86, 0, 0.00, 1: 72; 2: 27; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 430,  7,  9,  138, 1, 3, 492749, 17788.86, 0, 0.00, 1: 71; 2: 29; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 745,  6, 10,  139, 1, 3, 473366, 17788.86, 69, 0.00, 1: 73; 2: 24; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 426,  7,  9,  139, 1, 3, 492963, 17788.86, 82, 0.00, 1: 71; 2: 28; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 771,  7,  9,  139, 1, 3, 492532, 17788.86, 88, 0.00, 1: 71; 2: 28; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 464,  7,  9,  139, 1, 3, 492636, 17788.86, 176, 0.00, 1: 68; 2: 34; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 356,  7,  9,  139, 1, 3, 492676, 17788.86, 0, 0.00, 1: 71; 2: 28; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 219,  7,  8,  139, 1, 3, 443520, 17788.86, 89, 0.00, 1: 72; 2: 26; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 201,  8,  7,  139, 1, 3, 443520, 17788.86, 4, 0.00, 1: 69; 2: 32; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 454,  8,  7,  139, 1, 3, 443520, 17788.86, 0, 0.00, 1: 70; 2: 30; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 298,  7,  9,  139, 1, 3, 492957, 17788.86, 112, 0.00, 1: 71; 2: 28; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 543,  7,  8,  140, 1, 3, 443520, 17788.86, 0, 0.00, 1: 72; 2: 25; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 672,  7,  9,  140, 1, 3, 492576, 17788.86, 15, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 654,  7,  8,  140, 1, 3, 443520, 17788.86, 0, 0.00, 1: 69; 2: 31; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 824,  7,  8,  140, 1, 3, 443520, 17788.86, 0, 0.00, 1: 71; 2: 27; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  91,  6, 10,  140, 1, 3, 473565, 17788.86, 89, 0.00, 1: 72; 2: 25; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 148,  6, 10,  140, 1, 3, 473503, 17788.86, 198, 0.00, 1: 70; 2: 29; 3: 4; 
