Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(987)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  178, 1, 4, 492805, 18288.16, 162, 0.00, 1: 54; 2: 28; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  178, 1, 4, 492805, 18288.16, 162, 0.00, 1: 54; 2: 28; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 378,  7,  9,  180, 1, 4, 492650, 18288.16, 0, 0.00, 1: 53; 2: 32; 3: 9; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 609,  7,  9,  182, 1, 4, 492819, 18288.16, 0, 0.00, 1: 53; 2: 25; 3: 21; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 515,  7,  9,  182, 1, 4, 492698, 18288.16, 0, 0.00, 1: 47; 2: 36; 3: 17; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 395,  8,  7,  182, 1, 4, 443520, 18288.16, 85, 0.00, 1: 53; 2: 30; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 148,  6, 10,  182, 1, 4, 473469, 18288.16, 237, 0.00, 1: 57; 2: 23; 3: 13; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 521,  8,  7,  182, 1, 4, 443520, 18288.16, 0, 0.00, 1: 53; 2: 28; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 199,  6, 10,  182, 1, 4, 473454, 18288.16, 0, 0.00, 1: 51; 2: 34; 3: 9; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  76,  7,  8,  182, 1, 4, 443520, 18288.16, 237, 0.00, 1: 51; 2: 30; 3: 17; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 141,  7,  9,  183, 1, 4, 492770, 18288.16, 85, 0.00, 1: 49; 2: 33; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 208,  7,  8,  183, 1, 4, 443520, 18288.16, 144, 0.00, 1: 56; 2: 23; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 204, 10,  6,  183, 1, 4, 473422, 18288.16, 237, 0.00, 1: 52; 2: 31; 3: 11; 4: 9; 
