Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
1053(744)
Melhor resultado nxn: PC12_Cell_Differentiation, 973,  8,  8,  151, 1, 3, 508032, 19560.74, 85, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 230,  8,  9,  148, 1, 3, 566054, 19560.74, 0, 0.00, 1: 74; 2: 31; 3: 4; 
PC12_Cell_Differentiation, 411,  8,  9,  148, 1, 3, 566287, 19560.74, 33, 0.00, 1: 73; 2: 33; 3: 3; 
PC12_Cell_Differentiation, 295,  7, 10,  148, 1, 3, 554167, 19560.74, 0, 0.00, 1: 73; 2: 33; 3: 3; 
PC12_Cell_Differentiation, 293,  6, 12,  148, 1, 3, 566221, 19560.74, 0, 0.00, 1: 71; 2: 37; 3: 1; 
PC12_Cell_Differentiation,  86,  6, 12,  148, 1, 3, 566462, 19560.74, 0, 0.00, 1: 72; 2: 35; 3: 2; 
PC12_Cell_Differentiation, 615,  6, 12,  148, 1, 3, 566267, 19560.74, 0, 0.00, 1: 74; 2: 31; 3: 4; 
PC12_Cell_Differentiation, 943,  7, 10,  148, 1, 3, 554336, 19560.74, 0, 0.00, 1: 74; 2: 31; 3: 4; 
PC12_Cell_Differentiation, 944,  6, 12,  148, 1, 3, 566318, 19560.74, 18, 0.00, 1: 71; 2: 37; 3: 1; 
PC12_Cell_Differentiation, 883, 10,  7,  149, 1, 3, 554478, 19560.74, 0, 0.00, 1: 72; 2: 34; 3: 3; 
PC12_Cell_Differentiation, 918,  8,  9,  149, 1, 3, 566321, 19560.74, 0, 0.00, 1: 72; 2: 34; 3: 3; 
PC12_Cell_Differentiation, 871,  8,  9,  149, 1, 3, 566478, 19560.74, 0, 0.00, 1: 73; 2: 32; 3: 4; 
PC12_Cell_Differentiation, 866, 10,  7,  149, 1, 3, 554444, 19560.74, 0, 0.00, 1: 71; 2: 36; 3: 2; 
PC12_Cell_Differentiation, 154,  8,  9,  149, 1, 3, 566268, 19560.74, 123, 0.00, 1: 72; 2: 34; 3: 3; 
PC12_Cell_Differentiation, 470, 10,  7,  149, 1, 3, 554505, 19560.74, 0, 0.00, 1: 72; 2: 34; 3: 3; 
PC12_Cell_Differentiation, 771,  8,  9,  149, 1, 3, 566505, 19560.74, 33, 0.00, 1: 73; 2: 32; 3: 4; 
PC12_Cell_Differentiation, 298,  8,  9,  149, 1, 3, 566132, 19560.74, 84, 0.00, 1: 74; 2: 30; 3: 5; 
PC12_Cell_Differentiation, 949,  7, 10,  149, 1, 3, 554482, 19560.74, 0, 0.00, 1: 73; 2: 32; 3: 4; 
PC12_Cell_Differentiation, 934,  6, 12,  149, 1, 3, 566115, 19560.74, 0, 0.00, 1: 74; 2: 30; 3: 5; 
PC12_Cell_Differentiation, 390, 11,  6,  149, 1, 3, 525292, 19560.74, 0, 0.00, 1: 72; 2: 34; 3: 3; 
PC12_Cell_Differentiation,  87,  8,  9,  149, 1, 3, 566343, 19560.74, 0, 0.00, 1: 73; 2: 32; 3: 4; 
