Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
664(995)
Melhor resultado nxn: PC12_Cell_Differentiation, 777,  8,  8,  201, 1, 4, 508032, 19354.05, 51, 0.00, 1: 53; 2: 29; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 232, 10,  7,  197, 1, 4, 554279, 19354.05, 32, 0.00, 1: 56; 2: 27; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 997,  8,  9,  198, 1, 4, 566336, 19354.05, 0, 0.00, 1: 53; 2: 30; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 849,  8,  9,  198, 1, 4, 566242, 19354.05, 0, 0.00, 1: 52; 2: 32; 3: 18; 4: 7; 
PC12_Cell_Differentiation,  94, 10,  7,  198, 1, 4, 554589, 19354.05, 0, 0.00, 1: 52; 2: 31; 3: 20; 4: 6; 
PC12_Cell_Differentiation,  93, 10,  7,  198, 1, 4, 554332, 19354.05, 86, 0.00, 1: 53; 2: 30; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 818,  8,  9,  198, 1, 4, 566263, 19354.05, 0, 0.00, 1: 54; 2: 29; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 576, 10,  7,  198, 1, 4, 554417, 19354.05, 176, 0.00, 1: 53; 2: 31; 3: 17; 4: 8; 
PC12_Cell_Differentiation,  50, 10,  7,  198, 1, 4, 554352, 19354.05, 0, 0.00, 1: 52; 2: 32; 3: 18; 4: 7; 
PC12_Cell_Differentiation, 622, 10,  7,  198, 1, 4, 554364, 19354.05, 0, 0.00, 1: 53; 2: 31; 3: 17; 4: 8; 
PC12_Cell_Differentiation, 766,  8,  9,  198, 1, 4, 566354, 19354.05, 0, 0.00, 1: 54; 2: 30; 3: 16; 4: 9; 
PC12_Cell_Differentiation, 695,  7, 10,  198, 1, 4, 554369, 19354.05, 0, 0.00, 1: 54; 2: 30; 3: 16; 4: 9; 
PC12_Cell_Differentiation, 324, 10,  7,  199, 1, 4, 554340, 19354.05, 50, 0.00, 1: 51; 2: 32; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 135,  8,  9,  199, 1, 4, 566282, 19354.05, 0, 0.00, 1: 52; 2: 33; 3: 15; 4: 9; 
PC12_Cell_Differentiation, 872,  8,  9,  199, 1, 4, 566216, 19354.05, 32, 0.00, 1: 51; 2: 32; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 873,  7, 10,  199, 1, 4, 554430, 19354.05, 69, 0.00, 1: 54; 2: 29; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 454, 10,  7,  199, 1, 4, 554432, 19354.05, 0, 0.00, 1: 53; 2: 29; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 356,  8,  9,  199, 1, 4, 566125, 19354.05, 0, 0.00, 1: 54; 2: 30; 3: 15; 4: 10; 
PC12_Cell_Differentiation,  39, 10,  7,  199, 1, 4, 554400, 19354.05, 0, 0.00, 1: 53; 2: 30; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 339,  8,  9,  199, 1, 4, 566296, 19354.05, 161, 0.00, 1: 54; 2: 30; 3: 15; 4: 10; 
PC12_Cell_Differentiation, 546,  7, 10,  199, 1, 4, 554354, 19354.05, 0, 0.00, 1: 54; 2: 29; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 312,  6, 11,  199, 1, 4, 525287, 19354.05, 0, 0.00, 1: 53; 2: 30; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 943,  7, 10,  199, 1, 4, 554517, 19354.05, 0, 0.00, 1: 55; 2: 27; 3: 18; 4: 9; 
PC12_Cell_Differentiation,   5,  8,  9,  199, 1, 4, 566202, 19354.05, 127, 0.00, 1: 55; 2: 25; 3: 22; 4: 7; 
PC12_Cell_Differentiation, 616,  6, 12,  199, 1, 4, 566270, 19354.05, 32, 0.00, 1: 54; 2: 28; 3: 19; 4: 8; 
PC12_Cell_Differentiation, 286,  8,  9,  199, 1, 4, 566341, 19354.05, 0, 0.00, 1: 55; 2: 28; 3: 16; 4: 10; 
PC12_Cell_Differentiation, 775, 11,  6,  199, 1, 4, 525291, 19354.05, 0, 0.00, 1: 53; 2: 31; 3: 16; 4: 9; 
PC12_Cell_Differentiation, 624, 11,  6,  200, 1, 4, 525285, 19354.05, 2, 0.00, 1: 54; 2: 27; 3: 20; 4: 8; 
PC12_Cell_Differentiation, 757,  7, 10,  200, 1, 4, 554372, 19354.05, 0, 0.00, 1: 51; 2: 32; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 745,  7, 10,  200, 1, 4, 554353, 19354.05, 69, 0.00, 1: 52; 2: 32; 3: 16; 4: 9; 
PC12_Cell_Differentiation, 537,  7, 10,  200, 1, 4, 554426, 19354.05, 8, 0.00, 1: 52; 2: 29; 3: 22; 4: 6; 
PC12_Cell_Differentiation,  72,  8,  9,  200, 1, 4, 566261, 19354.05, 176, 0.00, 1: 51; 2: 31; 3: 21; 4: 6; 
PC12_Cell_Differentiation, 181,  7, 10,  200, 1, 4, 554326, 19354.05, 0, 0.00, 1: 50; 2: 34; 3: 18; 4: 7; 
PC12_Cell_Differentiation, 952,  7, 10,  200, 1, 4, 554410, 19354.05, 0, 0.00, 1: 53; 2: 28; 3: 21; 4: 7; 
PC12_Cell_Differentiation, 962,  8,  9,  200, 1, 4, 566235, 19354.05, 123, 0.00, 1: 53; 2: 31; 3: 15; 4: 10; 
PC12_Cell_Differentiation, 299, 10,  7,  200, 1, 4, 554434, 19354.05, 71, 0.00, 1: 53; 2: 29; 3: 19; 4: 8; 
PC12_Cell_Differentiation,  26,  7, 10,  200, 1, 4, 554394, 19354.05, 123, 0.00, 1: 49; 2: 34; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 907, 11,  6,  200, 1, 4, 525295, 19354.05, 161, 0.00, 1: 51; 2: 33; 3: 17; 4: 8; 
PC12_Cell_Differentiation, 971,  7, 10,  200, 1, 4, 554535, 19354.05, 161, 0.00, 1: 51; 2: 33; 3: 17; 4: 8; 
PC12_Cell_Differentiation, 916, 10,  7,  200, 1, 4, 554326, 19354.05, 50, 0.00, 1: 51; 2: 34; 3: 15; 4: 9; 
PC12_Cell_Differentiation, 283,  6, 12,  201, 1, 4, 566235, 19354.05, 161, 0.00, 1: 51; 2: 32; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 558, 10,  7,  201, 1, 4, 554387, 19354.05, 0, 0.00, 1: 52; 2: 30; 3: 19; 4: 8; 
PC12_Cell_Differentiation, 275,  8,  9,  201, 1, 4, 566310, 19354.05, 0, 0.00, 1: 51; 2: 32; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 658,  7, 10,  201, 1, 4, 554366, 19354.05, 0, 0.00, 1: 51; 2: 30; 3: 22; 4: 6; 
PC12_Cell_Differentiation, 258,  7, 10,  201, 1, 4, 554473, 19354.05, 0, 0.00, 1: 57; 2: 23; 3: 18; 4: 11; 
PC12_Cell_Differentiation, 230,  8,  9,  201, 1, 4, 566326, 19354.05, 0, 0.00, 1: 49; 2: 34; 3: 20; 4: 6; 
PC12_Cell_Differentiation,  71,  8,  9,  201, 1, 4, 566208, 19354.05, 0, 0.00, 1: 52; 2: 30; 3: 19; 4: 8; 
PC12_Cell_Differentiation, 183,  6, 12,  201, 1, 4, 566289, 19354.05, 0, 0.00, 1: 50; 2: 33; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 684,  6, 11,  201, 1, 4, 525294, 19354.05, 112, 0.00, 1: 51; 2: 31; 3: 20; 4: 7; 
PC12_Cell_Differentiation,  87,  8,  9,  201, 1, 4, 566213, 19354.05, 0, 0.00, 1: 53; 2: 29; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 296,  6, 12,  201, 1, 4, 566228, 19354.05, 32, 0.00, 1: 53; 2: 27; 3: 22; 4: 7; 
PC12_Cell_Differentiation, 608,  7, 10,  201, 1, 4, 554397, 19354.05, 5, 0.00, 1: 52; 2: 30; 3: 19; 4: 8; 
PC12_Cell_Differentiation, 378,  8,  9,  201, 1, 4, 566280, 19354.05, 0, 0.00, 1: 54; 2: 28; 3: 17; 4: 10; 
PC12_Cell_Differentiation, 304, 10,  7,  201, 1, 4, 554343, 19354.05, 0, 0.00, 1: 53; 2: 28; 3: 20; 4: 8; 
PC12_Cell_Differentiation, 317,  7, 10,  201, 1, 4, 554387, 19354.05, 0, 0.00, 1: 50; 2: 31; 3: 23; 4: 5; 
PC12_Cell_Differentiation,  95,  7, 10,  201, 1, 4, 554313, 19354.05, 0, 0.00, 1: 53; 2: 29; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 542, 11,  6,  201, 1, 4, 525269, 19354.05, 0, 0.00, 1: 51; 2: 32; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 345,  7, 10,  201, 1, 4, 554394, 19354.05, 7, 0.00, 1: 52; 2: 28; 3: 23; 4: 6; 
PC12_Cell_Differentiation, 105, 11,  6,  201, 1, 4, 525264, 19354.05, 65, 0.00, 1: 51; 2: 31; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 499,  6, 12,  201, 1, 4, 566288, 19354.05, 0, 0.00, 1: 52; 2: 31; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 482,  8,  9,  201, 1, 4, 566229, 19354.05, 0, 0.00, 1: 51; 2: 32; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 358,  7, 10,  201, 1, 4, 554451, 19354.05, 0, 0.00, 1: 52; 2: 29; 3: 21; 4: 7; 
PC12_Cell_Differentiation, 448,  7, 10,  201, 1, 4, 554334, 19354.05, 176, 0.00, 1: 52; 2: 28; 3: 23; 4: 6; 
PC12_Cell_Differentiation, 957,  7, 10,  201, 1, 4, 554418, 19354.05, 0, 0.00, 1: 53; 2: 27; 3: 22; 4: 7; 
PC12_Cell_Differentiation, 803,  8,  9,  201, 1, 4, 566203, 19354.05, 0, 0.00, 1: 54; 2: 26; 3: 21; 4: 8; 
PC12_Cell_Differentiation, 941,  7, 10,  201, 1, 4, 554423, 19354.05, 32, 0.00, 1: 53; 2: 29; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 975, 10,  7,  201, 1, 4, 554422, 19354.05, 0, 0.00, 1: 57; 2: 21; 3: 22; 4: 9; 
PC12_Cell_Differentiation, 777,  8,  8,  201, 1, 4, 508032, 19354.05, 51, 0.00, 1: 53; 2: 29; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 898,  8,  9,  201, 1, 4, 566164, 19354.05, 123, 0.00, 1: 55; 2: 28; 3: 14; 4: 12; 
PC12_Cell_Differentiation, 750,  6, 12,  201, 1, 4, 566245, 19354.05, 0, 0.00, 1: 51; 2: 32; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 988,  8,  8,  201, 1, 4, 508032, 19354.05, 50, 0.00, 1: 56; 2: 26; 3: 15; 4: 12; 
PC12_Cell_Differentiation, 954,  8,  9,  201, 1, 4, 566114, 19354.05, 0, 0.00, 1: 53; 2: 30; 3: 16; 4: 10; 
PC12_Cell_Differentiation, 500, 10,  7,  202, 1, 4, 554343, 19354.05, 0, 0.00, 1: 56; 2: 24; 3: 18; 4: 11; 
PC12_Cell_Differentiation, 301,  6, 11,  202, 1, 4, 525290, 19354.05, 32, 0.00, 1: 51; 2: 32; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 857, 10,  7,  202, 1, 4, 554372, 19354.05, 9, 0.00, 1: 49; 2: 34; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 516, 10,  7,  202, 1, 4, 554376, 19354.05, 50, 0.00, 1: 51; 2: 31; 3: 19; 4: 8; 
PC12_Cell_Differentiation, 523,  7, 10,  202, 1, 4, 554355, 19354.05, 161, 0.00, 1: 53; 2: 29; 3: 17; 4: 10; 
PC12_Cell_Differentiation,  17, 11,  6,  202, 1, 4, 525281, 19354.05, 6, 0.00, 1: 53; 2: 27; 3: 21; 4: 8; 
PC12_Cell_Differentiation, 477,  8,  8,  202, 1, 4, 508032, 19354.05, 86, 0.00, 1: 48; 2: 36; 3: 18; 4: 7; 
PC12_Cell_Differentiation, 151,  7, 10,  202, 1, 4, 554506, 19354.05, 0, 0.00, 1: 47; 2: 39; 3: 15; 4: 8; 
PC12_Cell_Differentiation, 476, 10,  7,  202, 1, 4, 554434, 19354.05, 50, 0.00, 1: 54; 2: 27; 3: 18; 4: 10; 
PC12_Cell_Differentiation, 146, 10,  7,  202, 1, 4, 554409, 19354.05, 0, 0.00, 1: 50; 2: 31; 3: 22; 4: 6; 
PC12_Cell_Differentiation, 863,  7, 10,  202, 1, 4, 554479, 19354.05, 0, 0.00, 1: 51; 2: 34; 3: 13; 4: 11; 
PC12_Cell_Differentiation, 862, 10,  7,  202, 1, 4, 554401, 19354.05, 0, 0.00, 1: 50; 2: 31; 3: 22; 4: 6; 
PC12_Cell_Differentiation, 176,  6, 12,  202, 1, 4, 566188, 19354.05, 46, 0.00, 1: 54; 2: 26; 3: 20; 4: 9; 
