Seed 1656949570
ARCH 0|F_ID 2|LIMIT 5
before: 
06(618)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 473,  8,  8,  461, 0, 6, 506506, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 47; 3: 31; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 473,  8,  8,  461, 0, 6, 506506, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 47; 3: 31; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 900,  8,  8,  462, 0, 6, 506522, 26569.10, 28, 0.00, 0: 5; 1: 62; 2: 46; 3: 41; 4: 23; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011, 400,  8,  8,  462, 0, 6, 506511, 26569.10, 1, 0.00, 0: 5; 1: 65; 2: 46; 3: 35; 4: 23; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 392,  8,  8,  463, 0, 6, 506505, 26569.10, 1, 0.00, 0: 5; 1: 69; 2: 38; 3: 38; 4: 24; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011,  52,  9,  7,  463, 0, 6, 499172, 26569.10, 17, 0.00, 0: 5; 1: 65; 2: 48; 3: 31; 4: 25; 5: 17; 6: 4; 
T-LGL_Survival_Network_2011, 116,  8,  8,  463, 0, 6, 506513, 26569.10, 9, 0.00, 0: 5; 1: 63; 2: 48; 3: 33; 4: 28; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011, 494,  8,  8,  463, 0, 6, 506495, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 49; 3: 36; 4: 23; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 398,  7,  9,  463, 0, 6, 499195, 26569.10, 0, 0.00, 0: 5; 1: 68; 2: 47; 3: 26; 4: 25; 5: 21; 6: 3; 
T-LGL_Survival_Network_2011, 611,  8,  8,  464, 0, 6, 506531, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 53; 3: 32; 4: 22; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 626,  7,  9,  464, 0, 6, 499211, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 47; 3: 33; 4: 26; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 642,  9,  7,  464, 0, 6, 499213, 26569.10, 0, 0.00, 0: 5; 1: 68; 2: 40; 3: 35; 4: 27; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 363,  7,  9,  465, 0, 6, 499172, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 47; 3: 28; 4: 31; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 506,  9,  7,  465, 0, 6, 499190, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 43; 3: 38; 4: 23; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 346,  8,  8,  465, 0, 6, 506525, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 43; 3: 43; 4: 21; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 894,  8,  8,  465, 0, 6, 506516, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 52; 3: 31; 4: 26; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 715,  8,  8,  465, 0, 6, 506487, 26569.10, 0, 0.00, 0: 5; 1: 60; 2: 50; 3: 33; 4: 32; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 854,  9,  7,  465, 0, 6, 499191, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 41; 3: 37; 4: 27; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 436,  8,  8,  465, 0, 6, 506517, 26569.10, 36, 0.00, 0: 5; 1: 60; 2: 51; 3: 34; 4: 27; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011, 792,  8,  8,  465, 0, 6, 506533, 26569.10, 22, 0.00, 0: 5; 1: 62; 2: 46; 3: 38; 4: 26; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011, 782,  8,  8,  465, 0, 6, 506497, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 43; 3: 34; 4: 27; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 997,  7,  9,  466, 0, 6, 499193, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 46; 3: 29; 4: 27; 5: 19; 6: 3; 
