Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
03(883)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 503,  7,  7,  101, 1, 3, 381964, 12166.34, 0, 0.00, 1: 37; 2: 20; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 503,  7,  7,  101, 1, 3, 381964, 12166.34, 0, 0.00, 1: 37; 2: 20; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 834,  8,  6,  102, 1, 3, 375633, 12166.34, 195, 0.00, 1: 35; 2: 23; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 732,  8,  6,  102, 1, 3, 375599, 12166.34, 241, 0.00, 1: 35; 2: 23; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 516,  7,  7,  102, 1, 3, 381940, 12166.34, 0, 0.00, 1: 37; 2: 19; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 208,  8,  6,  102, 1, 3, 375622, 12166.34, 16, 0.00, 1: 35; 2: 23; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 313,  7,  7,  103, 1, 3, 382001, 12166.34, 0, 0.00, 1: 34; 2: 24; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 809,  7,  7,  103, 1, 3, 381974, 12166.34, 69, 0.00, 1: 36; 2: 20; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 747,  7,  7,  103, 1, 3, 381950, 12166.34, 120, 0.00, 1: 34; 2: 24; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 797,  6,  8,  104, 1, 3, 375613, 12166.34, 85, 0.00, 1: 35; 2: 21; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,   7,  7,  7,  104, 1, 3, 382003, 12166.34, 0, 0.00, 1: 36; 2: 19; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 875,  6,  8,  104, 1, 3, 375549, 12166.34, 70, 0.00, 1: 35; 2: 21; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 710,  7,  7,  104, 1, 3, 382038, 12166.34, 0, 0.00, 1: 34; 2: 23; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 795,  6,  8,  104, 1, 3, 375588, 12166.34, 42, 0.00, 1: 36; 2: 19; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 989,  6,  8,  104, 1, 3, 375634, 12166.34, 85, 0.00, 1: 33; 2: 25; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  99,  7,  7,  104, 1, 3, 381983, 12166.34, 0, 0.00, 1: 35; 2: 21; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 971,  7,  7,  104, 1, 3, 381963, 12166.34, 41, 0.00, 1: 34; 2: 23; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  42,  8,  6,  105, 1, 3, 375611, 12166.34, 32, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 728,  7,  7,  105, 1, 3, 381939, 12166.34, 184, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 585,  7,  7,  105, 1, 3, 381990, 12166.34, 11, 0.00, 1: 35; 2: 20; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 389,  6,  8,  105, 1, 3, 375675, 12166.34, 85, 0.00, 1: 34; 2: 22; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 377,  7,  7,  105, 1, 3, 381977, 12166.34, 0, 0.00, 1: 32; 2: 26; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 126,  7,  7,  105, 1, 3, 381901, 12166.34, 0, 0.00, 1: 34; 2: 22; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 369,  6,  8,  105, 1, 3, 375623, 12166.34, 0, 0.00, 1: 36; 2: 18; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 982,  7,  7,  105, 1, 3, 381929, 12166.34, 0, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 913,  7,  7,  105, 1, 3, 381940, 12166.34, 12, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 618,  7,  7,  105, 1, 3, 381947, 12166.34, 75, 0.00, 1: 34; 2: 22; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 800,  7,  7,  105, 1, 3, 381957, 12166.34, 6, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 349,  7,  7,  105, 1, 3, 381972, 12166.34, 85, 0.00, 1: 37; 2: 16; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 517,  7,  7,  106, 1, 3, 382026, 12166.34, 0, 0.00, 1: 37; 2: 15; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 273,  6,  8,  106, 1, 3, 375657, 12166.34, 10, 0.00, 1: 36; 2: 17; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 879,  6,  8,  106, 1, 3, 375583, 12166.34, 0, 0.00, 1: 33; 2: 23; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 326,  6,  8,  106, 1, 3, 375645, 12166.34, 0, 0.00, 1: 32; 2: 25; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 810,  6,  8,  106, 1, 3, 375671, 12166.34, 70, 0.00, 1: 34; 2: 21; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 964,  7,  7,  106, 1, 3, 381985, 12166.34, 241, 0.00, 1: 36; 2: 17; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 267,  8,  6,  106, 1, 3, 375660, 12166.34, 42, 0.00, 1: 36; 2: 17; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 938,  7,  7,  106, 1, 3, 381971, 12166.34, 71, 0.00, 1: 34; 2: 21; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 808,  6,  8,  106, 1, 3, 375629, 12166.34, 32, 0.00, 1: 38; 2: 13; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 243,  7,  7,  106, 1, 3, 381973, 12166.34, 0, 0.00, 1: 37; 2: 15; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 449,  8,  6,  106, 1, 3, 375683, 12166.34, 11, 0.00, 1: 31; 2: 27; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 944,  8,  6,  106, 1, 3, 375653, 12166.34, 66, 0.00, 1: 35; 2: 19; 3: 11; 
