Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
04(988)
Melhor resultado nxn: Yeast_Apoptosis, 174,  9,  9,  189, 1, 4, 639234, 19894.78, 0, 0.00, 1: 58; 2: 34; 3: 17; 4: 3; 
Yeast_Apoptosis, 174,  9,  9,  189, 1, 4, 639234, 19894.78, 0, 0.00, 1: 58; 2: 34; 3: 17; 4: 3; 
Yeast_Apoptosis, 289,  7, 12,  189, 1, 4, 658673, 19894.78, 0, 0.00, 1: 61; 2: 31; 3: 14; 4: 6; 
Yeast_Apoptosis, 777,  8, 10,  190, 1, 4, 634053, 19894.78, 239, 0.00, 1: 57; 2: 38; 3: 11; 4: 6; 
Yeast_Apoptosis,  48,  7, 12,  190, 1, 4, 658702, 19894.78, 32, 0.00, 1: 61; 2: 30; 3: 15; 4: 6; 
Yeast_Apoptosis, 199,  7, 12,  190, 1, 4, 658712, 19894.78, 0, 0.00, 1: 58; 2: 35; 3: 14; 4: 5; 
Yeast_Apoptosis, 889,  8, 10,  190, 1, 4, 634045, 19894.78, 0, 0.00, 1: 60; 2: 33; 3: 12; 4: 7; 
Yeast_Apoptosis, 932, 10,  8,  190, 1, 4, 634014, 19894.78, 0, 0.00, 1: 62; 2: 28; 3: 16; 4: 6; 
Yeast_Apoptosis,  38,  8, 10,  190, 1, 4, 634114, 19894.78, 0, 0.00, 1: 62; 2: 29; 3: 14; 4: 7; 
Yeast_Apoptosis, 436,  7, 12,  191, 1, 4, 658669, 19894.78, 0, 0.00, 1: 62; 2: 28; 3: 15; 4: 7; 
Yeast_Apoptosis, 947,  7, 11,  191, 1, 4, 613247, 19894.78, 0, 0.00, 1: 61; 2: 28; 3: 18; 4: 5; 
Yeast_Apoptosis, 678,  7, 12,  191, 1, 4, 658726, 19894.78, 0, 0.00, 1: 57; 2: 35; 3: 16; 4: 4; 
Yeast_Apoptosis, 308,  8, 10,  191, 1, 4, 634060, 19894.78, 55, 0.00, 1: 58; 2: 35; 3: 13; 4: 6; 
Yeast_Apoptosis, 142,  7, 12,  191, 1, 4, 658782, 19894.78, 0, 0.00, 1: 64; 2: 25; 3: 15; 4: 8; 
Yeast_Apoptosis, 269,  7, 12,  192, 1, 4, 658763, 19894.78, 86, 0.00, 1: 60; 2: 30; 3: 16; 4: 6; 
Yeast_Apoptosis, 141, 10,  8,  192, 1, 4, 634043, 19894.78, 86, 0.00, 1: 60; 2: 33; 3: 10; 4: 9; 
Yeast_Apoptosis, 718,  8, 10,  192, 1, 4, 634083, 19894.78, 0, 0.00, 1: 55; 2: 38; 3: 15; 4: 4; 
Yeast_Apoptosis, 316, 11,  7,  192, 1, 4, 613161, 19894.78, 2, 0.00, 1: 60; 2: 31; 3: 14; 4: 7; 
Yeast_Apoptosis, 545,  9,  9,  192, 1, 4, 639200, 19894.78, 0, 0.00, 1: 54; 2: 42; 3: 10; 4: 6; 
Yeast_Apoptosis, 311,  9,  9,  192, 1, 4, 639273, 19894.78, 0, 0.00, 1: 60; 2: 30; 3: 16; 4: 6; 
Yeast_Apoptosis, 967,  7, 12,  192, 1, 4, 658553, 19894.78, 0, 0.00, 1: 61; 2: 29; 3: 15; 4: 7; 
Yeast_Apoptosis, 623, 10,  8,  192, 1, 4, 633953, 19894.78, 0, 0.00, 1: 58; 2: 31; 3: 20; 4: 3; 
