Seed 1656949570
ARCH 1|F_ID 2|LIMIT 6
before: 
306(1000)
Melhor resultado nxn: macrophave_activation, 195, 18, 18,  892, 1, 6, 2616170, 75543.10, 0, 0.00, 1: 309; 2: 127; 3: 36; 4: 28; 5: 17; 6: 4; 
macrophave_activation, 987, 17, 19,  872, 1, 6, 2600112, 75543.10, 142, 0.00, 1: 310; 2: 123; 3: 53; 4: 22; 5: 9; 6: 4; 
macrophave_activation, 971, 16, 21,  873, 1, 6, 2696199, 75543.10, 142, 0.00, 1: 320; 2: 118; 3: 42; 4: 21; 5: 13; 6: 7; 
macrophave_activation, 290, 17, 20,  873, 1, 6, 2757749, 75543.10, 0, 0.00, 1: 312; 2: 124; 3: 49; 4: 20; 5: 10; 6: 6; 
macrophave_activation, 145, 16, 21,  879, 1, 6, 2695991, 75543.10, 1, 0.00, 1: 301; 2: 138; 3: 46; 4: 21; 5: 10; 6: 5; 
macrophave_activation, 966, 17, 19,  881, 1, 6, 2600098, 75543.10, 0, 0.00, 1: 309; 2: 121; 3: 51; 4: 26; 5: 11; 6: 3; 
macrophave_activation, 852, 17, 20,  882, 1, 6, 2758055, 75543.10, 0, 0.00, 1: 305; 2: 133; 3: 43; 4: 24; 5: 10; 6: 6; 
macrophave_activation,  86, 15, 22,  882, 1, 6, 2658109, 75543.10, 0, 0.00, 1: 304; 2: 136; 3: 38; 4: 27; 5: 12; 6: 4; 
macrophave_activation, 436, 19, 17,  883, 1, 6, 2600108, 75543.10, 0, 0.00, 1: 303; 2: 131; 3: 52; 4: 18; 5: 12; 6: 5; 
macrophave_activation, 647, 21, 16,  884, 1, 6, 2695888, 75543.10, 0, 0.00, 1: 302; 2: 133; 3: 48; 4: 22; 5: 12; 6: 4; 
macrophave_activation, 490, 17, 19,  884, 1, 6, 2600093, 75543.10, 240, 0.00, 1: 304; 2: 128; 3: 48; 4: 28; 5: 10; 6: 3; 
macrophave_activation, 128, 17, 20,  885, 1, 6, 2757495, 75543.10, 117, 0.00, 1: 309; 2: 128; 3: 42; 4: 21; 5: 16; 6: 5; 
macrophave_activation, 937, 14, 24,  885, 1, 6, 2696415, 75543.10, 60, 0.00, 1: 305; 2: 133; 3: 40; 4: 27; 5: 10; 6: 6; 
macrophave_activation,  16, 16, 21,  887, 1, 6, 2696174, 75543.10, 144, 0.00, 1: 303; 2: 131; 3: 45; 4: 26; 5: 13; 6: 3; 
macrophave_activation,  73, 17, 20,  887, 1, 6, 2757471, 75543.10, 53, 0.00, 1: 306; 2: 127; 3: 43; 4: 29; 5: 14; 6: 2; 
macrophave_activation, 363, 16, 21,  887, 1, 6, 2695920, 75543.10, 142, 0.00, 1: 296; 2: 144; 3: 40; 4: 25; 5: 13; 6: 3; 
macrophave_activation, 534, 16, 21,  888, 1, 6, 2696236, 75543.10, 0, 0.00, 1: 300; 2: 133; 3: 45; 4: 31; 5: 9; 6: 3; 
macrophave_activation, 257, 17, 20,  888, 1, 6, 2757684, 75543.10, 0, 0.00, 1: 305; 2: 127; 3: 48; 4: 25; 5: 11; 6: 5; 
macrophave_activation, 637, 17, 20,  888, 1, 6, 2757486, 75543.10, 85, 0.00, 1: 302; 2: 136; 3: 42; 4: 21; 5: 16; 6: 4; 
macrophave_activation, 301, 21, 16,  889, 1, 6, 2696020, 75543.10, 85, 0.00, 1: 301; 2: 134; 3: 45; 4: 23; 5: 15; 6: 3; 
macrophave_activation,  23, 17, 20,  890, 1, 6, 2757453, 75543.10, 0, 0.00, 1: 297; 2: 143; 3: 41; 4: 22; 5: 12; 6: 6; 
macrophave_activation,  34, 21, 16,  890, 1, 6, 2696163, 75543.10, 0, 0.00, 1: 298; 2: 138; 3: 45; 4: 27; 5: 5; 6: 8; 
